rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,actual_running_style_fixed,running_style,adjusted_style_profile,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込,early_speed,stamina,acceleration,consistency,mud_aptitude,mud_source,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,avg_race_score,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,carried_weight,weight_penalty
1,レッドライトニング,3,3,差し,差し,差し,差し,"{'逃げ': 0.0, '先行': 0.11688195399642463, '差し': 0.5671728816398487, '追込': 0.3159451643637268}",107.89093268984854,2,0.0,0.11688195399642463,0.5671728816398487,0.3159451643637268,52.830333597845716,56.97446041285891,51.25494874904969,59.824723972753674,43.96959945128707,race_history,60.86761904761905,39.995146275363425,1500.0,50.0,53.1125,46.53445357142857,長浜,50.0,50.0,59.87392718671152,41.25710298327573,42.87154172119644,42.285714285714285,70.0,43.02721088435374,39.642857142857146,43.4889786351995,42.46793203671626,0.34821428571428575,0.3685714285714286,0.24081632653061227,0.41776832072150794,100.0,41.776832072150796,39.95509416912595,38.6525,37.0,67.07186005860639,24.081632653061227,34.82142857142858,39.071003003896436,61.08164742795843,42.53975763968294,37.941428571428574,88.47515102051224,58.0,4.0
2,ケイアイアギト,2,2,先行,先行,先行,先行,"{'逃げ': 0.06266457882440835, '先行': 0.8587523409113893, '差し': 0.07003288573841751, '追込': 0.008550194525784927}",109.94974332501582,1,0.06266457882440835,0.8587523409113893,0.07003288573841751,0.008550194525784927,91.2381679539851,73.10603906937433,0.0,80.7961052377235,71.32713373288945,race_history,62.10860215053763,59.524043209783954,1500.0,50.0,70.58823529411765,63.021171875000014,鮫島駿,50.0,50.0,56.722620765484,64.64797872592264,56.78588078697107,65.16129032258064,55.387096774193544,86.95461124896609,85.5967741935484,71.68848607553083,58.75140527170896,0.7507447209653092,0.7183634992458523,0.3422484378366732,0.7193052728437472,100.0,71.93052728437472,43.532681534152125,56.38823529411765,36.1,0.0,34.22484378366732,75.07447209653093,71.87872973649051,82.74388814622463,67.5332605946414,57.23498868778281,65.0,55.0,-2.0
3,セボンサデッセ,1,1,先行,先行,先行,先行,"{'逃げ': 0.32048519916356183, '先行': 0.4684410603541414, '差し': 0.09218508448856672, '追込': 0.11888865599372996}",109.96957079451077,0,0.32048519916356183,0.4684410603541414,0.09218508448856672,0.11888865599372996,89.86895768887493,59.04449548699812,0.0,79.87069635917567,82.27521770334928,race_history,59.02380952380952,61.442464797094324,1500.0,50.0,75.0,64.53513749999999,武豊,50.0,50.0,68.04020212598965,66.14926724944812,58.1527561679297,90.0,50.0,84.85119047619048,87.62857142857142,74.6846384300121,60.151883938309304,0.6385416666666667,0.6479166666666667,0.28125,0.742138328819564,100.0,74.2138328819564,44.12625,50.06,37.0,0.0,28.125,63.854166666666664,69.03164146354706,81.2328602417581,68.23760808507603,53.9525,65.0,58.0,4.0
4,ギマール,13,8,先行,先行,先行,先行,"{'逃げ': 0.03019410921140329, '先行': 0.5076505927746292, '差し': 0.3755387841350063, '追込': 0.0866165138789612}",112.15910600589719,12,0.03019410921140329,0.5076505927746292,0.3755387841350063,0.0866165138789612,77.45824629101405,54.194577331317916,0.0,74.16636680328705,50.0,neutral,57.9547619047619,53.16707870790395,1500.0,50.0,75.0,57.856775,国分恭,50.0,50.0,89.43062123993542,58.202114327909264,52.25654357938156,73.07142857142857,55.0,70.72344322344323,72.35,67.36357682880148,53.74293626651348,0.6086965811965812,0.636474358974359,0.23846153846153847,0.6723533819406893,100.0,67.23533819406893,42.794038461538456,50.1475,36.3,0.0,23.846153846153847,60.86965811965812,65.26199193092076,76.30916230020172,62.15881100673792,51.106105769230766,65.0,58.0,4.0
5,ディアウス,14,8,先行,先行,先行,先行,"{'逃げ': 0.18563455850535274, '先行': 0.5642652546055784, '差し': 0.15589719338878252, '追込': 0.09420299350028633}",112.16921097927428,13,0.18563455850535274,0.5642652546055784,0.15589719338878252,0.09420299350028633,91.69529034168775,61.94791314955839,0.0,68.16671195111167,66.7490172634251,race_history,58.44857142857143,58.15758963950575,1500.0,50.0,75.0,62.9506625,横山武,50.0,50.0,71.3699131618408,65.10719977556919,55.81228261814785,80.0,54.2,78.30183150183151,88.37857142857142,75.40719435587604,58.13601190750319,0.6841346153846154,0.6424679487179487,0.23557692307692307,0.7546889961867538,100.0,75.46889961867538,42.114423076923075,52.35,37.4,0.0,23.557692307692307,68.41346153846155,69.2967420078911,84.73060485223671,70.34601979027146,55.587163461538466,65.0,58.0,4.0
6,エアニゲラ,9,6,逃げ,逃げ,逃げ,逃げ,"{'逃げ': 0.6695258533156276, '先行': 0.29000514777703545, '差し': 0.02370301733459109, '追込': 0.01676598157274594}",112.2280926054168,8,0.6695258533156276,0.29000514777703545,0.02370301733459109,0.01676598157274594,98.9018467202305,53.53529129698514,0.0,41.456172960682416,80.80554010695187,race_history,57.03809523809524,50.40611822697229,1500.0,50.0,75.0,58.00476363636364,舟山,50.0,50.0,53.46296296296296,57.08733835415593,50.28935923671775,70.57142857142857,50.0,71.65301365301364,78.02857142857144,62.31477956167963,51.9888540160773,0.8810198135198135,0.8964044289044288,0.0,0.6036728532886728,100.0,60.36728532886728,34.245000000000005,53.26,37.3,0.0,0.0,88.10198135198135,76.46752198773387,65.91607306493607,58.09700693087701,56.03213286713287,65.0,56.0,0.0
7,モレポブラーノ,7,5,逃げ,逃げ,逃げ,逃げ,"{'逃げ': 0.5408174175158451, '先行': 0.2429345624193321, '差し': 0.18140988131540756, '追込': 0.034838138749415354}",112.63362185806814,6,0.5408174175158451,0.2429345624193321,0.18140988131540756,0.034838138749415354,87.03110335727425,44.24530269264992,0.0,10.741055730227838,50.0,neutral,56.797619047619044,41.878941091759046,1500.0,50.0,75.0,51.73445,小沢,50.0,50.0,68.48177275009704,40.7519457859402,44.213745527878324,70.64285714285714,50.0,46.44642857142857,43.65714285714286,58.25998727192143,43.34829559239379,0.7659375,0.7951041666666667,0.0,0.581157794010239,100.0,58.11577940102391,34.1625,52.0375,37.6,0.0,0.0,76.59375,69.88282989712744,55.09986451789676,48.78367867056315,44.835625,65.0,58.0,4.0
8,ストラーダ,10,6,先行,先行,先行,先行,"{'逃げ': 0.3212883026476058, '先行': 0.6325958199203643, '差し': 0.04611587743202984, '追込': 0.0}",113.0145762564124,9,0.3212883026476058,0.6325958199203643,0.04611587743202984,0.0,86.8874773867611,50.403065497204835,0.0,37.21536904953818,71.99498200514138,race_history,54.2747311827957,47.145096209111735,1500.0,50.0,70.58823529411765,62.58154464285714,横山和,50.0,50.0,53.9460147112792,53.58585935545104,47.96588104899211,77.41935483870968,42.225806451612904,74.85599078341014,72.62903225806451,56.38118509511322,49.37087562560684,0.7715336134453782,0.7696953781512605,0.1207983193277311,0.5601117260697173,100.0,56.011172606971726,34.155252100840336,55.3235294117647,38.4,0.0,12.079831932773109,77.15336134453781,67.5382734714566,67.85469703226038,52.62526258089328,48.251155462184876,65.0,53.0,-4.0
9,バタール,8,5,先行,先行,先行,先行,"{'逃げ': 0.1946009584037967, '先行': 0.6112265289292987, '差し': 0.14494038837684295, '追込': 0.04923212429006152}",114.0200852766277,7,0.1946009584037967,0.6112265289292987,0.14494038837684295,0.04923212429006152,82.15768437583571,55.44307524451694,0.0,11.366869260621925,52.37220342150773,race_history,57.42619047619047,50.670869586053314,1500.0,50.0,75.0,59.001321875,浜中,50.0,50.0,66.59763658811914,53.58422176130907,50.47799458006299,78.85714285714286,48.0,66.4467032967033,67.54285714285714,61.86329439873094,51.25455137537451,0.7462740384615385,0.7231971153846154,0.19917582417582416,0.622842896868507,100.0,62.2842896868507,41.1443956043956,54.370000000000005,36.2,0.0,19.917582417582416,74.62740384615384,67.80377170523667,66.44109975365464,56.09510932776789,50.39197115384615,65.0,58.0,4.0
10,エンプレスフレーム,12,7,先行,先行,先行,先行,"{'逃げ': 0.039775743348753924, '先行': 0.6913229739487604, '差し': 0.2606746220622383, '追込': 0.008226660640247511}",114.65605653603741,11,0.039775743348753924,0.6913229739487604,0.2606746220622383,0.008226660640247511,66.24335136967922,45.59826624912502,0.0,34.394491514447246,33.25898170423731,race_history,58.0595238095238,31.714026091999582,1500.0,50.0,75.0,43.77881428571429,原田和,50.0,50.0,72.97336232673574,30.403214279899444,36.971243590549705,49.642857142857146,55.0,28.401360544217685,22.47142857142857,49.12939339496205,40.0,0.712445054945055,0.712445054945055,0.06122448979591837,0.4905491928321918,100.0,49.05491928321918,34.33311224489796,51.0775,38.0,0.0,6.122448979591837,71.2445054945055,61.25919169942665,38.04221872224743,39.968955605770546,37.16460164835165,65.0,56.0,0.0
