horse_name,horse_number,section_index,distance_m,current_speed,elapsed_time,position_m,actual_running_style
ダノンデサイル,1,0,100,22.308067644053427,4.4826831976483,100.0,差し
ダノンデサイル,1,1,200,22.308067644053427,8.9653663952966,200.0,差し
ダノンデサイル,1,2,300,22.308067644053427,13.448049592944901,300.0,差し
ダノンデサイル,1,3,400,22.308067644053427,17.9307327905932,400.0,差し
ダノンデサイル,1,4,500,22.308067644053427,22.4134159882415,500.0,差し
ダノンデサイル,1,5,600,22.308067644053427,26.8960991858898,600.0,差し
ダノンデサイル,1,6,700,22.308067644053427,31.3787823835381,700.0,差し
ダノンデサイル,1,7,800,22.308067644053427,35.8614655811864,800.0,差し
ダノンデサイル,1,8,900,22.308067644053427,40.3441487788347,900.0,差し
ダノンデサイル,1,9,1000,22.308067644053427,44.826831976483,1000.0,差し
ダノンデサイル,1,10,1100,22.88006937851634,49.197448094190094,1100.0,差し
ダノンデサイル,1,11,1200,22.88006937851634,53.56806421189719,1200.0,差し
ダノンデサイル,1,12,1300,22.88006937851634,57.93868032960428,1300.0,差し
ダノンデサイル,1,13,1400,24.04149422006539,62.098155572059824,1400.0,差し
ダノンデサイル,1,14,1500,24.04149422006539,66.25763081451537,1500.0,差し
ダノンデサイル,1,15,1600,23.945328243185127,70.43381077682012,1600.0,差し
ダノンデサイル,1,16,1700,31.492490382769283,73.60917095902768,1700.0,差し
ダノンデサイル,1,17,1800,31.365504534451667,76.79738685047494,1800.0,差し
ダノンデサイル,1,18,1900,31.238518686134046,79.9985629691232,1900.0,差し
ダノンデサイル,1,19,2000,31.11153283781643,83.21280511274554,2000.0,差し
ダノンデサイル,1,20,2100,30.98454698949881,86.44022037990732,2100.0,差し
ダノンデサイル,1,21,2200,30.857561141181193,89.6809171913784,2200.0,差し
ミュージアムマイル,2,0,100,23.375359063656827,4.278009151760001,100.0,先行
ミュージアムマイル,2,1,200,23.375359063656827,8.556018303520002,200.0,先行
ミュージアムマイル,2,2,300,23.375359063656827,12.834027455280003,300.0,先行
ミュージアムマイル,2,3,400,23.375359063656827,17.112036607040004,400.0,先行
ミュージアムマイル,2,4,500,23.375359063656827,21.390045758800007,500.0,先行
ミュージアムマイル,2,5,600,23.375359063656827,25.66805491056001,600.0,先行
