rank,horse_name,horse_number,frame,running_style,finish_time,lane_index
1,シュガークン,3,2,差し,95.3228843497788,2
2,ミュージアムマイル,2,1,差し,95.68985042574465,1
3,ファミリータイム,7,4,先行,97.25938138038812,6
4,クロワデュノール,5,3,先行,97.42905511633742,4
5,マイネルエンペラー,12,6,差し,98.08209668638824,11
6,タガノデュード,8,4,先行,98.52196642345537,7
7,ダノンデサイル,1,1,先行,98.52196642345537,0
8,ミクニインスパイア,4,2,逃げ,99.5979595377692,3
9,ビザンチンドリーム,6,3,逃げ,99.5979595377692,5
10,ジューンテイク,10,5,先行,99.86478149424589,9
11,メイショウタバル,16,8,差し,99.95443802340432,15
12,シェイクユアハート,13,7,差し,100.2112373933572,12
13,シンエンペラー,11,6,先行,100.98501558404178,10
14,ミステリーウェイ,18,8,追込,101.9497314696724,17
15,レガレイラ,17,8,先行,102.24704196399776,16
16,コスモキュランダ,9,5,自在,103.13405116843774,8
17,マイユニバース,15,7,逃げ,104.70554720637274,14
18,スティンガーグラス,14,7,自在,105.77851401891049,13
