rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,running_style,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
1,クロワデュノール,5,3,先行,先行,先行,76.3763690085532,4,0.043411043324208365,0.7169569529132719,0.20286782045022847,0.03676418331229131
2,ミュージアムマイル,2,1,自在,先行,先行,79.24866289238234,1,0.004034331648268769,0.2698489002279668,0.3380419115613042,0.3880748565624601
3,ミクニインスパイア,4,2,先行,先行,先行,82.26543009419736,3,0.16254813005111562,0.503423931761116,0.29598933824862667,0.03803859993914173
4,ダノンデサイル,1,1,自在,差し,差し,84.70999038326184,0,0.09044348281684848,0.25639212954592655,0.4564536111552584,0.19671077648196658
5,ファミリータイム,7,4,先行,先行,先行,85.61253375962943,6,0.24248661025073232,0.46814833051278176,0.2822449557861063,0.00712010345037954
6,マイネルエンペラー,12,6,先行,逃げ,逃げ,85.63889352784449,11,0.182467074245898,0.5594524354243317,0.16941916293995937,0.08866132738981093
7,レガレイラ,17,8,自在,先行,先行,89.65672339259986,16,0.0,0.1379861090832493,0.46865183970093394,0.3933620512158168
8,シュガークン,3,2,先行,先行,先行,91.15378879962095,2,0.41093614547780655,0.5140625182225973,0.06024647198045607,0.01475486431913995
9,コスモキュランダ,9,5,自在,先行,先行,92.83687006221874,8,0.3527958735871294,0.5189358373364485,0.06994180009330517,0.05832648898311681
10,シンエンペラー,11,6,自在,差し,差し,94.21261252856335,10,0.09290379730027985,0.34882654574071364,0.3962259128076637,0.16204374415134276
11,メイショウタバル,16,8,逃げ,逃げ,逃げ,95.24189970201266,15,0.852,0.14000000000000004,0.008,0.0
12,ビザンチンドリーム,6,3,追込,追込,追込,95.48632715222038,5,0.0,0.0,0.44288817734353475,0.5571118226564653
13,ジューンテイク,10,5,自在,差し,差し,96.7062158630975,9,0.13773832560717242,0.4395881185600253,0.2392540660569908,0.18341948977581157
14,マイユニバース,15,7,自在,差し,差し,96.80506514509652,14,0.12349860517242739,0.33902115155163054,0.32084231340945624,0.21663792986648592
15,タガノデュード,8,4,自在,追込,追込,96.87770550653177,7,0.0,0.08158576808055522,0.4383601280727637,0.4800541038466811
16,ミステリーウェイ,18,8,逃げ,先行,先行,97.39663852665056,17,0.5735930970731554,0.21354783648739853,0.19211430155375017,0.020744764885695828
17,スティンガーグラス,14,7,自在,差し,差し,97.65051179903965,13,0.02933053766661674,0.2354031600903386,0.4471624225513839,0.2881038796916608
18,シェイクユアハート,13,7,差し,差し,差し,100.81876039625236,12,0.0,0.16793704944205154,0.5989731329447445,0.2330898176132039
