rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,running_style,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込,early_speed,stamina,acceleration,consistency,mud_aptitude,avg_race_score,race_power
1,クロワデュノール,5,3,先行,先行,先行,118.24386909040531,4,0.04406820597687568,0.7278103509646847,0.19613225034125198,0.03198919271718774,100.0,100.0,100.0,91.75777319446252,77.2,84.15434061189617,84.15434061189617
2,メイショウタバル,16,8,逃げ,逃げ,逃げ,121.97315723911598,15,0.8523246951219513,0.14005335365853663,0.007621951219512197,0.0,100.0,82.04855700002818,66.92518436053832,44.855939361812595,87.4,74.55692126648543,74.55692126648543
3,マイネルエンペラー,12,6,先行,逃げ,逃げ,125.44562938614736,11,0.1863303514385496,0.5712974208447452,0.164767794025263,0.0776044336914421,86.55359505315434,100.0,70.96688839855018,59.64380107376771,8.4,52.085558871618105,52.085558871618105
4,ミクニインスパイア,4,2,先行,先行,先行,125.60813007849363,3,0.16578572906577763,0.5134510223521582,0.28750932458217054,0.03325392399989359,87.42396194238249,92.28332564903178,89.59977448779743,28.470351460103693,37.3,62.7691758185278,62.7691758185278
5,ファミリータイム,7,4,先行,先行,先行,126.16142149409077,6,0.24604376176366888,0.4750158212185175,0.2727479441859567,0.00619247283185692,93.90919173150759,94.22953092403182,86.91745110212332,56.11362747472,38.8,60.5918266292599,60.5918266292599
6,ダノンデサイル,1,1,自在,差し,差し,126.22809169147853,0,0.09518737663137739,0.2698402741724428,0.45751930952412706,0.17745303967205278,95.31255982976374,100.0,100.0,94.62983911331628,67.0,79.17518753704475,79.17518753704475
7,ミュージアムマイル,2,1,自在,先行,先行,126.75497892774533,1,0.004345169890242192,0.29064028900268923,0.34674995556401805,0.3582645855430504,83.99243385230537,100.0,100.0,57.3419164738532,16.2,73.19511375103383,73.19511375103383
8,レガレイラ,17,8,自在,先行,先行,127.76745753454959,16,0.0,0.14974260023724575,0.48436307620644486,0.3658943235563093,76.56265066120493,100.0,100.0,53.80823790421795,16.6,68.50745067532274,68.50745067532274
9,コスモキュランダ,9,5,自在,先行,先行,128.13542706435905,8,0.35695905761924646,0.5250595636990215,0.0673972871827688,0.050584091498963354,100.0,89.49967076034707,70.3867901440749,53.755930491101346,60.0,64.21893309523782,64.21893309523782
10,スティンガーグラス,14,7,自在,差し,差し,129.16314847784903,13,0.031284276584589814,0.2510836198388077,0.4542365679899362,0.2633955355866663,71.09384723003251,100.0,100.0,23.43492754739568,32.6,61.120640949678894,61.120640949678894
11,タガノデュード,8,4,自在,追込,追込,135.593156275031,7,0.0,0.08960087547005267,0.45850026671671834,0.45189885781322897,66.427805356625,100.0,100.0,73.65672537159404,45.8,71.19983072873298,71.19983072873298
12,マイユニバース,15,7,自在,差し,差し,135.75634660671852,14,0.12948420429443078,0.35545246836071365,0.32037386439500604,0.19468946294984954,87.28901319317484,100.0,98.9562006741084,35.95474293258408,0.0,70.5583071593038,70.5583071593038
13,ミステリーウェイ,18,8,逃げ,先行,先行,135.79528757891148,17,0.5806255394967342,0.216166004091647,0.18520922560056205,0.01799923081105677,99.08679627247747,96.41587312910393,51.14804861685118,17.158665358080473,0.0,43.76011490503264,43.76011490503264
14,ジューンテイク,10,5,自在,差し,差し,135.86826201920317,9,0.14311900407225725,0.45676040748263663,0.23676229133599636,0.1633582971091097,87.02284148625408,84.65421695793222,89.66195933643323,50.52723087353769,12.0,67.1142313262559,67.1142313262559
15,シンエンペラー,11,6,自在,差し,差し,136.1721209600429,10,0.09697854551813773,0.3641260317348583,0.39390888452355705,0.14498653822344693,84.61218981782541,100.0,95.11834158830756,44.30823262534111,0.0,54.859774405027046,54.859774405027046
16,シュガークン,3,2,先行,先行,先行,136.84775159049784,2,0.4129914873900643,0.5166336579260546,0.05766457264310667,0.012710282040774342,98.08431387975833,79.40582623146351,58.90761981561149,3.4662183997581644,17.4,52.46668324902027,52.46668324902027
17,シェイクユアハート,13,7,差し,差し,差し,138.12975478108058,12,0.0,0.1790032210902382,0.6080403086402437,0.21295647026951803,75.53117049557981,88.75338714240306,100.0,24.019255783955057,0.0,67.35724446390519,67.35724446390519
18,ビザンチンドリーム,6,3,追込,追込,追込,142.9856474956636,5,0.0,0.0,0.46901770838096235,0.5309822916190376,56.696407804237765,100.0,100.0,30.10823163471428,2.1000000000000014,58.42233882984342,58.42233882984342
