horse_name,horse_number,section_index,distance_m,current_speed,elapsed_time,position_m,actual_running_style
ハートメテオ,1,0,100,14.276226672285688,7.004652020139825,100.0,差し
ハートメテオ,1,1,200,14.157810766853478,14.06789093799016,200.0,差し
ハートメテオ,1,2,300,14.086586574764564,21.16684280040551,300.0,差し
ハートメテオ,1,3,400,14.217587211748624,28.2003850260066,400.0,差し
ハートメテオ,1,4,500,14.070278160453672,35.30756505895455,500.0,差し
ハートメテオ,1,5,600,14.317310387619205,42.29211713561235,600.0,差し
ハートメテオ,1,6,700,14.14195928131528,49.363273119785106,700.0,差し
ハートメテオ,1,7,800,14.27006635156274,56.37094901535295,800.0,差し
ハートメテオ,1,8,900,14.564083268670823,63.23715529523001,900.0,差し
ハートメテオ,1,9,1000,14.9770604392697,69.91403293790822,1000.0,差し
ハートメテオ,1,10,1100,15.009239172631009,76.5765958333245,1100.0,差し
ハートメテオ,1,11,1200,15.511951049012168,83.0232381469855,1200.0,差し
ハートメテオ,1,12,1300,16.63308697068229,89.03535124278434,1300.0,差し
ハートメテオ,1,13,1400,16.63178381355387,95.04793540820057,1400.0,差し
ハートメテオ,1,14,1500,16.456844668572163,101.12443439776516,1500.0,差し
ハートメテオ,1,15,1600,15.164594864667842,107.71874178892344,1600.0,差し
ハートメテオ,1,16,1700,14.803983797521195,114.47368028167863,1700.0,差し
ハートメテオ,1,17,1800,14.743300862101039,121.25642187634138,1800.0,差し
ハートメテオ,1,18,1900,14.799837862668406,128.01325265570034,1900.0,差し
ハートメテオ,1,19,2000,14.68223118493346,134.8242065727465,2000.0,差し
ラブリーリディア,2,0,100,14.392775087109198,6.9479304300089,100.0,差し
ラブリーリディア,2,1,200,14.500486097239218,13.844250962259142,200.0,差し
ラブリーリディア,2,2,300,14.436038396924433,20.771359165386727,300.0,差し
ラブリーリディア,2,3,400,14.555401525926575,27.641660875846352,400.0,差し
ラブリーリディア,2,4,500,14.51190091919253,34.53255687609028,500.0,差し
ラブリーリディア,2,5,600,14.587710368043801,41.38764225117851,600.0,差し
ラブリーリディア,2,6,700,14.427089876241032,48.319047049916406,700.0,差し
ラブリーリディア,2,7,800,14.48598546121768,55.22227087736833,800.0,差し
ラブリーリディア,2,8,900,14.706935563229315,62.02178390780703,900.0,差し
ラブリーリディア,2,9,1000,14.936752104704395,68.7166797793469,1000.0,差し
ラブリーリディア,2,10,1100,14.795285514562675,75.47558956189704,1100.0,差し
ラブリーリディア,2,11,1200,15.797575377849185,81.80567488247203,1200.0,差し
ラブリーリディア,2,12,1300,16.365838246955395,87.91596379594112,1300.0,差し
ラブリーリディア,2,13,1400,16.552202539253912,93.95745584286647,1400.0,差し
ラブリーリディア,2,14,1500,14.766663906778318,100.7294661378998,1500.0,差し
ラブリーリディア,2,15,1600,15.069140726219283,107.36554458569124,1600.0,差し
ラブリーリディア,2,16,1700,14.524518575360661,114.25045436642846,1700.0,差し
ラブリーリディア,2,17,1800,14.693231379732811,121.05630921316663,1800.0,差し
ラブリーリディア,2,18,1900,14.55715538660486,127.92578318278693,1900.0,差し
ラブリーリディア,2,19,2000,14.414326732204515,134.86332538353224,2000.0,差し
ヨヒーン,3,0,100,13.952424400556072,7.167213175941989,100.0,追込
ヨヒーン,3,1,200,13.865817051723512,14.379193517740172,200.0,追込
ヨヒーン,3,2,300,14.025723516923636,21.508950487449333,300.0,追込
ヨヒーン,3,3,400,13.973928110937528,28.66513443273019,400.0,追込
ヨヒーン,3,4,500,13.967795560420194,35.82446029538562,500.0,追込
ヨヒーン,3,5,600,14.002770290982427,42.96590430410427,600.0,追込
ヨヒーン,3,6,700,13.919341670677767,50.15015212026775,700.0,追込
ヨヒーン,3,7,800,13.963363708089332,57.31175029177906,800.0,追込
ヨヒーン,3,8,900,14.17519952900098,64.36632471208337,900.0,追込
ヨヒーン,3,9,1000,14.1892107836465,71.41393303398193,1000.0,追込
ヨヒーン,3,10,1100,14.196130649942099,78.45810601786525,1100.0,追込
ヨヒーン,3,11,1200,14.739627695338003,85.2425378954512,1200.0,追込
ヨヒーン,3,12,1300,15.230336531737203,91.80838099364004,1300.0,追込
ヨヒーン,3,13,1400,16.72328098358067,97.78806883708312,1400.0,追込
ヨヒーン,3,14,1500,15.259568657404163,104.34133402072764,1500.0,追込
ヨヒーン,3,15,1600,15.021453329682787,110.99847949162542,1600.0,追込
ヨヒーン,3,16,1700,15.041711197735678,117.64665925557765,1700.0,追込
ヨヒーン,3,17,1800,15.811467916078392,123.97118272998016,1800.0,追込
ヨヒーン,3,18,1900,15.839456020992838,130.28453085680124,1900.0,追込
ヨヒーン,3,19,2000,15.912165092708454,136.5690307609547,2000.0,追込
ウィルサヴァイブ,4,0,100,13.721603153346177,7.287778175949784,100.0,追込
ウィルサヴァイブ,4,1,200,13.574988225822276,14.654267069824513,200.0,追込
ウィルサヴァイブ,4,2,300,13.638732814285522,21.98632653324165,300.0,追込
ウィルサヴァイブ,4,3,400,13.596305521211818,29.341265699913684,400.0,追込
ウィルサヴァイブ,4,4,500,13.661400301694952,36.66115954619774,500.0,追込
ウィルサヴァイブ,4,5,600,13.712733350765577,43.95365167318984,600.0,追込
