rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,running_style,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
1,クロワデュノール,5,3,先行,先行,先行,86.41988116426668,4,0.042087145968058064,0.7017756467819536,0.2168408065498171,0.039296400700171256
2,ダノンデサイル,1,1,自在,差し,差し,89.6809171913784,0,0.08457288488009541,0.242055255541025,0.47057528360812,0.20279657597075962
3,ミュージアムマイル,2,1,自在,先行,先行,91.42217655533605,1,0.0037458221703245208,0.25296018534937365,0.34603872696580906,0.3972552655144929
4,レガレイラ,3,2,自在,差し,差し,95.77757617806921,2,0.0,0.14389265515687402,0.4654406226743281,0.3906667221687978
5,メイショウタバル,4,2,逃げ,逃げ,逃げ,99.26384018053392,3,0.8523246951219512,0.1400533536585366,0.007621951219512195,0.0
