horse_name,horse_number,section_index,distance_m,current_speed,elapsed_time,position_m,actual_running_style
プリンセッサ,1,0,100,15.769408119948547,6.341392095337962,100.0,先行
プリンセッサ,1,1,200,16.210673855474298,12.510167119223246,200.0,先行
プリンセッサ,1,2,300,15.824506128753297,18.829479658039162,300.0,先行
プリンセッサ,1,3,400,15.942658866614403,25.10195910056242,400.0,先行
プリンセッサ,1,4,500,15.80060825530567,31.43082938101008,500.0,先行
プリンセッサ,1,5,600,15.951215987133418,37.69994391626947,600.0,先行
プリンセッサ,1,6,700,16.01861895818232,43.9426793394078,700.0,先行
プリンセッサ,1,7,800,16.219782858574646,50.10798998949056,800.0,先行
プリンセッサ,1,8,900,15.705286385949606,56.47527279749226,900.0,先行
プリンセッサ,1,9,1000,15.541804393261884,62.90953213248651,1000.0,先行
プリンセッサ,1,10,1100,15.535051995637028,69.34658815444799,1100.0,先行
プリンセッサ,1,11,1200,15.552699867206767,75.77633995663201,1200.0,先行
プリンセッサ,1,12,1300,13.648909571569126,83.10293256651357,1300.0,先行
プリンセッサ,1,13,1400,13.382853001491302,90.57518082246143,1400.0,先行
プリンセッサ,1,14,1500,12.85985015229981,98.35132119856965,1500.0,先行
プリンセッサ,1,15,1600,12.68812654047613,106.23270539512475,1600.0,先行
プリンセッサ,1,16,1700,12.675619224161503,114.12186632932085,1700.0,先行
コパノエビータ,2,0,100,15.522486946268803,6.44226665135237,100.0,先行
コパノエビータ,2,1,200,15.493394469813971,12.896630167032011,200.0,先行
コパノエビータ,2,2,300,15.577936114051763,19.315965775283544,300.0,先行
コパノエビータ,2,3,400,15.600708996436019,25.725930862309077,400.0,先行
コパノエビータ,2,4,500,15.607452253072251,32.13312650055397,500.0,先行
コパノエビータ,2,5,600,15.744969391219175,38.484361457909245,600.0,先行
コパノエビータ,2,6,700,15.614178989749927,44.8887968153908,700.0,先行
コパノエビータ,2,7,800,15.374883238466817,51.39291124988662,800.0,先行
コパノエビータ,2,8,900,15.021296384565392,58.0501262757982,900.0,先行
コパノエビータ,2,9,1000,14.718600418603584,64.84425052375353,1000.0,先行
コパノエビータ,2,10,1100,14.614471505077727,71.6867832807715,1100.0,先行
コパノエビータ,2,11,1200,13.3432633936526,79.18120177869083,1200.0,先行
コパノエビータ,2,12,1300,12.462924744066589,87.20500053007208,1300.0,先行
コパノエビータ,2,13,1400,12.105249917191676,95.46587913101544,1400.0,先行
コパノエビータ,2,14,1500,11.502248580131008,104.15983138768463,1500.0,先行
コパノエビータ,2,15,1600,11.35943107105837,112.96308917185137,1600.0,先行
コパノエビータ,2,16,1700,11.36329843413647,121.76335087223848,1700.0,先行
ネクストダンサー,3,0,100,16.064051249722127,6.225079741433829,100.0,先行
ネクストダンサー,3,1,200,15.892469405948834,12.517368085406869,200.0,先行
ネクストダンサー,3,2,300,15.886245996005142,18.812121422674004,300.0,先行
ネクストダンサー,3,3,400,15.834409160940297,25.127481786524907,400.0,先行
ネクストダンサー,3,4,500,16.083452485558066,31.345052304409283,500.0,先行
ネクストダンサー,3,5,600,15.999540249182825,37.59523189973281,600.0,先行
ネクストダンサー,3,6,700,15.907488046941001,43.881579543365326,700.0,先行
ネクストダンサー,3,7,800,16.069669002737722,50.10448307566356,800.0,先行
ネクストダンサー,3,8,900,15.707955574291002,56.47068391746303,900.0,先行
ネクストダンサー,3,9,1000,15.433900674958641,62.94992737678171,1000.0,先行
ネクストダンサー,3,10,1100,15.307961637933477,69.48247575684805,1100.0,先行
ネクストダンサー,3,11,1200,15.173722665382945,76.07281632160202,1200.0,先行
ネクストダンサー,3,12,1300,13.49843367116471,83.48108326842708,1300.0,先行
ネクストダンサー,3,13,1400,13.067572552946265,91.1336139580274,1400.0,先行
ネクストダンサー,3,14,1500,12.59362934648557,99.07413668175727,1500.0,先行
ネクストダンサー,3,15,1600,12.553701945282947,107.03991446076333,1600.0,先行
ネクストダンサー,3,16,1700,12.407871371476958,115.09931457913324,1700.0,先行
コンティオ,4,0,100,14.31028622150288,6.987980425558386,100.0,追込
コンティオ,4,1,200,14.324431000480384,13.969060511507099,200.0,追込
コンティオ,4,2,300,14.33141681165729,20.94673768845301,300.0,追込
コンティオ,4,3,400,14.210489073273296,27.98379316799152,400.0,追込
