horse_name,frame,horse_number,carried_weight,weight_penalty,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,mud_source,base_ability_score,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,consistency,running_style,primary_running_style,base_style_profile,base_逃げ,base_先行,base_差し,base_追込,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,avg_first_ratio,avg_mid_ratio,avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders,debug_field_sizes,debug_first_ratios,debug_mid_ratios,debug_last_corner_ratios,field_size_warnings,avg_opponent_strength_score,avg_race_score,popularity_score,race_level_score,finish_score,margin_score,time_score,last3f_score,horse_ability_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,actual_running_style,actual_running_style_fixed,adjusted_style_profile,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
ステラクラウン,1,1,56.0,0.0,65.63,79.8,99.36,0.0,10.94,61.18,75.81,race_history,56.67,54.29,56.67,1500.0,50.0,50.23,59.01,岩田望,50.0,50.0,50.0,77.81,差し,差し,"{'逃げ': 0.0, '先行': 0.10943156523631475, '差し': 0.6117552297860268, '追込': 0.2788132049776584}",0.0,0.109,0.612,0.279,0.0,10.94,61.18,27.88,39.51,0.647,0.659,0.675,0.647,0.659,0.675,2.87,0.661,0.0247,10,"['4-5-5-5', '5-4-5-4', '3-3-3-3', '8-8-7-7', '7-7-7-4', '7-7-8-7', '7-8-10-10', '4-4-3-3', '4-4-3-2', '8-8-9-6']","[7, 8, 7, 10, 7, 11, 12, 6, 8, 11]","[0.5714, 0.625, 0.4286, 0.8, 1.0, 0.6364, 0.5833, 0.6667, 0.5, 0.7273]","[0.7143, 0.5, 0.4286, 0.8, 1.0, 0.6364, 0.6667, 0.6667, 0.5, 0.7273]","[0.7143, 0.625, 0.4286, 0.7, 1.0, 0.7273, 0.8333, 0.5, 0.375, 0.8182]",[],51.49,68.46,83.14,55.0,75.16,85.94,66.68,66.63,54.75,58.18,0.341,0.333,0.657,0.667,100.0,66.7,61.69,35.025,34.0,85.55,65.66,34.08,48.34,80.81,65.06,56.06,94.94,差し,差し,"{'逃げ': 0.0, '先行': 0.10943156523631475, '差し': 0.6117552297860268, '追込': 0.2788132049776584}",0.0,0.10943156523631475,0.6117552297860268,0.2788132049776584
ロードガレリア,2,2,58.0,4.0,68.04,87.63,90.12,3.39,16.45,51.25,83.97,race_history,56.35,54.14,56.35,1500.0,50.0,50.08,60.82,高杉,50.0,50.0,50.0,75.95,差し,差し,"{'逃げ': 0.03385386969176805, '先行': 0.1645123125636999, '差し': 0.5125413387218116, '追込': 0.2890924790227204}",0.034,0.165,0.513,0.289,3.39,16.45,51.25,28.91,56.79,0.62,0.605,0.499,0.62,0.605,0.499,2.18,0.575,0.0324,10,"['6-6-6-6', '6-6-6-3', '7-8-6-8', '9-7-2-4', '6-6-5-5', '4-4-4-4', '9-9-7-5', '4-4-4-4', '2-2-2-2', '3-3']","[7, 10, 13, 10, 9, 9, 18, 16, 16, 11]","[0.8571, 0.6, 0.5385, 0.9, 0.6667, 0.4444, 0.5, 0.25, 0.125, 0.2727]","[0.8571, 0.6, 0.6154, 0.7, 0.6667, 0.4444, 0.5, 0.25, 0.125, 0.2727]","[0.8571, 0.6, 0.4615, 0.2, 0.5556, 0.4444, 0.3889, 0.25, 0.125, 0.2727]",[],50.68,70.8,77.86,50.0,82.3,89.24,70.25,64.98,54.53,58.59,0.286,0.305,0.702,0.699,100.0,69.95,62.26,35.155,34.3,84.4,70.21,28.55,48.26,80.07,66.34,53.72,94.54,差し,差し,"{'逃げ': 0.03385386969176805, '先行': 0.1645123125636999, '差し': 0.5125413387218116, '追込': 0.2890924790227204}",0.03385386969176805,0.1645123125636999,0.5125413387218116,0.2890924790227204
ダノンカゼルタ,3,3,58.0,4.0,73.6,64.8,60.65,18.88,36.13,35.14,59.23,race_history,44.81,55.83,44.81,1500.0,50.0,48.01,55.48,Ｍデムーロ,50.0,50.0,50.0,36.35,自在,自在,"{'逃げ': 0.188786371533045, '先行': 0.3613479563480188, '差し': 0.3513911388400101, '追込': 0.09847453327892607}",0.189,0.361,0.351,0.098,18.88,36.13,35.14,9.85,100.0,0.446,0.45,0.395,0.446,0.45,0.395,-2.85,0.43,0.0709,10,"['4-4-4-4', '1-1-1-1', '8-8-5-6', '5-4-3-3', '4-5-5-5', '6-6', '3-4', '2-2-3-3', '13-13-13', '2-2-2-2']","[7, 14, 8, 14, 12, 15, 18, 6, 14, 15]","[0.5714, 0.0714, 1.0, 0.3571, 0.3333, 0.4, 0.1667, 0.3333, 0.9286, 0.1333]","[0.5714, 0.0714, 1.0, 0.2857, 0.4167, 0.4, 0.2222, 0.3333, 0.9286, 0.1333]","[0.5714, 0.0714, 0.625, 0.2143, 0.4167, 0.4, 0.2222, 0.5, 0.9286, 0.1333]",[],47.99,56.1,48.43,53.1,59.16,61.66,60.82,60.71,46.3,48.75,0.529,0.529,0.179,0.607,100.0,60.66,46.78,35.413,33.9,76.47,17.86,52.86,56.37,65.72,55.67,54.01,91.76,先行,先行,"{'逃げ': 0.188786371533045, '先行': 0.3613479563480188, '差し': 0.3513911388400101, '追込': 0.09847453327892607}",0.188786371533045,0.3613479563480188,0.3513911388400101,0.09847453327892607
ミカエルパシャ,4,4,58.0,4.0,77.86,54.51,28.19,41.45,40.16,14.06,50.95,race_history,34.32,53.79,34.32,1500.0,50.0,50.3,44.32,北村友,50.0,50.0,50.0,33.66,自在,自在,"{'逃げ': 0.4145120975281403, '先行': 0.4015763502608859, '差し': 0.14057450866741011, '追込': 0.04333704354356367}",0.415,0.402,0.141,0.043,41.45,40.16,14.06,4.33,100.0,0.302,0.312,0.291,0.302,0.312,0.291,-4.11,0.301,0.0554,10,"['1-1-1-2', '4-4-3-3', '1-1-1-1', '4-4-4-9', '9-10', '2-2-2-1', '2-2-2-2', '1-2-2-2', '6-4', '1-1-1']","[7, 8, 9, 13, 11, 15, 9, 11, 15, 13]","[0.1429, 0.5, 0.1111, 0.3077, 0.8182, 0.1333, 0.2222, 0.0909, 0.4, 0.0769]","[0.1429, 0.5, 0.1111, 0.3077, 0.9091, 0.1333, 0.2222, 0.1818, 0.2667, 0.0769]","[0.1429, 0.375, 0.1111, 0.3077, 0.9091, 0.1333, 0.2222, 0.1818, 0.2667, 0.0769]",[],43.59,41.21,44.43,55.0,38.25,41.78,50.42,34.72,38.83,40.0,0.653,0.639,0.0,0.495,100.0,49.54,34.17,37.74,35.7,53.95,0.0,65.3,57.46,49.44,44.12,45.11,83.88,逃げ,逃げ,"{'逃げ': 0.4145120975281403, '先行': 0.4015763502608859, '差し': 0.14057450866741011, '追込': 0.04333704354356367}",0.4145120975281403,0.4015763502608859,0.14057450866741011,0.04333704354356367
カリーニョ,5,5,58.0,4.0,62.48,73.53,88.22,3.27,28.4,37.74,60.04,race_history,56.43,55.33,56.43,1500.0,50.0,49.1,57.36,坂井,50.0,50.0,50.0,63.44,自在,自在,"{'逃げ': 0.032711780513588286, '先行': 0.2840408621431385, '差し': 0.37736555115399856, '追込': 0.3058818061892746}",0.033,0.284,0.377,0.306,3.27,28.4,37.74,30.59,96.39,0.661,0.618,0.538,0.661,0.618,0.538,2.09,0.606,0.0567,10,"['3-3-3-3', '6-4-4', '9-9-8-8', '2-2-2-2', '15-15', '9-9-5-5', '6-6-4-5', '8-8-8-7', '6-5-1-1', '11-11-11-12']","[7, 8, 10, 9, 16, 9, 9, 13, 16, 16]","[0.4286, 0.75, 0.9, 0.2222, 0.9375, 1.0, 0.6667, 0.6154, 0.375, 0.6875]","[0.4286, 0.5, 0.9, 0.2222, 0.9375, 1.0, 0.6667, 0.6154, 0.3125, 0.6875]","[0.4286, 0.5, 0.8, 0.2222, 0.9375, 0.5556, 0.4444, 0.6154, 0.0625, 0.6875]",[],49.91,63.87,87.29,55.0,74.49,71.44,64.34,65.33,54.58,56.91,0.365,0.421,0.43,0.641,100.0,64.14,54.01,35.08,33.8,71.51,43.04,36.46,52.01,76.63,59.9,53.71,90.03,追込,追込,"{'逃げ': 0.03271178051358829, '先行': 0.28404086214313856, '差し': 0.3773655511539986, '追込': 0.30588180618927463}",0.03271178051358829,0.28404086214313856,0.3773655511539986,0.30588180618927463
ラーテル,6,6,58.0,4.0,40.72,52.25,81.96,1.64,0.18,59.87,38.95,race_history,32.19,54.0,32.19,1500.0,50.0,49.25,40.76,城戸,50.0,50.0,50.0,67.05,差し,差し,"{'逃げ': 0.016363636363636365, '先行': 0.0018181818181818186, '差し': 0.5986511517639701, '追込': 0.38316703005421165}",0.016,0.002,0.599,0.383,1.64,0.18,59.87,38.32,39.16,0.863,0.9,0.909,0.863,0.9,0.909,0.67,0.891,0.024,10,"['7-7-7-7', '9-9', '11-11-11', '10-10', '7-11-11', '9-9-10-11', '7-7-7-8', '8-9-10', '6-6-5', '1-1']","[7, 9, 12, 10, 13, 11, 8, 13, 9, 9]","[1.0, 1.0, 0.9167, 1.0, 0.5385, 0.8182, 0.875, 0.6154, 0.6667, 0.1111]","[1.0, 1.0, 0.9167, 1.0, 0.8462, 0.8182, 0.875, 0.6923, 0.6667, 0.1111]","[1.0, 1.0, 0.9167, 1.0, 0.8462, 0.9091, 0.875, 0.7692, 0.5556, 0.1111]",[],42.94,42.43,35.0,55.0,18.13,37.63,59.62,64.81,37.31,40.0,0.086,0.04,0.432,0.611,100.0,61.07,54.63,35.13,34.0,78.14,43.22,8.59,29.67,68.62,50.18,35.48,92.35,差し,差し,"{'逃げ': 0.01636363636363637, '先行': 0.0018181818181818188, '差し': 0.5986511517639702, '追込': 0.3831670300542117}",0.01636363636363637,0.0018181818181818188,0.5986511517639702,0.3831670300542117
エコテーラー,7,7,56.0,0.0,88.26,58.79,44.61,51.55,37.49,10.96,24.49,race_history,34.94,53.26,34.94,1500.0,50.0,46.74,44.98,藤懸,50.0,50.0,50.0,40.37,逃げ,逃げ,"{'逃げ': 0.5154580358399227, '先行': 0.3749154111443663, '差し': 0.10962655301571117, '追込': 0.0}",0.515,0.375,0.11,0.0,51.55,37.49,10.96,0.0,35.9,0.221,0.221,0.25,0.221,0.221,0.25,-3.2,0.23,0.0194,10,"['2-2-2-1', '1-1-1-1', '1-1-1-1', '2-2', '8-8-12-12', '1-1-1-1', '1-1-1-1', '2-2-2-2', '2-2-2-2', '1-1-2-2']","[7, 8, 7, 10, 16, 8, 7, 9, 6, 11]","[0.2857, 0.125, 0.1429, 0.2, 0.5, 0.125, 0.1429, 0.2222, 0.3333, 0.0909]","[0.2857, 0.125, 0.1429, 0.2, 0.5, 0.125, 0.1429, 0.2222, 0.3333, 0.0909]","[0.2857, 0.125, 0.1429, 0.2, 0.75, 0.125, 0.1429, 0.2222, 0.3333, 0.1818]",[],44.28,44.62,45.07,54.2,27.37,49.7,59.59,45.77,39.27,40.61,0.762,0.762,0.0,0.603,100.0,60.33,36.54,36.598,34.7,59.37,0.0,76.19,69.05,54.71,52.26,53.84,85.78,逃げ,逃げ,"{'逃げ': 0.5154580358399227, '先行': 0.3749154111443663, '差し': 0.10962655301571117, '追込': 0.0}",0.5154580358399227,0.3749154111443663,0.10962655301571117,0.0
