horse_number,horse_name,frame,actual_running_style,actual_running_style_fixed,position_m,finish_position_m,rank,lane,gap_from_leader,nige_senko_gap,early_gap_range,final_stretch_start_progress,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,performance_index,mid_race_move_score,normalized_mid_race_move,final_performance_score,late_power,random_noise,normalized_final_performance,normalized_late_power,late_phase,late_ratio,gap_adjustment,escape_fade,stalker_fade,fade_penalty,late_gain_multiplier,tie_breaker,ability_factor,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,stamina,acceleration,last3f_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,straight_attack_score,straight_ratio,pace,time,elapsed_time,progress
1,ダノンデサイル,1,差し,差し,0.0,0.0,11,0.22,42.0,12.0,42.0-75.0,0.75,82.143,85.571,94.2,83.223,85.457,75.575,80.579,66.405,77.333,1.0,78.637,76.152,-2.769,1.0,1.108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.504,0.49,0.875,0.757,1.0,75.688,50.404,61.018,86.447,78.438,64.704,65.0,100.0,0.0,0.0,56.883,48.6675,33.8,0.0,87.5,0.0,0.0,medium,0.0,0.0,0.0
10,ジューンテイク,5,差し,差し,0.0,0.0,12,4.0,42.0,12.0,42.0-75.0,0.75,68.975,58.786,89.057,68.458,69.85,69.134,68.3,56.581,69.779,0.049,65.002,65.79,2.87,-0.331,-0.123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.524,0.549,0.278,0.697,1.0,69.684,52.361,61.575,76.315,69.709,62.01,65.0,85.635,0.0,0.0,40.684,49.21,33.6,0.0,27.778,0.0,0.0,medium,0.0,0.0,0.0
11,シンエンペラー,6,差し,差し,0.0,0.0,13,5.22,42.0,12.0,42.0-75.0,0.75,60.198,60.143,95.0,44.679,41.343,63.223,58.567,55.868,66.418,-0.399,62.12,61.37,0.703,-0.644,-0.649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.07,0.0,0.541,0.531,0.205,0.643,1.0,64.317,54.116,58.14,66.758,62.087,55.547,65.0,100.0,0.0,0.0,36.623,47.975,33.1,0.0,20.476,0.0,0.0,medium,0.0,0.0,0.0
13,シェイクユアハート,7,差し,差し,0.0,0.0,14,6.22,42.0,12.0,42.0-75.0,0.75,69.532,64.714,87.571,67.075,66.8,64.896,68.146,59.278,66.418,-0.399,70.358,68.129,-2.458,0.25,0.155,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.56,0.0,0.364,0.368,0.65,0.66,1.0,66.042,36.419,49.978,78.859,67.29,57.752,65.0,90.436,0.0,0.0,54.008,47.2775,33.2,0.0,65.0,0.0,0.0,medium,0.0,0.0,0.0
14,スティンガーグラス,7,差し,差し,0.0,0.0,15,6.0,42.0,12.0,42.0-75.0,0.75,69.149,73.143,86.5,66.968,64.043,55.874,66.803,59.819,63.903,-0.735,69.289,70.016,2.796,0.134,0.379,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.042,0.0,0.355,0.406,0.577,0.563,1.0,56.321,35.5,47.696,72.838,60.683,55.92,65.0,100.0,0.0,0.0,47.34,47.8425,34.2,0.0,57.659,0.0,0.0,medium,0.0,0.0,0.0
15,マイユニバース,7,差し,差し,0.0,0.0,16,6.22,42.0,12.0,42.0-75.0,0.75,78.817,85.571,73.814,81.732,86.179,68.884,77.114,83.8,73.877,0.595,76.915,74.701,-2.745,0.962,0.936,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.769,0.0,0.592,0.592,0.512,0.683,1.0,68.346,59.235,63.335,76.051,69.472,65.94,91.919,100.0,100.0,100.0,61.54,35.1375,34.1,76.91,51.155,0.0,0.0,medium,0.0,0.0,0.0
6,ビザンチンドリーム,3,追込,追込,0.0,0.0,17,2.0,70.0,12.0,70.0-110.0,0.75,64.685,66.286,92.8,57.023,54.493,56.646,62.831,58.72,59.495,-1.0,67.519,66.755,0.289,-0.058,-0.009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.145,0.137,0.677,0.571,1.0,57.07,14.476,33.24,69.562,60.232,45.143,65.0,100.0,0.0,0.0,48.087,48.9075,34.9,0.0,67.698,0.0,0.0,medium,0.0,0.0,0.0
8,タガノデュード,4,追込,追込,0.0,0.0,18,3.0,70.0,12.0,70.0-110.0,0.75,70.23,58.786,89.186,74.891,71.186,69.172,69.584,61.125,66.867,-0.34,73.056,72.464,-0.015,0.543,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.129,0.145,0.993,0.697,1.0,69.652,12.854,39.33,81.168,70.679,50.339,65.0,100.0,0.0,0.0,61.236,47.3875,33.6,0.0,99.286,0.0,0.0,medium,0.0,0.0,0.0
16,メイショウタバル,8,逃げ,逃げ,7.333,7.333,1,7.0,0.025,11.975,0.0-8.0,0.75,77.328,78.786,95.0,71.518,83.493,73.94,76.038,63.007,78.933,1.0,70.11,68.787,0.485,0.223,0.233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.227,0.0,0.911,0.911,0.04,0.738,1.0,73.79,91.09,83.305,73.572,77.006,75.396,65.0,83.861,0.0,0.0,29.956,50.7925,33.1,0.0,3.968,0.0,0.0,medium,0.475,0.475,0.0033
12,マイネルエンペラー,6,逃げ,逃げ,7.247,7.247,2,5.0,0.111,11.975,0.0-8.0,0.75,57.871,52.357,91.9,49.228,42.486,59.265,56.512,54.103,64.226,-0.692,58.563,58.82,2.482,-1.0,-0.952,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,0.0,0.562,0.562,0.107,0.595,1.0,59.477,56.177,57.662,54.631,58.345,53.511,65.0,100.0,0.0,0.0,30.413,51.0,35.1,0.0,10.714,0.0,0.0,medium,0.475,0.475,0.0033
2,ミュージアムマイル,1,先行,先行,0.0,0.0,3,0.0,12.0,11.975,12.0-32.0,0.75,78.522,82.714,93.9,76.22,74.386,68.885,76.662,63.788,72.5,0.411,75.391,74.378,-0.549,0.797,0.897,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.425,0.425,0.719,0.695,1.0,69.454,42.507,54.633,79.713,72.364,62.051,65.0,100.0,0.0,0.0,56.431,48.88,32.3,0.0,71.905,0.0,0.0,medium,0.475,0.475,0.0033
3,シュガークン,2,先行,先行,0.0,0.0,4,1.22,12.0,11.975,12.0-32.0,0.75,58.901,66.857,85.371,38.428,45.729,56.573,56.51,52.004,64.17,-0.699,58.121,56.198,-1.369,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.849,0.838,0.118,0.573,1.0,57.331,84.863,71.907,50.366,57.102,63.907,65.0,80.105,0.0,0.0,33.175,50.1325,33.9,0.0,11.765,0.0,0.0,medium,0.475,0.475,0.0033
4,ミクニインスパイア,2,先行,先行,0.0,0.0,5,1.0,12.0,11.975,12.0-32.0,0.75,71.883,81.286,75.043,74.143,69.243,62.17,68.939,60.425,69.642,0.03,68.324,68.527,2.33,0.029,0.202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.627,0.67,0.291,0.63,1.0,62.999,62.705,65.194,75.48,63.534,62.616,65.0,94.817,0.0,0.0,38.58,49.13,33.6,0.0,29.056,0.0,0.0,medium,0.475,0.475,0.0033
5,クロワデュノール,3,先行,先行,0.0,0.0,6,2.22,12.0,11.975,12.0-32.0,0.75,86.496,90.0,95.0,89.541,94.186,79.13,85.022,69.767,83.0,1.0,79.933,78.086,-0.889,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.659,0.683,0.465,0.796,1.0,79.599,65.938,73.369,89.699,82.855,72.884,65.0,100.0,0.0,0.0,45.742,49.9825,34.2,0.0,46.508,0.0,0.0,medium,0.475,0.475,0.0033
7,ファミリータイム,4,先行,先行,0.0,0.0,7,3.22,12.0,11.975,12.0-32.0,0.75,62.426,58.071,86.086,58.288,53.821,60.331,60.991,56.683,67.598,-0.242,62.885,60.11,-2.599,-0.561,-0.799,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.723,0.723,0.183,0.607,1.0,60.662,72.295,67.06,66.455,60.664,62.166,65.0,95.796,0.0,0.0,35.697,49.0325,33.8,0.0,18.254,0.0,0.0,medium,0.475,0.475,0.0033
9,コスモキュランダ,5,先行,先行,0.0,0.0,8,4.22,12.0,11.975,12.0-32.0,0.75,66.694,58.929,93.3,61.702,64.543,70.037,65.994,58.222,73.799,0.585,63.434,61.038,-1.539,-0.502,-0.688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.818,0.81,0.0,0.702,1.0,70.213,81.792,76.13,63.607,69.595,67.493,65.0,90.913,0.0,0.0,28.313,52.082499999999996,33.3,0.0,0.0,0.0,0.0,medium,0.475,0.475,0.0033
17,レガレイラ,8,先行,先行,0.0,0.0,9,7.0,12.0,11.975,12.0-32.0,0.75,76.884,86.0,93.9,72.744,69.129,66.913,74.503,62.009,69.179,-0.031,73.024,71.309,-1.655,0.54,0.532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.713,0.0,0.34,0.314,0.719,0.671,1.0,67.084,33.999,47.435,76.358,69.428,55.632,65.0,100.0,0.0,0.0,52.408,48.625,34.0,0.0,71.905,0.0,0.0,medium,0.475,0.475,0.0033
18,ミステリーウェイ,8,先行,先行,0.0,0.0,10,7.0,12.0,11.975,12.0-32.0,0.75,49.62,51.571,92.8,26.635,26.814,53.446,47.645,49.56,62.311,-0.947,52.279,50.283,-1.153,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.375,0.0,0.786,0.787,0.0,0.547,1.0,54.75,78.628,67.914,44.321,52.471,55.671,65.0,96.491,0.0,0.0,24.186,50.3225,34.6,0.0,0.0,0.0,0.0,medium,0.475,0.475,0.0033
1,ダノンデサイル,1,差し,差し,0.0,0.0,11,0.22,42.0,11.975,42.0-75.0,0.75,82.143,85.571,94.2,83.223,85.457,75.575,80.579,66.405,77.333,1.0,78.637,76.152,-2.769,1.0,1.108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.504,0.49,0.875,0.757,1.0,75.688,50.404,61.018,86.447,78.438,64.704,65.0,100.0,0.0,0.0,56.883,48.6675,33.8,0.0,87.5,0.0,0.0,medium,0.475,0.475,0.0033
10,ジューンテイク,5,差し,差し,0.0,0.0,12,4.0,42.0,11.975,42.0-75.0,0.75,68.975,58.786,89.057,68.458,69.85,69.134,68.3,56.581,69.779,0.049,65.002,65.79,2.87,-0.331,-0.123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.524,0.549,0.278,0.697,1.0,69.684,52.361,61.575,76.315,69.709,62.01,65.0,85.635,0.0,0.0,40.684,49.21,33.6,0.0,27.778,0.0,0.0,medium,0.475,0.475,0.0033
