rank,horse_name,horse_number,frame,running_style,finish_time,lane_index
1,アカツキスター,2,1,先行,100.30943620802793,1
2,カゼノブリッツ,5,3,先行,100.42161331833886,4
3,ミドリノハヤテ,1,1,先行,100.6537874260474,0
4,シロガネロンド,3,2,先行,101.06607560986605,2
5,クロノスウィフト,4,2,先行,101.06607560986605,3
