rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,running_style,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
1,クロワデュノール,5,3,先行,先行,先行,85.10986025706814,4,0.042087145968058064,0.7017756467819536,0.2168408065498171,0.039296400700171256
2,ミュージアムマイル,2,1,自在,先行,先行,89.10142814737718,1,0.0037458221703245208,0.25296018534937365,0.34603872696580906,0.3972552655144929
3,ダノンデサイル,1,1,自在,差し,差し,90.53398570952453,0,0.08457288488009541,0.242055255541025,0.47057528360812,0.20279657597075962
4,マイネルエンペラー,12,6,先行,逃げ,逃げ,90.71693943853444,11,0.18014251086918032,0.5523252172794824,0.17562386640913338,0.09190840544220392
5,ファミリータイム,7,4,先行,先行,先行,91.25605082662149,6,0.23902828850757285,0.4614716420607386,0.2921305843826775,0.007369485049011045
6,ミクニインスパイア,4,2,先行,先行,先行,91.57617300222086,3,0.15643489248526304,0.4891493347795914,0.3140554368173291,0.0403603359178165
7,シンエンペラー,11,6,自在,差し,差し,95.59836573341167,10,0.09038095019716971,0.33935399385388965,0.4047395188312628,0.16552553711767784
8,レガレイラ,17,8,自在,先行,先行,95.70736837556157,16,0.0,0.132284552972451,0.47175160965666163,0.3959638373708873
9,マイユニバース,15,7,自在,差し,差し,98.13263681303668,14,0.12026656017148095,0.33014873055094235,0.328067927602975,0.2215167816746018
10,スティンガーグラス,14,7,自在,差し,差し,98.15428453920866,13,0.02829048562877044,0.2270558348844295,0.45287148651489717,0.291782192971903
11,タガノデュード,8,4,自在,追込,追込,98.23762459823354,7,0.0,0.07800377903986942,0.4400698154012675,0.48192640555886307
12,ジューンテイク,10,5,自在,差し,差し,98.98231015320609,9,0.13488765340210196,0.43049027577927185,0.24601751447776704,0.1886045563408592
13,コスモキュランダ,9,5,自在,先行,先行,99.63480910027113,8,0.3505476661184918,0.5156288955250803,0.07297089748930423,0.06085254086712371
14,ビザンチンドリーム,6,3,追込,追込,追込,100.89900688050713,5,0.0,0.0,0.44288817734353475,0.5571118226564653
15,シュガークン,3,2,先行,先行,先行,101.27598968336015,2,0.4058105369053929,0.5125318697963551,0.06559325672522863,0.016064336573023273
16,メイショウタバル,16,8,逃げ,逃げ,逃げ,102.0156941729107,15,0.8516593362654938,0.13994402239104364,0.008396641343462616,0.0
17,シェイクユアハート,13,7,差し,差し,差し,102.4845150837313,12,0.0,0.16122939897083374,0.6038017368559625,0.23496886417320384
18,ミステリーウェイ,18,8,逃げ,先行,先行,102.77490950821336,17,0.5675526605986428,0.21129899118721318,0.1995957286085914,0.021552619605552503
