rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,actual_running_style_fixed,running_style,adjusted_style_profile,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込,early_speed,stamina,acceleration,consistency,mud_aptitude,mud_source,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,avg_race_score,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,carried_weight,weight_penalty
1,サラトガチップス,5,5,自在,逃げ,逃げ,逃げ,"{'逃げ': 0.2007654523559632, '先行': 0.3801273609981469, '差し': 0.300900070912265, '追込': 0.11820711573362498}",159.11945630649407,4,0.2007654523559632,0.3801273609981469,0.300900070912265,0.11820711573362498,78.40963088972663,98.73115862867536,0.0,65.95662783835137,64.7925306244696,race_history,56.87309523809524,51.42369863089034,1500.0,50.0,75.0,59.86642678571429,田山,50.0,50.0,84.74546273205301,57.79418993699139,51.01438527450937,68.92857142857143,53.1,72.60320512820513,73.62142857142858,58.242964499855766,52.709336440129874,0.6926510989010989,0.6734203296703297,0.28125,0.5839509687019508,100.0,58.39509687019508,46.286249999999995,49.09,35.7,0.0,28.125,69.2651098901099,63.315911723455926,70.79575628720059,57.3604282786073,55.27765796703296,65.0,58.0,4.0
2,ボンドロア,4,4,自在,逃げ,逃げ,逃げ,"{'逃げ': 0.5009923867756606, '先行': 0.4742653186482923, '差し': 0.021209469100552696, '追込': 0.0035328254754944874}",162.48303475223668,3,0.5009923867756606,0.4742653186482923,0.021209469100552696,0.0035328254754944874,93.05008879734612,80.41663666461076,0.0,34.23017406175086,50.0,neutral,58.34142857142857,45.77762166897704,1500.0,50.0,75.0,47.68214642857143,角田和,50.0,50.0,52.00047340336362,48.540404502170006,46.99155543914614,65.07142857142857,58.77142857142858,44.2891156462585,57.42857142857143,55.280229123409995,47.3787677049021,0.8339583333333334,0.8339583333333334,0.04761904761904763,0.5421339274593362,100.0,54.21339274593362,41.60797619047619,49.2025,34.6,0.0,4.761904761904763,83.39583333333334,70.26373506900347,47.656939689049274,51.474366010263495,57.09325,65.0,58.0,4.0
3,ビッグベルーガ,1,1,先行,先行,先行,先行,"{'逃げ': 0.036157108135237474, '先行': 0.4764690819418734, '差し': 0.24809986467950704, '追込': 0.2392739452433822}",165.73879001346393,0,0.036157108135237474,0.4764690819418734,0.24809986467950704,0.2392739452433822,61.04493330512185,86.23105807483388,0.0,49.5448463466454,64.88161644489618,race_history,54.654761904761905,39.36113284862269,1500.0,50.0,75.0,53.32504545454545,菱田,50.0,50.0,90.82623079483757,48.694086140629686,42.419807154643664,48.07142857142857,50.0,55.02497502497503,64.92142857142856,53.808675743205356,43.98837690114017,0.40167540792540796,0.41625874125874124,0.262987012987013,0.5313176795878688,100.0,53.13176795878688,42.98717532467532,49.5375,35.0,0.0,26.298701298701303,40.16754079254079,46.80352635068487,64.26277883402992,51.47684737733279,41.15463723776224,65.0,58.0,4.0
4,ナリタエスペランサ,7,7,自在,逃げ,逃げ,逃げ,"{'逃げ': 0.4022902494402645, '先行': 0.34444303525511566, '差し': 0.24260073449866612, '追込': 0.010665980805953768}",168.03783219994887,6,0.4022902494402645,0.34444303525511566,0.24260073449866612,0.010665980805953768,93.80893584103532,70.68601792554747,0.0,58.965593211326414,50.0,neutral,56.9345238095238,52.93535696969421,1500.0,50.0,75.0,54.56377272727273,川田,50.0,50.0,70.69398249174891,59.632195761804475,52.09144184090712,70.64285714285714,50.785714285714285,66.87243867243868,85.8,64.83061321751957,53.97663032113146,0.7974025974025973,0.7832359307359307,0.21890331890331888,0.6542056513253018,100.0,65.42056513253019,47.63008297258297,46.6225,34.7,0.0,21.89033189033189,79.74025974025975,72.51723050011478,74.34253148885546,63.224560822891604,63.77282792207792,65.0,54.0,-4.0
5,ニュークレド,6,6,自在,追込,追込,追込,"{'逃げ': 0.0, '先行': 0.041036423121782295, '差し': 0.5168951588630377, '追込': 0.44206841801518}",177.83882044365853,5,0.0,0.041036423121782295,0.5168951588630377,0.44206841801518,56.81865856604722,78.34930832418947,0.0,65.53330368204881,50.0,neutral,55.6997619047619,52.46354293779098,1500.0,50.0,75.0,54.00909220779221,幸,50.0,50.0,53.57126762943509,61.38415701038787,51.755274343176076,75.71428571428571,51.699999999999996,64.45691609977324,80.02857142857144,62.48963980948428,54.162495009979025,0.24777417027417029,0.2374963924963925,0.8155844155844156,0.6271940731503245,100.0,62.71940731503245,65.00711038961039,46.8025,33.4,0.0,81.55844155844156,24.77741702741703,41.28603487906619,77.89783283457508,60.736924023267854,48.583641774891774,65.0,58.0,4.0
6,ショウナンガチ,3,3,差し,差し,差し,差し,"{'逃げ': 0.007148143306868051, '先行': 0.19368446099809392, '差し': 0.5733830226314881, '追込': 0.22578437306354993}",178.19789723318794,2,0.007148143306868051,0.19368446099809392,0.5733830226314881,0.22578437306354993,59.33134312923825,83.5991752546512,0.0,65.33673255931943,50.0,neutral,57.32809523809524,45.03111447444457,1500.0,50.0,75.0,54.21528035714286,酒井,50.0,50.0,67.43456689722231,58.06880039689862,46.45966906304176,41.0,55.0,59.69183673469388,67.40714285714286,66.01143112281504,49.36195189650597,0.34880952380952385,0.40436507936507937,0.12244897959183675,0.6559723877699231,100.0,65.59723877699231,46.081224489795915,50.085,33.8,0.0,12.244897959183675,34.88095238095238,51.75883681472591,73.52346127608452,59.839106327345775,48.91157738095238,65.0,58.0,4.0
7,サトノスカイターフ,2,2,差し,差し,差し,差し,"{'逃げ': 0.0, '先行': 0.15403376506351013, '差し': 0.5103028976020132, '追込': 0.33566333733447673}",178.99061368353847,1,0.0,0.15403376506351013,0.5103028976020132,0.33566333733447673,48.33798850140569,85.95265016496724,0.0,62.05542097071162,50.0,neutral,54.535714285714285,39.614611737857174,1500.0,50.0,75.0,48.61625,吉村,50.0,50.0,63.36750398654979,47.240263494635805,42.60041086322324,54.07142857142857,55.0,39.03333333333334,54.25714285714286,53.57941271127426,43.76037402107638,0.2895833333333333,0.27499999999999997,0.29285714285714287,0.5366759320014557,100.0,53.66759320014556,49.53142857142856,44.605000000000004,34.1,0.0,29.285714285714285,28.958333333333332,39.275416940065504,66.80400486505641,50.19342626008007,42.07375,65.0,58.0,4.0
8,マテンロウシルビア,8,8,自在,差し,差し,差し,"{'逃げ': 0.0075278682121250745, '先行': 0.34238182516092985, '差し': 0.33943123382749935, '追込': 0.31065907279944577}",179.4543979278392,7,0.0075278682121250745,0.34238182516092985,0.33943123382749935,0.31065907279944577,59.069770066704265,65.5662031602404,0.0,54.07738552950124,70.48266751430384,race_history,56.394285714285715,44.56975216986648,1500.0,50.0,75.0,58.1,太宰,50.0,50.0,80.24146897654293,52.208740223060786,46.13094842102986,54.857142857142854,47.08571428571428,65.3537284144427,73.97142857142856,50.065669176722984,47.650396371537596,0.34604128510378507,0.33532699938949934,0.725,0.5017490780751642,100.0,50.174907807516426,53.93749999999999,50.7375,37.2,0.0,72.5,34.60412851037851,41.02169347980486,67.81108927541261,51.47444929413404,40.07198855311355,65.0,56.0,0.0
