rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,actual_running_style_fixed,running_style,adjusted_style_profile,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込,early_speed,stamina,acceleration,consistency,mud_aptitude,mud_source,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,avg_race_score,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,carried_weight,weight_penalty
1,デアヴェローチェ,7,5,先行,先行,先行,先行,"{'逃げ': 0.08878086694937497, '先行': 0.473957810175781, '差し': 0.3497781958757503, '追込': 0.08748312699909369}",71.97080249906227,6,0.08878086694937497,0.473957810175781,0.3497781958757503,0.08748312699909369,97.13430939583156,59.03521053289836,0.0,77.83741547073373,93.56708771929819,race_history,66.71642857142857,74.64089496681008,1500.0,50.0,75.0,64.12264503676471,川田,50.0,50.0,88.3426171650198,77.06131793817434,67.55663766385217,76.92857142857143,69.04285714285713,85.97852474323064,92.69285714285715,89.99161801729237,69.9328077324327,0.6268504901960784,0.5856045751633987,0.6343720821661998,0.8898683082076368,100.0,88.98683082076369,59.47180205415499,50.3875,33.6,0.0,63.43720821661998,62.685049019607845,72.25232550333058,91.44986569304594,81.47013195142003,65.21009558823529,65.0,53.0,-4.0
2,ジェニファー,2,2,逃げ,逃げ,逃げ,逃げ,"{'逃げ': 0.5391125184307886, '先行': 0.4269130946991072, '差し': 0.027685355701227085, '追込': 0.006289031168877187}",73.94883368658158,1,0.5391125184307886,0.4269130946991072,0.027685355701227085,0.006289031168877187,100.0,36.37461210256889,0.0,58.826334398229804,76.48811336032384,race_history,58.43,60.582349164524615,1500.0,50.0,75.0,62.822525000000006,田山,50.0,50.0,53.05741898866121,71.73806305672038,57.539923779723786,76.85714285714286,50.0,81.8070818070818,88.45714285714287,88.88741722728923,61.08945859897294,0.865491452991453,0.865491452991453,0.16483516483516483,0.8902706889157158,100.0,89.02706889157157,46.65337912087912,46.9975,34.5,0.0,16.483516483516482,86.5491452991453,87.66421091573713,81.25892669548398,76.70363789036438,66.23599358974359,65.0,50.0,-4.0
3,ヤマニンアルリフラ,11,7,差し,差し,差し,差し,"{'逃げ': 0.045637322807232455, '先行': 0.12689094377112825, '差し': 0.670878390793659, '追込': 0.15659334262798025}",75.35305137775441,10,0.045637322807232455,0.12689094377112825,0.670878390793659,0.15659334262798025,81.04836392717841,43.60874946907146,100.0,26.686137443095195,50.0,neutral,72.325,69.5709055101897,1500.0,50.0,48.05000000000002,52.09421428571428,団野,50.0,50.0,63.992038296899814,67.0140739011267,63.94427017601016,57.57142857142857,83.21428571428571,54.82993197278911,58.00714285714286,89.62296752371354,64.71172110728929,0.3559027777777778,0.37390873015873016,0.4710884353741497,0.8961526052775518,100.0,89.61526052775517,57.560843148001695,34.09,33.1,71.3363226364795,47.10884353741497,35.59027777777778,60.891847396219994,84.44888220450513,76.44776829026534,58.67122023809524,89.96771292276782,57.5,3.0
4,サウンドモリアーナ,10,7,逃げ,逃げ,逃げ,逃げ,"{'逃げ': 0.4822181265695511, '先行': 0.33894555014866995, '差し': 0.12932894642673515, '追込': 0.04950737685504386}",75.65705675139687,9,0.4822181265695511,0.33894555014866995,0.12932894642673515,0.04950737685504386,100.0,44.36374601960181,0.0,63.04570800266991,50.0,neutral,63.993809523809524,69.00485495396914,1500.0,50.0,75.0,63.3106625,吉村,50.0,50.0,66.01892205461058,77.59784418771791,63.54095915470302,68.0,63.48571428571428,82.64166666666667,93.23571428571428,94.08872205309056,67.05518041295674,0.82125,0.8228125000000001,0.17857142857142858,0.9328245501817469,100.0,93.28245501817469,49.396785714285706,48.4475,33.6,0.0,17.857142857142858,82.125,87.23179225817861,88.3449200695427,82.99472525999609,71.58749999999999,65.0,55.0,-2.0
5,アンクルクロス,4,4,先行,先行,先行,先行,"{'逃げ': 0.001570554676325681, '先行': 0.5122837254990127, '差し': 0.3495759957761144, '追込': 0.13656972404854711}",76.7941189894877,3,0.001570554676325681,0.5122837254990127,0.3495759957761144,0.13656972404854711,90.16126296934425,50.99660983526096,0.0,75.6964675932461,50.0,neutral,65.39785714285713,74.45000586771927,1500.0,50.0,75.0,62.84034632352942,松若,50.0,50.0,92.43023874646741,77.89995700662669,67.42062918074998,82.71428571428571,67.44285714285715,83.15798319327732,91.60000000000001,92.6343383142431,70.04046113721915,0.6358314479638009,0.6424066742081448,0.49548319327731094,0.9224905390282963,100.0,92.24905390282962,57.46957983193277,49.6475,33.3,0.0,49.54831932773109,63.58314479638009,76.84444133772129,92.44775838734648,82.88197964655629,67.11734728506786,65.0,56.0,0.0
6,アメリカンビキニ,8,6,逃げ,逃げ,逃げ,逃げ,"{'逃げ': 0.8481074701399054, '先行': 0.14721304736822755, '差し': 0.004679482491867097, '追込': 0.0}",77.86762690209125,7,0.8481074701399054,0.14721304736822755,0.004679482491867097,0.0,100.0,34.725743717029616,0.0,58.28292543898857,49.57653729933895,race_history,60.115476190476194,61.17871658704816,1500.0,50.0,75.0,58.68044642857143,酒井,50.0,50.0,50.41901301542652,67.05702003775014,57.964835568271816,80.14285714285714,59.642857142857146,74.4091836734694,83.2,85.53945639874155,60.2378816856414,0.9102678571428572,0.9102678571428572,0.0,0.8441756885329528,100.0,84.41756885329528,38.467499999999994,55.6025,34.2,0.0,0.0,91.02678571428572,88.05263812684002,76.33468293065192,75.1311628693124,64.4770357142857,65.0,51.0,-4.0
7,フリッカージャブ,12,8,逃げ,逃げ,逃げ,逃げ,"{'逃げ': 0.6652587794057414, '先行': 0.3312833475859719, '差し': 0.003457873008286695, '追込': 0.0}",78.00082907943325,11,0.6652587794057414,0.3312833475859719,0.003457873008286695,0.0,100.0,41.98661380516491,0.0,73.33587073788634,50.0,neutral,66.00261904761905,77.03102524676537,1500.0,50.0,75.0,66.47888749999998,松山,50.0,50.0,50.30909090909091,79.20935546915685,69.25960548832032,87.57142857142857,66.44285714285715,85.98015873015872,95.02142857142857,99.37529411764706,71.74704298352945,0.875,0.875,0.044642857142857144,0.9937529411764705,100.0,99.37529411764706,45.00607142857143,53.045,34.0,0.0,4.464285714285714,87.5,92.84388235294116,94.11914522058824,87.42878676470588,72.912375,65.0,57.5,3.0
8,ヨシノイースター,9,6,先行,先行,先行,先行,"{'逃げ': 0.03472031524162474, '先行': 0.6888769428146898, '差し': 0.26637300610683096, '追込': 0.010029735836854363}",78.10120000048965,8,0.03472031524162474,0.6888769428146898,0.26637300610683096,0.010029735836854363,99.56861087316916,43.96258933193528,0.0,53.92198014903038,50.0,neutral,72.67309523809523,72.94402472181518,1500.0,50.0,75.0,58.62258897058823,田辺,50.0,50.0,74.29085037059811,70.81696884900052,66.34761761429331,60.714285714285715,84.10000000000001,63.03921568627451,72.06428571428572,93.89184438074085,67.46495542297012,0.6419730392156863,0.658639705882353,0.22689075630252103,0.941378427032173,100.0,94.1378427032173,50.22226890756302,47.074999999999996,33.9,0.0,22.689075630252102,64.19730392156863,78.5872130399772,82.55450779749671,82.79768848676952,65.33106617647059,65.0,58.0,4.0
9,イツモニコニコ,13,8,先行,先行,先行,先行,"{'逃げ': 0.27566758002490815, '先行': 0.4372465969437715, '差し': 0.27353796260720864, '追込': 0.013547860424111637}",80.49350933673423,12,0.27566758002490815,0.4372465969437715,0.27353796260720864,0.013547860424111637,95.73462935781531,32.524941834944826,0.0,24.57218514741457,50.0,neutral,62.738809523809515,56.45566226230382,1500.0,50.0,75.0,54.73445,藤懸,50.0,50.0,75.28573284794102,61.66047525463888,54.59965936189147,64.64285714285714,64.32857142857144,48.732142857142854,66.22142857142858,91.701715489359,56.364863335078326,0.6856249999999999,0.7056250000000001,0.21339285714285713,0.9132888343685205,100.0,91.32888343685205,49.53982142857143,48.19,33.2,0.0,21.339285714285715,68.5625,79.90737254658342,70.48616108178017,75.85326089026863,60.99612499999999,65.0,53.0,-4.0
10,ランフォーヴァウ,1,1,自在,差し,差し,差し,"{'逃げ': 0.14275114567076994, '先行': 0.323510195078037, '差し': 0.3660426468961257, '追込': 0.1676960123550674}",81.77965147074713,0,0.14275114567076994,0.323510195078037,0.3660426468961257,0.1676960123550674,83.11569999639191,59.75348259195409,0.0,30.213877181628206,50.0,neutral,69.49214285714285,63.7088985295154,1500.0,50.0,75.0,59.85989285714286,石川,50.0,50.0,88.29471671783664,67.17838957043968,59.76759020227972,47.214285714285715,78.38571428571429,60.151643990929706,74.52857142857144,83.7663077505825,61.6202900443197,0.5319940476190477,0.5722470238095239,0.19727891156462585,0.8288981905079286,100.0,82.88981905079287,48.67197278911564,49.095,34.2,0.0,19.727891156462583,53.199404761904766,68.77400488238061,81.33567988218223,75.45290047793608,60.770910714285705,65.0,54.0,-4.0
11,プロトポロス,3,3,自在,逃げ,逃げ,逃げ,"{'逃げ': 0.431224261185009, '先行': 0.4632505361992494, '差し': 0.10503330411997203, '追込': 0.0004918984957696216}",82.3489941905312,2,0.431224261185009,0.4632505361992494,0.10503330411997203,0.0004918984957696216,88.90558853700452,35.78358901757967,0.0,23.942881881287178,20.427134149570325,race_history,64.69309523809524,39.893668167408414,1500.0,50.0,75.0,47.485625,幸,50.0,50.0,59.36997657955624,36.490790795428644,42.799238569278494,49.142857142857146,71.72857142857143,19.62912087912088,19.914285714285715,70.38745242332136,41.22212662581603,0.7784054487179487,0.7893429487179487,0.0,0.7174803893153188,100.0,71.74803893153188,36.8475,57.3925,36.2,0.0,0.0,77.84054487179488,75.70047969867653,43.7373650859686,55.54142141234253,46.60778846153846,65.0,53.0,-4.0
12,アブキールベイ,5,4,差し,差し,差し,差し,"{'逃げ': 0.0, '先行': 0.0762308978856085, '差し': 0.7012809901579179, '追込': 0.22248811195647367}",82.35330767186902,4,0.0,0.0762308978856085,0.7012809901579179,0.22248811195647367,79.38505131317932,45.95662290637919,0.0,53.773522969080204,50.0,neutral,69.98761904761905,63.44296247225576,1500.0,50.0,75.0,54.236075,西村淳,50.0,50.0,56.1488367299142,64.9671698959214,59.57811076148222,54.92857142857143,79.25714285714285,44.84126984126984,61.771428571428565,92.35164143288753,60.925375545092024,0.3611111111111111,0.3819444444444445,0.2837301587301587,0.9248710733621706,100.0,92.48710733621706,52.81325396825396,47.185,33.1,0.0,28.373015873015873,36.111111111111114,62.62614274574213,86.27000409278412,78.45290903491939,54.76333333333333,65.0,55.5,-1.0
13,オタルエバー,6,5,自在,差し,差し,差し,"{'逃げ': 0.036245767622821244, '先行': 0.42160905367491175, '差し': 0.4182929852817343, '追込': 0.1238521934205327}",85.05239765845806,5,0.036245767622821244,0.42160905367491175,0.4182929852817343,0.1238521934205327,77.5277073962528,31.12542327725306,0.0,33.11239393031656,50.0,neutral,68.61904761904762,48.43041431618001,1500.0,50.0,75.0,43.4201,角田和,50.0,50.0,87.72392677152762,51.66387363993075,48.88167020027826,35.0,78.57142857142857,26.607142857142858,44.76428571428571,82.97422525087438,49.577221060191384,0.5052083333333334,0.4760416666666667,0.0,0.7974462007945052,100.0,79.74462007945053,42.022499999999994,53.167500000000004,33.7,0.0,0.0,50.520833333333336,62.0673707024194,60.89057153078708,65.9001660436978,49.219375,65.0,56.0,0.0
