rank,horse_name,horse_number,frame,running_style,finish_time,lane_index
1,クロワデュノール,5,3,先行,99.97890824442692,4
2,ジューンテイク,10,5,先行,99.97890824442692,9
3,レガレイラ,17,8,先行,100.46803959881885,16
4,ファミリータイム,7,4,先行,101.47271999480705,6
5,シンエンペラー,11,6,先行,104.65509643346002,10
6,タガノデュード,8,4,先行,104.65509643346002,7
7,ダノンデサイル,1,1,先行,104.65509643346002,0
8,マイユニバース,15,7,逃げ,104.70351101277053,14
9,スティンガーグラス,14,7,自在,105.41517166409315,13
10,ビザンチンドリーム,6,3,逃げ,105.7505461228983,5
11,ミクニインスパイア,4,2,逃げ,105.7505461228983,3
12,コスモキュランダ,9,5,自在,106.46932338073408,8
13,メイショウタバル,16,8,差し,108.92379009964446,15
14,ミステリーウェイ,18,8,追込,108.96683677488919,17
15,マイネルエンペラー,12,6,差し,112.65382068912933,11
16,ミュージアムマイル,2,1,差し,112.65382068912933,1
17,シェイクユアハート,13,7,差し,112.92595249192661,12
18,シュガークン,3,2,差し,114.0552120168459,2
