horse_number,horse_name,frame,actual_running_style,actual_running_style_fixed,position_m,finish_position_m,rank,lane,gap_from_leader,nige_senko_gap,early_gap_range,final_stretch_start_progress,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,performance_index,mid_race_move_score,normalized_mid_race_move,final_performance_score,late_power,random_noise,normalized_final_performance,normalized_late_power,late_phase,late_ratio,gap_adjustment,escape_fade,stalker_fade,fade_penalty,late_gain_multiplier,tie_breaker,ability_factor,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,stamina,acceleration,last3f_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,carried_weight,weight_penalty,pace_fit_score,final_stretch_score,style_attack_ratio,straight_attack_score,straight_ratio,pace,time,elapsed_time,progress
1,ルージュボヤージュ,1,逃げ,逃げ,0.0,0.0,1,0.22,0.0,12.0,0.0-8.0,0.75,50.566,71.863,45.255,82.582,89.167,58.9,53.74,44.773,61.662,-0.629,50.37,47.855,-2.769,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.815,0.843,0.056,0.583,1.0,58.343,81.543,72.631,73.549,59.154,61.954,65.0,61.445,0.0,0.0,36.189,45.3074074074074,35.3,0.0,5.644,52.0,-4.0,50.504,41.777,0.0,0.0,0.0,medium,0.0,0.0,0.0
3,ジーネキング,2,逃げ,逃げ,0.0,0.0,2,1.22,0.0,12.0,0.0-8.0,0.75,58.723,52.357,89.857,40.46,56.879,75.498,58.516,47.61,67.537,0.481,54.84,54.335,-1.369,-0.473,-0.511,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.742,0.757,0.086,0.737,1.0,73.696,74.236,74.818,54.362,68.693,62.889,65.0,59.34,0.0,0.0,44.15,53.4225,34.0,0.0,8.571,56.0,0.0,61.601,46.268,0.0,0.0,0.0,medium,0.0,0.0,0.0
8,ディールメーカー,4,逃げ,逃げ,0.0,0.0,3,3.0,0.0,12.0,0.0-8.0,0.75,60.639,79.677,57.323,83.591,94.323,80.501,63.416,50.282,71.596,1.0,59.434,59.112,-0.015,0.549,0.496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.773,0.749,0.307,0.798,1.0,79.788,77.332,77.114,86.544,74.487,67.392,65.0,60.298,0.0,0.0,49.495,49.98823529411765,32.8,0.0,30.685,56.0,0.0,68.35,54.792,0.0,0.0,0.0,medium,0.0,0.0,0.0
11,コロナドブリッジ,6,逃げ,逃げ,0.0,0.0,4,5.22,0.0,12.0,0.0-8.0,0.75,51.275,67.857,62.1,61.286,72.193,59.157,52.396,44.234,62.279,-0.513,51.6,51.632,0.703,-1.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.07,0.0,0.888,0.888,0.0,0.584,1.0,58.383,88.819,75.123,61.918,58.628,66.019,65.0,64.028,0.0,0.0,42.855,52.89,33.4,0.0,0.0,54.0,-4.0,50.0,42.682,0.0,0.0,0.0,medium,0.0,0.0,0.0
2,クカイリモク,1,先行,先行,0.0,0.0,5,0.0,12.0,12.0,12.0-34.0,0.75,58.227,90.0,40.0,91.715,97.473,74.772,61.287,55.448,69.573,0.865,62.12,61.301,-0.549,1.0,0.957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.56,0.618,0.739,0.748,1.0,74.79,56.037,67.626,85.603,69.183,56.62,65.0,79.298,0.0,0.0,47.466,60.07894736842106,33.5,0.0,73.905,53.0,-4.0,87.595,66.328,0.0,0.0,0.0,medium,0.0,0.0,0.0
5,リッツパーティー,3,先行,先行,0.0,0.0,6,2.22,12.0,12.0,12.0-34.0,0.75,53.642,70.882,45.255,83.35,94.5,75.977,57.706,50.198,69.882,0.924,55.435,54.291,-0.889,-0.341,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.666,0.746,0.088,0.756,1.0,75.573,66.578,75.04,84.159,69.963,63.539,65.0,71.694,0.0,0.0,40.149,57.955555555555556,33.6,0.0,8.818,54.0,-4.0,66.414,48.779,0.0,0.0,0.0,medium,0.0,0.0,0.0
6,コルテオソレイユ,3,先行,先行,0.0,0.0,7,2.0,12.0,12.0,12.0-34.0,0.75,53.183,77.071,55.386,66.515,79.843,83.056,55.923,48.569,65.898,0.171,59.172,59.145,0.289,0.491,0.503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.548,0.472,0.657,0.831,1.0,83.06,54.841,63.333,80.585,72.642,57.781,65.0,55.07,0.0,0.0,60.236,49.3225,33.5,0.0,65.714,54.0,-4.0,91.398,66.599,0.0,0.0,0.0,medium,0.0,0.0,0.0
7,ショウナンガルフ,4,先行,先行,0.0,0.0,8,3.22,12.0,12.0,12.0-34.0,0.75,50.958,59.429,83.286,28.778,48.471,55.624,49.754,48.31,54.87,-1.0,55.541,54.15,-2.599,-0.317,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.385,0.374,0.246,0.55,1.0,55.027,38.542,45.349,62.45,55.675,49.847,65.0,76.063,0.0,0.0,48.618,48.5225,34.3,0.0,24.643,57.0,2.0,78.58,52.673,0.0,0.0,0.0,medium,0.0,0.0,0.0
9,キンググローリー,5,先行,先行,0.0,0.0,9,4.22,12.0,12.0,12.0-34.0,0.75,51.754,63.714,55.657,64.485,73.336,65.552,52.478,48.214,64.61,-0.072,55.31,53.768,-1.539,-0.369,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.801,0.792,0.119,0.646,1.0,64.629,80.059,72.657,67.815,60.477,59.599,65.0,74.241,0.0,0.0,43.626,55.625,34.8,0.0,11.905,54.0,-4.0,69.01,49.912,0.0,0.0,0.0,medium,0.0,0.0,0.0
10,ガリレア,5,先行,先行,0.0,0.0,10,4.0,12.0,12.0,12.0-34.0,0.75,50.651,41.0,86.114,32.049,48.9,71.011,51.027,44.121,63.17,-0.344,51.366,53.025,2.87,-1.0,-0.787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.66,0.682,0.054,0.713,1.0,71.276,65.972,69.581,60.596,64.781,58.12,65.0,57.888,0.0,0.0,43.422,47.8975,34.0,0.0,5.357,54.0,-4.0,67.318,45.963,0.0,0.0,0.0,medium,0.0,0.0,0.0
15,バドリナート,8,先行,先行,0.0,0.0,11,7.0,12.0,12.0,12.0-34.0,0.75,59.107,69.071,73.843,67.438,78.714,67.297,60.34,50.088,67.803,0.531,58.267,56.713,-2.745,0.29,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.769,0.0,0.724,0.745,0.237,0.677,1.0,67.728,72.387,71.441,73.764,67.707,66.746,65.0,71.928,0.0,0.0,49.412,53.9325,33.4,0.0,23.736,57.0,2.0,56.991,51.483,0.0,0.0,0.0,medium,0.0,0.0,0.0
4,サイモンシャリオ,2,差し,差し,0.0,0.0,12,1.0,45.0,12.0,45.0-82.0,0.75,49.253,69.714,44.229,68.723,79.607,67.306,52.145,47.218,60.42,-0.864,56.604,58.115,2.33,-0.081,0.286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.449,0.474,0.723,0.66,1.0,66.013,44.943,55.799,76.028,60.668,50.939,65.0,73.147,0.0,0.0,60.41,51.06,34.6,0.0,72.262,52.0,-4.0,62.24,63.745,0.0,0.0,0.0,medium,0.0,0.0,0.0
12,ローベルクランツ,6,差し,差し,0.0,0.0,13,5.0,45.0,12.0,45.0-82.0,0.75,61.14,60.571,81.857,61.133,79.35,78.896,63.193,52.24,67.32,0.44,62.352,64.321,2.482,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,0.0,0.425,0.41,0.515,0.774,1.0,77.408,42.53,57.379,83.364,74.356,61.114,65.0,67.577,0.0,0.0,58.807,51.365,33.0,0.0,51.508,57.0,2.0,77.881,62.202,0.0,0.0,0.0,medium,0.0,0.0,0.0
13,サノノグレーター,7,差し,差し,0.0,0.0,14,6.22,45.0,12.0,45.0-82.0,0.75,60.021,58.786,81.829,56.506,69.143,76.424,60.959,50.519,64.804,-0.036,60.393,60.006,-2.458,0.763,0.684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.56,0.0,0.259,0.229,0.687,0.761,1.0,76.07,25.881,46.816,82.174,71.227,51.89,65.0,77.939,0.0,0.0,61.92,50.0125,33.2,0.0,68.73,56.0,0.0,50.0,62.726,0.0,0.0,0.0,medium,0.0,0.0,0.0
14,スカイスプレンダー,7,差し,差し,0.0,0.0,15,6.0,45.0,12.0,45.0-82.0,0.75,51.823,86.078,45.255,81.667,94.5,62.164,55.381,52.372,60.277,-0.891,59.114,60.608,2.796,0.478,0.811,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.042,0.0,0.364,0.331,0.517,0.624,1.0,62.386,36.39,46.278,80.449,62.711,51.53,65.0,83.972,0.0,0.0,50.334,49.24814814814815,34.1,0.0,51.734,55.0,-2.0,81.558,61.005,0.0,0.0,0.0,medium,0.0,0.0,0.0
16,スペルーチェ,8,差し,差し,0.0,0.0,16,7.0,45.0,12.0,45.0-82.0,0.75,59.11,83.214,62.186,72.126,77.521,84.595,60.421,47.963,68.19,0.604,59.543,59.759,0.485,0.574,0.632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.227,0.0,0.361,0.557,0.529,0.84,1.0,83.967,36.143,68.401,81.515,73.752,58.287,65.0,53.151,0.0,0.0,56.876,49.3775,33.6,0.0,52.932,55.0,-2.0,76.426,61.251,0.0,0.0,0.0,medium,0.0,0.0,0.0
8,ディールメーカー,4,逃げ,逃げ,5.963,5.963,1,3.0,0.057,11.943,0.0-8.0,0.75,60.639,79.677,57.323,83.591,94.323,80.501,63.416,50.282,71.596,1.0,59.434,59.112,-0.015,0.549,0.496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.773,0.749,0.307,0.798,1.0,79.788,77.332,77.114,86.544,74.487,67.392,65.0,60.298,0.0,0.0,49.495,49.98823529411765,32.8,0.0,30.685,56.0,0.0,68.35,54.792,0.0,0.0,0.0,medium,0.388,0.388,0.0033
11,コロナドブリッジ,6,逃げ,逃げ,5.963,5.963,2,5.22,0.057,11.943,0.0-8.0,0.75,51.275,67.857,62.1,61.286,72.193,59.157,52.396,44.234,62.279,-0.513,51.6,51.632,0.703,-1.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.07,0.0,0.888,0.888,0.0,0.584,1.0,58.383,88.819,75.123,61.918,58.628,66.019,65.0,64.028,0.0,0.0,42.855,52.89,33.4,0.0,0.0,54.0,-4.0,50.0,42.682,0.0,0.0,0.0,medium,0.388,0.388,0.0033
1,ルージュボヤージュ,1,逃げ,逃げ,5.96,5.96,3,0.22,0.061,11.943,0.0-8.0,0.75,50.566,71.863,45.255,82.582,89.167,58.9,53.74,44.773,61.662,-0.629,50.37,47.855,-2.769,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.815,0.843,0.056,0.583,1.0,58.343,81.543,72.631,73.549,59.154,61.954,65.0,61.445,0.0,0.0,36.189,45.3074074074074,35.3,0.0,5.644,52.0,-4.0,50.504,41.777,0.0,0.0,0.0,medium,0.388,0.388,0.0033
3,ジーネキング,2,逃げ,逃げ,5.956,5.956,4,1.22,0.065,11.943,0.0-8.0,0.75,58.723,52.357,89.857,40.46,56.879,75.498,58.516,47.61,67.537,0.481,54.84,54.335,-1.369,-0.473,-0.511,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.742,0.757,0.086,0.737,1.0,73.696,74.236,74.818,54.362,68.693,62.889,65.0,59.34,0.0,0.0,44.15,53.4225,34.0,0.0,8.571,56.0,0.0,61.601,46.268,0.0,0.0,0.0,medium,0.388,0.388,0.0033
2,クカイリモク,1,先行,先行,0.0,0.0,5,0.0,12.0,11.943,12.0-34.0,0.75,58.227,90.0,40.0,91.715,97.473,74.772,61.287,55.448,69.573,0.865,62.12,61.301,-0.549,1.0,0.957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.56,0.618,0.739,0.748,1.0,74.79,56.037,67.626,85.603,69.183,56.62,65.0,79.298,0.0,0.0,47.466,60.07894736842106,33.5,0.0,73.905,53.0,-4.0,87.595,66.328,0.0,0.0,0.0,medium,0.388,0.388,0.0033
