rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,running_style,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
1,クロワデュノール,5,3,先行,先行,先行,76.6612130103521,4,0.04406820597687568,0.7278103509646847,0.19613225034125198,0.03198919271718774
2,ダノンデサイル,1,1,自在,差し,差し,87.02575532192995,0,0.09518737663137739,0.2698402741724428,0.45751930952412706,0.17745303967205278
3,メイショウタバル,16,8,逃げ,逃げ,逃げ,87.50919723442289,15,0.8523246951219513,0.14005335365853663,0.007621951219512197,0.0
4,ミクニインスパイア,4,2,先行,先行,先行,90.95370396120236,3,0.16578572906577763,0.5134510223521582,0.28750932458217054,0.03325392399989359
5,ミュージアムマイル,2,1,自在,先行,先行,92.21755362097021,1,0.004345169890242192,0.29064028900268923,0.34674995556401805,0.3582645855430504
6,コスモキュランダ,9,5,自在,先行,先行,93.0788310767957,8,0.35695905761924646,0.5250595636990215,0.0673972871827688,0.050584091498963354
7,ファミリータイム,7,4,先行,先行,先行,93.64210908131045,6,0.24604376176366888,0.4750158212185175,0.2727479441859567,0.00619247283185692
8,マイネルエンペラー,12,6,先行,逃げ,逃げ,95.7656736747842,11,0.1863303514385496,0.5712974208447452,0.164767794025263,0.0776044336914421
9,レガレイラ,17,8,自在,先行,先行,98.15454195064623,16,0.0,0.14974260023724575,0.48436307620644486,0.3658943235563093
10,イクイノックス,6,3,自在,追込,追込,98.72209750474167,5,0.05119180043689354,0.43813440838090184,0.2777831263195037,0.23289066486270082
11,スティンガーグラス,14,7,自在,差し,差し,102.6219013934071,13,0.031284276584589814,0.2510836198388077,0.4542365679899362,0.2633955355866663
12,シュガークン,3,2,先行,先行,先行,104.62063012258554,2,0.4129914873900643,0.5166336579260546,0.05766457264310667,0.012710282040774342
13,タガノデュード,8,4,自在,追込,追込,104.64155819627945,7,0.0,0.08960087547005267,0.45850026671671834,0.45189885781322897
14,ミステリーウェイ,18,8,逃げ,先行,先行,105.5961654588302,17,0.5806255394967342,0.216166004091647,0.18520922560056205,0.01799923081105677
15,マイユニバース,15,7,自在,差し,差し,110.62357393323059,14,0.12948420429443078,0.35545246836071365,0.32037386439500604,0.19468946294984954
16,シンエンペラー,11,6,自在,差し,差し,111.06858383414584,10,0.09697854551813773,0.3641260317348583,0.39390888452355705,0.14498653822344693
17,ジューンテイク,10,5,自在,差し,差し,112.9820200085561,9,0.14311900407225725,0.45676040748263663,0.23676229133599636,0.1633582971091097
18,シェイクユアハート,13,7,差し,差し,差し,117.90787443503685,12,0.0,0.1790032210902382,0.6080403086402437,0.21295647026951803
