horse_name,horse_number,section_index,distance_m,current_speed,elapsed_time,position_m,actual_running_style
???A,1,0,100,26.134670124675406,3.82633488476993,100.0,逃げ
???A,1,1,200,26.134670124675406,7.65266976953986,200.0,逃げ
???A,1,2,300,26.134670124675406,11.47900465430979,300.0,逃げ
???A,1,3,400,26.134670124675406,15.30533953907972,400.0,逃げ
???A,1,4,500,26.134670124675406,19.13167442384965,500.0,逃げ
???A,1,5,600,26.134670124675406,22.95800930861958,600.0,逃げ
???A,1,6,700,26.134670124675406,26.78434419338951,700.0,逃げ
???A,1,7,800,26.134670124675406,30.610679078159443,800.0,逃げ
???A,1,8,900,24.08725357112941,34.762252428134815,900.0,逃げ
???A,1,9,1000,23.15634522055436,39.080723199214724,1000.0,逃げ
???A,1,10,1100,23.15634522055436,43.39919397029463,1100.0,逃げ
???A,1,11,1200,23.15634522055436,47.71766474137454,1200.0,逃げ
???A,1,12,1300,23.15634522055436,52.03613551245445,1300.0,逃げ
???A,1,13,1400,23.15634522055436,56.35460628353436,1400.0,逃げ
???A,1,14,1500,23.04501663776323,60.69393923225234,1500.0,逃げ
???A,1,15,1600,22.952836571212178,65.05069922092501,1600.0,逃げ
???A,1,16,1700,26.54753715306011,68.81752698439885,1700.0,逃げ
???A,1,17,1800,26.44049063228164,72.59960506270457,1800.0,逃げ
???A,1,18,1900,27.386781875963297,76.25100158139404,1900.0,逃げ
???A,1,19,2000,27.27545349435369,79.91730175934346,2000.0,逃げ
???A,1,20,2100,27.164125112744085,83.5986277576943,2100.0,逃げ
???A,1,21,2200,27.052796731134478,87.2951032457503,2200.0,逃げ
???B,2,0,100,20.95361969961359,4.772445116098204,100.0,差し
???B,2,1,200,20.95361969961359,9.544890232196408,200.0,差し
???B,2,2,300,20.95361969961359,14.317335348294613,300.0,差し
???B,2,3,400,20.95361969961359,19.089780464392817,400.0,差し
???B,2,4,500,20.95361969961359,23.86222558049102,500.0,差し
???B,2,5,600,20.95361969961359,28.634670696589225,600.0,差し
???B,2,6,700,20.95361969961359,33.40711581268743,700.0,差し
???B,2,7,800,20.95361969961359,38.179560928785634,800.0,差し
???B,2,8,900,20.95361969961359,42.95200604488384,900.0,差し
???B,2,9,1000,20.95361969961359,47.72445116098204,1000.0,差し
???B,2,10,1100,21.490891999603683,52.37758514917779,1100.0,差し
???B,2,11,1200,21.490891999603683,57.03071913737354,1200.0,差し
???B,2,12,1300,21.490891999603683,61.683853125569286,1300.0,差し
???B,2,13,1400,22.581800222933822,66.11219803220969,1400.0,差し
???B,2,14,1500,23.97144946742205,70.28382729208833,1500.0,差し
???B,2,15,1600,23.875563669552363,74.47221008313115,1600.0,差し
???B,2,16,1700,29.28788779318613,77.88659082325626,1700.0,差し
???B,2,17,1800,29.16979147143941,81.31479496718754,1800.0,差し
???B,2,18,1900,29.05169514969269,84.7569349003218,1900.0,差し
???B,2,19,2000,28.933598827945975,88.21312438420354,2000.0,差し
???B,2,20,2100,28.815502506199255,91.68347857908479,2100.0,差し
???B,2,21,2200,28.697406184452536,95.1681140669491,2200.0,差し
