rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,actual_running_style_fixed,running_style,adjusted_style_profile,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込,early_speed,stamina,acceleration,consistency,mud_aptitude,mud_source,avg_race_score,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,carried_weight,weight_penalty
1,ニシノティアモ,8,4,自在,先行,先行,先行,"{'逃げ': 0.3100225501292358, '先行': 0.31915894531676775, '差し': 0.2325582551081657, '追込': 0.1382602494458309}",108.57763299382377,7,0.3100225501292358,0.31915894531676775,0.2325582551081657,0.1382602494458309,100.0,72.80960871184766,0.0,73.11658623962288,73.39782712022365,race_history,73.9091008833755,79.24169598607241,83.21428571428571,79.48571428571428,80.04960317460318,87.5,81.20346779723207,77.90854721039818,0.6815972222222222,0.6628472222222223,0.51875,0.8026955096142788,100.0,80.26955096142788,46.305749999999996,52.3,33.1,0.0,51.875,68.15972222222223,72.57789515486478,83.6745134975533,77.90350302878532,68.35941666666666,65.0,56.0,0.0
2,エストゥペンダ,5,3,自在,差し,差し,差し,"{'逃げ': 0.04118391614466708, '先行': 0.004614041080686946, '差し': 0.4342335941878284, '追込': 0.5199684485868176}",109.09969933378973,4,0.04118391614466708,0.004614041080686946,0.4342335941878284,0.5199684485868176,61.28139935890483,85.57815772029635,52.509016535215835,74.6282294109497,50.0,neutral,72.3796432114396,77.95850683843314,88.42857142857143,63.08571428571429,81.17532467532467,91.75,71.70941903368198,76.56379093168475,0.08750000000000001,0.1395979020979021,0.9178571428571428,0.726951121939923,100.0,72.6951121939923,60.75646428571428,40.5625,32.4,0.0,91.78571428571428,8.750000000000002,40.39068510268115,84.81113722517202,71.46193670669577,52.505062062937064,65.0,54.0,-4.0
3,セキトバイースト,7,4,先行,先行,先行,先行,"{'逃げ': 0.13836819754027183, '先行': 0.7315494517961441, '差し': 0.10744158824894562, '追込': 0.02264076241463849}",110.99869996860359,6,0.13836819754027183,0.7315494517961441,0.10744158824894562,0.02264076241463849,98.90778786496635,71.02867371351884,0.0,58.78491364176049,50.0,neutral,60.508954400282384,63.47849160196971,59.142857142857146,87.0,49.44727891156463,65.08571428571429,69.75321533942484,62.736107301547875,0.7546875000000001,0.8136160714285715,0.06122448979591837,0.7028340839831164,100.0,70.28340839831165,30.737734693877552,49.06,33.8,0.0,6.122448979591837,75.46875,76.37641770781167,59.897008254345764,68.5596246190714,66.65723214285714,65.0,56.0,0.0
4,テレサ,11,6,先行,先行,先行,先行,"{'逃げ': 0.34836512505658906, '先行': 0.5338160172601876, '差し': 0.057703290365397335, '追込': 0.060115567317825996}",111.94260895184564,10,0.34836512505658906,0.5338160172601876,0.057703290365397335,0.060115567317825996,100.0,72.96220448457773,0.0,39.03477014767064,50.0,neutral,66.53490489597255,70.67491114773904,68.64285714285714,82.45714285714287,67.12745098039215,74.44285714285715,77.14278094517752,69.63990958479741,0.7756127450980392,0.7881127450980392,0.08823529411764706,0.7734162313205482,100.0,77.3416231320548,31.002058823529403,50.06,34.3,0.0,8.823529411764708,77.56127450980392,78.14993138981683,74.14156646367124,73.59964272263015,67.05013235294118,65.0,55.0,-2.0
5,ルージュソリテール,15,8,先行,先行,先行,先行,"{'逃げ': 0.19060125307825634, '先行': 0.650865615149768, '差し': 0.1404677530057748, '追込': 0.01806537876620072}",112.36212037831021,14,0.19060125307825634,0.650865615149768,0.1404677530057748,0.01806537876620072,100.0,67.2579677253464,0.0,58.731775353846764,50.0,neutral,72.80091938189885,75.75505727341753,73.42857142857143,77.58571428571429,74.8532488753077,84.14999999999999,89.09336069784574,75.01652280053786,0.7725824420677362,0.7725824420677362,0.14831349206349206,0.8824237750747459,100.0,88.24237750747459,35.365404761904756,52.03,33.2,0.0,14.831349206349206,77.25824420677361,82.20110419208906,84.1471400341464,80.78368262911103,69.36284826203207,65.0,55.0,-2.0
6,ブラウンラチェット,3,2,先行,先行,先行,先行,"{'逃げ': 0.1682190301903632, '先行': 0.41833878894916154, '差し': 0.30777340422975086, '追込': 0.10566877663072448}",112.52175770475965,2,0.1682190301903632,0.41833878894916154,0.30777340422975086,0.10566877663072448,76.67656115474497,71.48532619417753,0.0,27.930483889144817,54.684222222222196,race_history,45.55572779670974,49.70618970722798,43.142857142857146,88.12857142857142,30.992063492063494,39.94285714285714,55.66634151672421,48.66857422959842,0.6350694444444445,0.590625,0.26111111111111107,0.5552309022306432,100.0,55.523090223064315,31.87508333333333,50.98,34.6,0.0,26.111111111111107,63.50694444444444,57.46976560037894,48.34894746143742,54.362699622685376,52.36208333333333,65.0,54.0,-4.0
7,パラディレーヌ,14,7,差し,差し,差し,差し,"{'逃げ': 0.01865315630340123, '先行': 0.15014570386687381, '差し': 0.5429484489216173, '追込': 0.2882526909081075}",112.64123855513435,13,0.01865315630340123,0.15014570386687381,0.5429484489216173,0.2882526909081075,81.441632783107,78.3408849217629,0.0,46.90575195142579,78.29282712022366,race_history,67.64164811335826,71.3007148475497,69.71428571428571,89.24285714285715,61.1904761904762,71.64285714285714,80.25905323740167,70.38594816400183,0.3251736111111111,0.3402777777777778,0.5423611111111111,0.7947451393460285,100.0,79.47451393460285,47.046583333333324,49.0325,34.4,0.0,54.236111111111114,32.517361111111114,54.47880904834906,84.9432491496586,76.19848266403157,56.123333333333335,65.0,56.0,0.0
8,ホールネス,10,5,先行,先行,先行,先行,"{'逃げ': 0.0, '先行': 0.5356707913335564, '差し': 0.396332099578542, '追込': 0.06799710908790163}",112.89705912527872,9,0.0,0.5356707913335564,0.396332099578542,0.06799710908790163,82.9034842454437,88.52326523891408,0.0,37.691364378080664,50.0,neutral,52.72325186207125,59.06901908010411,60.214285714285715,85.89999999999999,49.03824606765784,50.98571428571428,59.86798438001109,57.4825772755959,0.6284653092006033,0.6284653092006033,0.20882352941176469,0.5979830824648732,100.0,59.798308246487316,29.206955882352943,49.894999999999996,34.4,0.0,20.88235294117647,62.84653092006033,61.474830716952475,61.89884444551384,59.28706953556803,54.3419592760181,65.0,55.0,-2.0
9,ヴァルキリーバース,6,3,差し,差し,差し,差し,"{'逃げ': 0.003950565863202232, '先行': 0.25315357936674876, '差し': 0.5821273268474313, '追込': 0.16076852792261778}",112.96193231970896,5,0.003950565863202232,0.25315357936674876,0.5821273268474313,0.16076852792261778,81.56563167677582,86.7376138373347,0.0,90.23559159096001,66.1323110634385,race_history,76.40509303018844,77.4846403525532,81.0,63.028571428571425,88.57081807081806,95.12857142857142,72.91191024103857,77.21475352196201,0.442873445998446,0.5540913947163947,0.7474206349206349,0.7046875257550201,100.0,70.46875257550202,51.54211904761904,49.275,33.6,0.0,74.7420634920635,44.2873445998446,62.18596536837762,84.38201662300703,70.38931391652612,63.242703379953376,65.0,55.5,-1.0
10,マカナ,1,1,差し,差し,差し,差し,"{'逃げ': 0.029377746326450346, '先行': 0.09557494630734355, '差し': 0.5742346958861386, '追込': 0.3008126114800675}",114.20610242871575,0,0.029377746326450346,0.09557494630734355,0.5742346958861386,0.3008126114800675,72.69939501377247,75.91605170155988,0.0,29.235561458616367,76.60830264817146,race_history,64.68349245792318,69.71457390788586,78.14285714285714,51.528571428571425,71.82260596546311,84.48571428571428,72.60338429078958,68.45680354539519,0.40309829059829055,0.3593482905982906,0.6,0.7244219004781409,100.0,72.4421900478141,46.66224999999999,48.417500000000004,33.1,0.0,60.0,40.309829059829056,52.36314150442232,80.80128614352796,67.36795452629775,54.928660256410254,65.0,50.0,-4.0
