rank,horse_name,horse_number,frame,running_style,finish_time,lane_index
1,ファミリータイム,7,4,先行,97.02671722333133,6
2,クロワデュノール,5,3,先行,97.18806402737702,4
3,ダノンデサイル,1,1,先行,97.97323328460133,0
4,タガノデュード,8,4,先行,97.97323328460133,7
5,シュガークン,3,2,差し,99.54153700866533,2
6,ジューンテイク,10,5,先行,99.61776562806143,9
7,ミュージアムマイル,2,1,差し,99.92440055258466,1
8,シンエンペラー,11,6,先行,100.42256411671632,10
9,ビザンチンドリーム,6,3,逃げ,100.98108041934134,5
10,ミクニインスパイア,4,2,逃げ,100.98108041934134,3
11,コスモキュランダ,9,5,自在,101.57822555060294,8
12,レガレイラ,17,8,先行,102.0024463117073,16
13,ミステリーウェイ,18,8,追込,102.046200393518,17
14,マイネルエンペラー,12,6,差し,102.42251056639928,11
15,スティンガーグラス,14,7,自在,104.18279543651583,13
16,メイショウタバル,16,8,差し,104.29850708401474,15
17,シェイクユアハート,13,7,差し,104.64623121423789,12
18,マイユニバース,15,7,逃げ,106.15959736392296,14
