horse_name,frame,horse_number,carried_weight,weight_penalty,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,mud_source,base_ability_score,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,consistency,running_style,primary_running_style,base_style_profile,base_逃げ,base_先行,base_差し,base_追込,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,avg_first_ratio,avg_mid_ratio,avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders,debug_field_sizes,debug_first_ratios,debug_mid_ratios,debug_last_corner_ratios,field_size_warnings,avg_opponent_strength_score,avg_race_score,popularity_score,race_level_score,finish_score,margin_score,time_score,last3f_score,horse_ability_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,actual_running_style,actual_running_style_fixed,adjusted_style_profile,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
ダノンアトラス,1,1,58.0,4.0,57.57,74.04,0.0,0.0,7.47,46.32,50.0,neutral,51.31,58.15,51.31,1500.0,50.0,75.0,55.39,Ｍデムーロ,50.0,50.0,50.0,40.38,自在,自在,"{'逃げ': 0.0, '先行': 0.07474173940010471, '差し': 0.46320907336801065, '追込': 0.46204918723188465}",0.0,0.075,0.463,0.462,0.0,7.47,46.32,46.2,55.0,0.695,0.727,0.814,0.695,0.727,0.814,6.09,0.745,0.023,10,"['9-9', '11-10-14-13', '12-12-15-12', '12-14-13-12', '7-7-8-11', '11-13', '8-9-9-8', '3-3-5-5', '8-10-10-11', '8-9-11-10']","[13, 14, 16, 14, 16, 15, 10, 8, 14, 18]","[0.6923, 0.7857, 0.75, 0.8571, 0.4375, 0.7333, 0.8, 0.375, 0.5714, 0.4444]","[0.6923, 0.7143, 0.75, 1.0, 0.4375, 0.8667, 0.9, 0.375, 0.7143, 0.5]","[0.6923, 1.0, 0.9375, 0.9286, 0.5, 0.8667, 0.9, 0.625, 0.7143, 0.6111]",[],51.28,59.35,65.29,48.0,65.98,76.75,60.02,47.15,50.93,53.04,0.285,0.276,0.782,0.589,100.0,58.93,61.85,44.578,34.5,0.0,78.21,28.45,41.68,71.59,56.2,45.1,65.0,追込,追込,"{'逃げ': 0.0, '先行': 0.08082196869114078, '差し': 0.46973965375532734, '追込': 0.44943837755353194}",0.0,0.08082196869114078,0.46973965375532734,0.44943837755353194
ノンブルドール,2,2,55.0,-2.0,68.15,72.83,0.0,4.11,35.92,45.78,56.74,race_history,49.74,53.06,49.74,1500.0,50.0,75.0,61.54,西村淳,50.0,50.0,50.0,62.38,自在,自在,"{'逃げ': 0.04113533525298232, '先行': 0.35917508665660725, '差し': 0.45776041998714406, '追込': 0.14192915810326642}",0.041,0.359,0.458,0.142,4.11,35.92,45.78,14.19,79.58,0.497,0.459,0.384,0.497,0.459,0.384,1.52,0.446,0.0252,5,"['2-2-2-1', '8-8-6-2', '10-9-7-8', '11-9-7-7', '6-6']","[9, 18, 18, 13, 11]","[0.2222, 0.4444, 0.5556, 0.8462, 0.5455]","[0.2222, 0.4444, 0.5, 0.6923, 0.5455]","[0.2222, 0.3333, 0.3889, 0.5385, 0.5455]",[],43.93,58.81,77.57,42.06,74.9,77.03,60.77,46.6,49.81,52.06,0.503,0.541,0.449,0.61,100.0,61.0,53.57,47.312,34.4,0.0,44.93,50.34,57.23,73.04,57.06,52.09,65.0,先行,先行,"{'逃げ': 0.04337446184136939, '先行': 0.37504917159872164, '差し': 0.44826433367919155, '追込': 0.13331203288071733}",0.04337446184136939,0.37504917159872164,0.44826433367919155,0.13331203288071733
デルシエロ,3,3,58.0,4.0,50.16,68.15,0.0,0.0,1.63,53.22,46.93,race_history,40.38,53.95,40.38,1500.0,50.0,75.0,50.86,吉村,50.0,50.0,50.0,55.14,自在,自在,"{'逃げ': 0.0, '先行': 0.016329270029994916, '差し': 0.5321570231534388, '追込': 0.4515137068165662}",0.0,0.016,0.532,0.452,0.0,1.63,53.22,45.15,55.0,0.739,0.748,0.667,0.739,0.748,0.667,2.07,0.718,0.0095,10,"['7-7-5-6', '8-8-8-8', '11-12-7-5', '6-6-9-10', '13-13-13-15', '12-12-13-13', '8-8', '11-11-8-7', '7-7-5-5', '8-7-7-5']","[9, 12, 14, 13, 18, 14, 10, 12, 7, 10]","[0.7778, 0.6667, 0.7857, 0.4615, 0.7222, 0.8571, 0.8, 0.9167, 1.0, 0.8]","[0.7778, 0.6667, 0.8571, 0.4615, 0.7222, 0.8571, 0.8, 0.9167, 1.0, 0.7]","[0.5556, 0.6667, 0.5, 0.6923, 0.7222, 0.9286, 0.8, 0.6667, 0.7143, 0.7]",[],43.79,49.95,54.07,48.0,52.24,55.49,59.37,44.08,43.14,44.84,0.309,0.295,0.357,0.596,100.0,59.6,50.51,50.06,34.3,0.0,35.67,30.93,43.05,67.9,52.16,40.26,65.0,追込,追込,"{'逃げ': 0.0, '先行': 0.01771953441815554, '差し': 0.5415508914703718, '追込': 0.4407295741114727}",0.0,0.01771953441815554,0.5415508914703718,0.4407295741114727
サヴォアフェール,4,4,55.0,-2.0,73.09,88.26,0.0,0.0,26.83,38.1,72.76,race_history,66.18,63.21,66.18,1500.0,50.0,70.59,62.85,松山,50.0,50.0,50.0,83.3,自在,自在,"{'逃げ': 0.0, '先行': 0.26826329908704794, '差し': 0.38096909043589905, '追込': 0.350767610477053}",0.0,0.268,0.381,0.351,0.0,26.83,38.1,35.08,100.0,0.597,0.582,0.575,0.597,0.582,0.575,5.41,0.584,0.0577,4,"['13-13-13-10', '9-9-10-8', '7-6-4-3', '3-3-3-2']","[16, 12, 16, 11]","[0.8125, 0.75, 0.4375, 0.2727]","[0.8125, 0.75, 0.375, 0.2727]","[0.8125, 0.8333, 0.25, 0.2727]",[],63.54,67.33,82.26,64.73,81.27,85.89,67.7,37.72,61.53,62.98,0.403,0.418,0.738,0.672,100.0,67.24,56.34,56.009,33.9,0.0,73.83,40.34,53.25,81.53,67.0,52.21,65.0,追込,追込,"{'逃げ': 0.0, '先行': 0.28506345573591957, '差し': 0.37965049168423026, '追込': 0.33528605257985017}",0.0,0.28506345573591957,0.37965049168423026,0.33528605257985017
ウィテカービート,5,5,58.0,4.0,57.3,54.44,0.0,1.72,23.29,45.8,50.0,neutral,41.3,56.28,41.3,1500.0,50.0,75.0,55.65,秋山稔,50.0,50.0,50.0,39.09,差し,差し,"{'逃げ': 0.017201604110872647, '先行': 0.2329006571285401, '差し': 0.45801622977971307, '追込': 0.29188150898087417}",0.017,0.233,0.458,0.292,1.72,23.29,45.8,29.19,61.4,0.651,0.666,0.559,0.651,0.666,0.559,-0.22,0.625,0.0384,10,"['7-7-3-6', '9-10', '6-5-5-5', '8-9', '14-14', '16-15', '13-15-4-5', '2-4-6-11', '14-13-13-14', '12-12-14-14']","[11, 15, 12, 17, 15, 16, 16, 15, 16, 16]","[0.6364, 0.6, 0.5, 0.4706, 0.9333, 1.0, 0.8125, 0.1333, 0.875, 0.75]","[0.6364, 0.6667, 0.4167, 0.5294, 0.9333, 0.9375, 0.9375, 0.2667, 0.8125, 0.75]","[0.2727, 0.6667, 0.4167, 0.5294, 0.9333, 0.9375, 0.25, 0.4, 0.8125, 0.875]",[],46.86,52.82,41.71,48.0,54.44,60.39,61.94,46.63,43.8,46.06,0.384,0.375,0.225,0.615,100.0,61.49,47.62,45.427,34.3,0.0,22.5,38.36,48.29,67.85,53.76,43.94,65.0,差し,差し,"{'逃げ': 0.01843273969173423, '先行': 0.2471465786064921, '差し': 0.45580459332100043, '追込': 0.2786160883807733}",0.01843273969173423,0.2471465786064921,0.45580459332100043,0.2786160883807733
パイオニアスクエア,6,6,58.0,4.0,83.86,72.1,0.0,22.02,62.4,14.05,50.0,neutral,49.76,55.89,49.76,1500.0,50.0,75.0,60.38,富田,50.0,50.0,50.0,52.49,先行,先行,"{'逃げ': 0.22023092065842448, '先行': 0.6239757056318684, '差し': 0.1405334799826927, '追込': 0.01525989372701442}",0.22,0.624,0.141,0.015,22.02,62.4,14.05,1.53,35.46,0.245,0.26,0.239,0.245,0.26,0.239,-0.65,0.248,0.0176,7,"['3-3-4-3', '1-1-1-1', '8-10-6-6', '3-3-3-3', '3-3-4-4', '3-3-3-3', '5-4-3-4']","[14, 13, 16, 18, 11, 16, 14]","[0.2143, 0.0769, 0.5, 0.1667, 0.2727, 0.1875, 0.3571]","[0.2143, 0.0769, 0.625, 0.1667, 0.2727, 0.1875, 0.2857]","[0.2857, 0.0769, 0.375, 0.1667, 0.3636, 0.1875, 0.2143]",[],45.88,54.23,78.71,44.23,69.74,63.23,58.58,43.75,49.83,50.93,0.759,0.734,0.185,0.589,100.0,58.92,46.2,48.818,34.5,0.0,18.51,75.9,66.89,66.29,53.36,55.3,65.0,先行,先行,"{'逃げ': 0.22420930144226314, '先行': 0.6290801173673716, '差し': 0.13287155578765905, '追込': 0.013839025402706321}",0.22420930144226314,0.6290801173673716,0.13287155578765905,0.013839025402706321
ゼンノインヴォーク,7,7,58.0,4.0,64.25,73.85,0.0,0.0,12.02,54.36,50.0,neutral,55.54,59.44,55.54,1500.0,50.0,75.0,59.7,高杉,50.0,50.0,50.0,62.72,差し,差し,"{'逃げ': 0.0, '先行': 0.12015037090706754, '差し': 0.5435550904051024, '追込': 0.33629453868783005}",0.0,0.12,0.544,0.336,0.0,12.02,54.36,33.63,52.96,0.636,0.672,0.69,0.636,0.672,0.69,6.22,0.666,0.0331,10,"['6-8-10-9', '15-15-17-14', '13-13-12-13', '10-10-8-2', '14-14', '8-8-8-9', '4-6', '4-4-5-6', '3-3-2-2', '7-6-3-7']","[13, 18, 14, 16, 18, 16, 15, 8, 8, 12]","[0.4615, 0.8333, 0.9286, 0.625, 0.7778, 0.5, 0.2667, 0.5, 0.375, 0.5833]","[0.6154, 0.8333, 0.9286, 0.625, 0.7778, 0.5, 0.4, 0.5, 0.375, 0.5]","[0.7692, 0.9444, 0.8571, 0.5, 0.7778, 0.5, 0.4, 0.625, 0.25, 0.25]",[],53.55,64.05,68.64,48.0,72.91,84.81,65.87,46.53,53.95,56.47,0.285,0.247,0.818,0.661,100.0,66.1,62.65,48.858,34.5,0.0,81.79,28.54,43.33,79.66,62.66,47.07,65.0,差し,差し,"{'逃げ': 0.0, '先行': 0.12886032842022496, '差し': 0.5467032133257184, '追込': 0.32443645825405676}",0.0,0.12886032842022496,0.5467032133257184,0.32443645825405676
サンライズグラシア,8,8,58.0,4.0,83.66,62.9,0.0,35.45,43.99,15.14,40.27,race_history,41.26,53.88,41.26,1500.0,50.0,75.0,54.37,田山,50.0,50.0,50.0,65.23,自在,自在,"{'逃げ': 0.3544662681479479, '先行': 0.43987462954576634, '差し': 0.1514044327264192, '追込': 0.054254669579866556}",0.354,0.44,0.151,0.054,35.45,43.99,15.14,5.43,100.0,0.321,0.306,0.272,0.321,0.306,0.272,-2.16,0.3,0.0645,10,"['1-1-1-1', '4-4-2-2', '2-2-2-2', '1-1-1-1', '3-2-2', '12-12-12-12', '2-2-2-2', '4-3-4-3', '2-2-2-2', '4-4-4-2']","[9, 8, 8, 10, 14, 12, 13, 8, 9, 8]","[0.1111, 0.5, 0.25, 0.1, 0.2143, 1.0, 0.1538, 0.5, 0.2222, 0.5]","[0.1111, 0.5, 0.25, 0.1, 0.1429, 1.0, 0.1538, 0.375, 0.2222, 0.5]","[0.1111, 0.25, 0.25, 0.1, 0.1429, 1.0, 0.1538, 0.5, 0.2222, 0.5]",[],48.83,56.07,42.29,51.09,60.94,72.64,60.49,35.8,43.77,46.85,0.76,0.771,0.0,0.606,100.0,60.63,39.49,46.263,34.9,0.0,0.0,76.01,69.68,62.83,57.52,56.78,65.0,逃げ,逃げ,"{'逃げ': 0.36206606304085964, '先行': 0.4449433987047521, '差し': 0.14362445222031422, '追込': 0.04936608603407401}",0.36206606304085964,0.4449433987047521,0.14362445222031422,0.04936608603407401
