rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,actual_running_style_fixed,running_style,adjusted_style_profile,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込,early_speed,stamina,acceleration,consistency,mud_aptitude,mud_source,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,avg_race_score,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,carried_weight,weight_penalty
1,ロードガレリア,2,2,差し,差し,差し,差し,"{'逃げ': 0.03385386969176805, '先行': 0.1645123125636999, '差し': 0.5125413387218116, '追込': 0.2890924790227204}",113.17085170905851,1,0.03385386969176805,0.1645123125636999,0.5125413387218116,0.2890924790227204,68.04251683477821,87.62681234305657,90.12023092456454,75.94513275746868,83.96688372093021,race_history,54.13809523809523,56.3515572337008,1500.0,50.0,50.07500000000006,60.81598571428572,高杉,50.0,50.0,66.86112549171477,70.7951136311328,54.52548452901181,77.85714285714286,50.0,82.3,89.23571428571428,70.24600511158894,58.59289180454206,0.28552197802197804,0.3051373626373627,0.702106227106227,0.6994800931514159,100.0,69.94800931514159,62.257840303965594,35.155,34.3,84.4018462630989,70.21062271062272,28.552197802197803,48.25915913686866,80.07000985961737,66.34453012332789,53.72378434065934,94.54064619208461,58.0,4.0
2,ステラクラウン,1,1,差し,差し,差し,差し,"{'逃げ': 0.0, '先行': 0.10943156523631475, '差し': 0.6117552297860268, '追込': 0.2788132049776584}",114.00437319095929,0,0.0,0.10943156523631475,0.6117552297860268,0.2788132049776584,65.63197676133717,79.79504316827578,99.35993494103393,77.80825420207378,75.80548258706466,race_history,54.290000000000006,56.67059568664197,1500.0,50.0,50.225,59.012117857142854,岩田望,50.0,50.0,59.30168304508675,68.45590205505583,54.752799426732395,83.14285714285714,55.0,75.15714285714286,85.94285714285715,66.67665313242199,58.17857508381326,0.34080357142857143,0.3332142857142857,0.6566326530612245,0.6670467369348413,100.0,66.70467369348412,61.68602429997455,35.025,34.0,85.5520797344393,65.66326530612245,34.080357142857146,48.343888876353574,80.8105610562251,65.05757053141627,56.06285714285714,94.94322790705375,56.0,0.0
3,ダノンカゼルタ,3,3,自在,先行,先行,先行,"{'逃げ': 0.188786371533045, '先行': 0.3613479563480188, '差し': 0.3513911388400101, '追込': 0.09847453327892607}",118.88754153565154,2,0.188786371533045,0.3613479563480188,0.3513911388400101,0.09847453327892607,73.59889169235353,64.79919160414872,60.64747605477158,36.352768523134216,59.2265877988458,race_history,55.828809523809525,44.80949866402519,1500.0,50.0,48.0125,55.477828571428574,Ｍデムーロ,50.0,50.0,88.23858213010958,56.09925148312444,46.30176779811794,48.42857142857143,53.1,59.15646258503402,61.66428571428572,60.817592358843974,48.75113871936957,0.5285714285714286,0.5285714285714286,0.1785714285714286,0.6065951478939117,100.0,60.65951478939117,46.7783167852365,35.4125,33.9,76.46531070950795,17.85714285714286,52.85714285714286,56.3682102266546,65.71665573088907,55.67460813416514,54.00651785714285,91.76285874832777,58.0,4.0
4,カリーニョ,5,5,自在,追込,追込,追込,"{'逃げ': 0.03271178051358829, '先行': 0.28404086214313856, '差し': 0.3773655511539986, '追込': 0.30588180618927463}",125.41151679260379,4,0.03271178051358829,0.28404086214313856,0.3773655511539986,0.30588180618927463,62.47774991758772,73.5265816406523,88.22235475929398,63.4394810511729,60.03915662919671,race_history,55.33333333333333,56.43048540467004,1500.0,50.0,49.09999999999995,57.36175892857143,坂井,50.0,50.0,76.92397462582177,63.87485714895158,54.5817208508274,87.28571428571429,55.0,74.48571428571428,71.44285714285714,64.3380555860277,56.90500492535845,0.3645932539682539,0.42084325396825395,0.4303571428571429,0.6414381889973015,100.0,64.14381889973015,54.00949073213463,35.08,33.8,71.50562160706079,43.035714285714285,36.4593253968254,52.01109747313254,76.63072982364542,59.89910039485159,53.70529761904762,90.02696756247127,58.0,4.0
5,エコテーラー,7,7,逃げ,逃げ,逃げ,逃げ,"{'逃げ': 0.5154580358399227, '先行': 0.3749154111443663, '差し': 0.10962655301571117, '追込': 0.0}",125.94014610807945,6,0.5154580358399227,0.3749154111443663,0.10962655301571117,0.0,88.26277124150333,58.78944293167356,44.61027292306942,40.3681403252194,24.48913759213758,race_history,53.25571428571429,34.944699793838936,1500.0,50.0,46.73750000000002,44.9790125,藤懸,50.0,50.0,59.318257006335436,44.62139467612962,39.27309860311024,45.07142857142857,54.2,27.36734693877551,49.699999999999996,59.59483766405094,40.61017262136509,0.761875,0.761875,0.0,0.6033406138848254,100.0,60.33406138848254,36.539760037856226,36.597500000000004,34.7,59.372600378562254,0.0,76.1875,69.05345262481714,54.71007378803698,52.2562337636654,53.83624999999999,85.78041013249678,56.0,0.0
6,ラーテル,6,6,差し,差し,差し,差し,"{'逃げ': 0.01636363636363637, '先行': 0.0018181818181818188, '差し': 0.5986511517639702, '追込': 0.3831670300542117}",126.84630682073752,5,0.01636363636363637,0.0018181818181818188,0.5986511517639702,0.3831670300542117,40.71721513223743,52.253132691453864,81.96241671259207,67.05003352753832,38.94530226194754,race_history,54.0,32.19077426439741,1500.0,50.0,49.24999999999997,40.7622125,城戸,50.0,50.0,51.54545454545455,42.43161358661502,37.31092666338315,35.0,55.0,18.125763125763125,37.628571428571426,59.61587623588339,40.0,0.08589743589743591,0.039743589743589755,0.43223443223443225,0.6106620092424911,100.0,61.06620092424912,54.62988367880754,35.13,34.0,78.14022872946744,43.223443223443226,8.58974358974359,29.665687851809537,68.61690285814653,50.18141050833702,35.481923076923074,92.3490800553136,58.0,4.0
7,ミカエルパシャ,4,4,自在,逃げ,逃げ,逃げ,"{'逃げ': 0.4145120975281403, '先行': 0.4015763502608859, '差し': 0.14057450866741011, '追込': 0.04333704354356367}",126.91985693686973,3,0.4145120975281403,0.4015763502608859,0.14057450866741011,0.04333704354356367,77.8594730381326,54.514336627854796,28.186644957520258,33.656034380718694,50.94860493827157,race_history,53.785714285714285,34.3233344919026,1500.0,50.0,50.30000000000008,44.32199675324676,北村友,50.0,50.0,65.63248193793277,41.205286449042546,38.8303758254806,44.42857142857143,55.0,38.24610389610389,41.778571428571425,50.42181644434692,40.0,0.6529900654900654,0.6393537018537019,0.0,0.49544098077057513,100.0,49.54409807705751,34.16950067853661,37.74,35.7,53.945006785365834,0.0,65.29900654900655,57.45929773662949,49.438181754859784,44.116128942381636,45.11157696470196,83.88075237487804,58.0,4.0
