rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,running_style,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込,early_speed,stamina,acceleration,consistency,mud_aptitude,avg_race_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score
1,メイショウタバル,16,8,逃げ,逃げ,逃げ,122.41035461387479,6,0.8524364410747798,0.1400717156695648,0.0074918432556554055,0.0,100.0,82.04855700002818,66.92518436053832,44.855939361812595,87.4,74.55692126648543,74.55692126648543,0.9108986928104575,0.9108986928104575,0.03968253968253968,0.737896410546494,1.0,73.78964105464941
2,スティンガーグラス,14,7,自在,先行,先行,127.99449828823155,4,0.031675230232554016,0.2542213640297151,0.45200302299130246,0.26210038274642844,71.09384723003251,100.0,100.0,23.43492754739568,32.6,61.120640949678894,61.120640949678894,0.35500000000000004,0.4063888888888889,0.5765873015873015,0.5632114728739294,1.0,56.32114728739293
3,シンエンペラー,11,6,自在,先行,先行,130.1931040392658,1,0.09533751274166748,0.35796443434596786,0.39961226446529025,0.14708578844707446,84.61218981782541,100.0,95.11834158830756,44.30823262534111,0.0,54.859774405027046,54.859774405027046,0.5411647992530345,0.5308706816059757,0.20476190476190476,0.6431651091402416,1.0,64.31651091402416
4,シェイクユアハート,13,7,差し,差し,差し,136.81166201915465,3,0.0,0.18156700857020613,0.6061415361107366,0.21229145531905727,75.53117049557981,88.75338714240306,100.0,24.019255783955057,0.0,67.35724446390519,67.35724446390519,0.3641865079365079,0.36835317460317457,0.65,0.6604215178984982,1.0,66.04215178984983
5,マイネルエンペラー,12,6,先行,差し,差し,136.938735522559,2,0.184898934323104,0.566908630183999,0.16872444700108472,0.07946798849181239,86.55359505315434,100.0,70.96688839855018,59.64380107376771,8.4,52.085558871618105,52.085558871618105,0.5617708333333333,0.5617708333333333,0.10714285714285715,0.5947744059381437,1.0,59.477440593814364
6,マイユニバース,15,7,自在,差し,差し,137.0964015532302,5,0.1306415028944084,0.3586294168250765,0.31767792506575193,0.19305115521476318,87.28901319317484,100.0,98.9562006741084,35.95474293258408,0.0,70.5583071593038,70.5583071593038,0.5923508986928104,0.5923508986928104,0.5115546218487396,0.6834588669802218,1.0,68.34588669802218
7,ミステリーウェイ,18,8,逃げ,逃げ,逃げ,138.1764447099037,8,0.5826619346477097,0.21692415090502945,0.1826622107653201,0.01775170368194076,99.08679627247747,96.41587312910393,51.14804861685118,17.158665358080473,0.0,43.76011490503264,43.76011490503264,0.7862847222222222,0.7868402777777779,0.0,0.5474980128590168,1.0,54.74980128590168
8,ジューンテイク,10,5,自在,差し,差し,139.80634472702087,0,0.14131298672521891,0.4509965522580891,0.24124159189419814,0.1664488691224938,87.02284148625408,84.65421695793222,89.66195933643323,50.52723087353769,12.0,67.1142313262559,67.1142313262559,0.5236111111111111,0.549404761904762,0.2777777777777778,0.6968400374882688,1.0,69.68400374882688
9,レガレイラ,17,8,自在,追込,追込,141.16779932798005,7,0.0,0.15196487247628446,0.4830971223692077,0.3649380051545078,76.56265066120493,100.0,100.0,53.80823790421795,16.6,68.50745067532274,68.50745067532274,0.33998625965537727,0.3135973707664884,0.719047619047619,0.6708350996092768,1.0,67.08350996092767
