horse_name,frame,horse_number,carried_weight,weight_penalty,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,mud_source,base_ability_score,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,consistency,running_style,primary_running_style,base_style_profile,base_逃げ,base_先行,base_差し,base_追込,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,avg_first_ratio,avg_mid_ratio,avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders,debug_field_sizes,debug_first_ratios,debug_mid_ratios,debug_last_corner_ratios,field_size_warnings,avg_opponent_strength_score,avg_race_score,popularity_score,race_level_score,finish_score,margin_score,time_score,last3f_score,horse_ability_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,actual_running_style,actual_running_style_fixed,adjusted_style_profile,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
トウカイポワール,1,1,56.0,0.0,74.94,49.52,10.08,23.97,67.65,8.31,23.35,race_history,35.26,59.81,35.26,1500.0,50.0,52.08,45.26,亀田,50.0,50.0,50.0,25.7,先行,先行,"{'逃げ': 0.23970615290889719, '先行': 0.6764802438323314, '差し': 0.08313036165694938, '追込': 0.0006832416018219778}",0.24,0.676,0.083,0.001,23.97,67.65,8.31,0.07,30.04,0.248,0.228,0.26,0.248,0.228,0.26,-5.24,0.245,0.0152,10,"['4-4-4-4', '1-1-2-3', '4-2-5-4', '5-5-4-4', '1-1-1-1', '3-3', '5-5-4-4', '6-6-7-8', '5-6-7-10', '4-3-4-4']","[16, 15, 14, 10, 11, 16, 16, 16, 16, 16]","[0.25, 0.0667, 0.2857, 0.5, 0.0909, 0.1875, 0.3125, 0.375, 0.3125, 0.25]","[0.25, 0.0667, 0.1429, 0.5, 0.0909, 0.1875, 0.3125, 0.375, 0.375, 0.1875]","[0.25, 0.1333, 0.3571, 0.4, 0.0909, 0.1875, 0.25, 0.4375, 0.4375, 0.25]",[],47.36,34.96,45.86,62.0,29.64,29.37,45.25,24.95,39.5,40.0,0.764,0.793,0.0,0.464,100.0,46.45,30.76,39.135,36.5,32.46,0.0,76.42,64.5,40.26,42.13,47.05,76.36,先行,先行,"{'逃げ': 0.24203469632129346, '先行': 0.6764201100126234, '差し': 0.0809266234553208, '追込': 0.000618570210762252}",0.24203469632129346,0.6764201100126234,0.0809266234553208,0.000618570210762252
メイショウシナノ,1,2,58.0,4.0,49.39,67.52,89.86,0.0,0.0,55.33,39.1,race_history,49.62,62.22,49.62,1500.0,50.0,49.29,55.24,菱田,50.0,50.0,50.0,58.26,追込,追込,"{'逃げ': 0.0, '先行': 0.0, '差し': 0.4466651698891177, '追込': 0.5533348301108822}",0.0,0.0,0.447,0.553,0.0,0.0,44.67,55.33,5.81,0.844,0.866,0.855,0.844,0.866,0.855,5.78,0.855,0.0036,10,"['13-13-13-13', '13-14-14-13', '12-12-12-12', '13-13-12-10', '13-13-14-15', '11-13-13-14', '13-13-12-10', '13-13-13-12', '12-12-10-8', '13-12-13-14']","[16, 15, 14, 13, 16, 15, 16, 16, 15, 16]","[0.8125, 0.8667, 0.8571, 1.0, 0.8125, 0.7333, 0.8125, 0.8125, 0.8, 0.8125]","[0.8125, 0.9333, 0.8571, 1.0, 0.8125, 0.8667, 0.8125, 0.8125, 0.8, 0.75]","[0.8125, 0.9333, 0.8571, 0.9231, 0.875, 0.8667, 0.75, 0.8125, 0.6667, 0.8125]",[],53.31,53.91,51.71,62.0,58.42,52.31,65.11,44.22,49.73,50.77,0.134,0.119,0.929,0.654,100.0,65.43,62.58,36.847,36.0,84.97,92.86,13.36,35.96,74.04,57.96,37.13,94.74,追込,追込,"{'逃げ': 0.0, '先行': 0.0, '差し': 0.46466317210687563, '追込': 0.5353368278931243}",0.0,0.0,0.46466317210687563,0.5353368278931243
アークドール,2,3,58.0,4.0,43.2,66.41,82.25,0.0,3.1,50.59,42.35,race_history,51.41,58.0,51.41,1500.0,50.0,48.28,58.15,Ｍデムーロ,50.0,50.0,50.0,16.07,自在,自在,"{'逃げ': 0.0, '先行': 0.03097973827245261, '差し': 0.4631458194990993, '追込': 0.5058744422284481}",0.0,0.031,0.463,0.506,0.0,3.1,46.31,50.59,55.0,0.892,0.884,0.807,0.892,0.884,0.807,6.0,0.861,0.0237,10,"['16-16-15-15', '9-9-9-7', '12-13-13-10', '8-8-7-5', '14-14-13-13', '9-7-6-4', '9-9-5-5', '13-13-14-9', '13-10-5-5', '12-13-10-8']","[16, 9, 14, 9, 15, 15, 11, 15, 16, 14]","[1.0, 1.0, 0.8571, 0.8889, 0.9333, 0.6, 0.8182, 0.8667, 0.8125, 0.8571]","[1.0, 1.0, 0.9286, 0.8889, 0.9333, 0.4667, 0.8182, 0.8667, 0.625, 0.9286]","[0.9375, 1.0, 0.9286, 0.7778, 0.8667, 0.4, 0.4545, 0.9333, 0.3125, 0.7143]",[],49.9,53.8,75.71,55.1,66.98,62.6,60.57,38.27,51.01,51.7,0.058,0.044,0.839,0.612,100.0,61.21,58.28,37.295,36.2,81.7,83.93,5.8,29.95,74.41,56.94,34.83,93.59,差し,差し,"{'逃げ': 0.0, '先行': 0.03295996834641084, '差し': 0.47973029779274057, '追込': 0.4873097338608485}",0.0,0.03295996834641084,0.47973029779274057,0.4873097338608485
ティンティンデオ,2,4,58.0,4.0,55.83,59.31,52.36,0.0,26.89,49.79,39.69,race_history,45.0,59.01,45.0,1500.0,50.0,47.37,55.08,松若,50.0,50.0,50.0,0.0,差し,差し,"{'逃げ': 0.0, '先行': 0.26891206289499076, '差し': 0.4979280649078716, '追込': 0.2331598721971376}",0.0,0.269,0.498,0.233,0.0,26.89,49.79,23.32,64.95,0.611,0.577,0.552,0.611,0.577,0.552,2.17,0.58,0.0406,9,"['11-10-11-12', '11-12-12-11', '5-4-3-4', '9-9-10-9', '7-5-4-4', '9-9-7-6', '5-5-5-3', '7-6-4-3', '15-15-14-11']","[16, 13, 12, 16, 11, 15, 16, 16, 16]","[0.6875, 0.8462, 0.4167, 0.5625, 0.6364, 0.6, 0.3125, 0.4375, 0.9375]","[0.625, 0.9231, 0.3333, 0.5625, 0.4545, 0.6, 0.3125, 0.375, 0.9375]","[0.6875, 0.9231, 0.25, 0.625, 0.3636, 0.4667, 0.3125, 0.25, 0.875]",[],50.35,46.69,61.21,55.1,52.73,61.07,52.13,24.67,46.44,46.5,0.361,0.403,0.439,0.53,100.0,52.96,43.45,38.395,37.1,69.89,43.9,36.05,45.98,61.24,51.78,41.8,89.46,差し,差し,"{'逃げ': 0.0, '先行': 0.27872525127588954, '差し': 0.5024617357805519, '追込': 0.21881301294355865}",0.0,0.27872525127588954,0.5024617357805519,0.21881301294355865
ヒロノラメール,3,5,58.0,4.0,62.77,61.29,52.84,3.6,38.6,37.35,24.78,race_history,41.67,60.22,41.67,1500.0,50.0,46.74,47.16,吉村,50.0,50.0,50.0,43.87,自在,自在,"{'逃げ': 0.036049694358962554, '先行': 0.3859991051896188, '差し': 0.3734945807488988, '追込': 0.20445661970251983}",0.036,0.386,0.373,0.204,3.6,38.6,37.35,20.45,98.33,0.518,0.529,0.503,0.518,0.529,0.503,-0.4,0.517,0.0548,10,"['8-8-10-8', '13-13-11-7', '11-11-13-13', '6-6-7-6', '3-3-3-2', '5-6-4-4', '4-4-4-6', '9-10-2-2', '1-1-1-1', '4-4-4-4']","[16, 15, 15, 15, 13, 16, 16, 10, 15, 16]","[0.5, 0.8667, 0.7333, 0.4, 0.2308, 0.3125, 0.25, 0.9, 0.0667, 0.25]","[0.5, 0.8667, 0.7333, 0.4, 0.2308, 0.375, 0.25, 1.0, 0.0667, 0.25]","[0.625, 0.7333, 0.8667, 0.4667, 0.2308, 0.25, 0.25, 0.2, 0.0667, 0.25]",[],48.45,41.74,58.36,62.0,33.7,37.11,55.91,36.89,44.07,43.49,0.429,0.429,0.319,0.572,100.0,57.17,42.49,37.337,36.0,61.32,31.9,42.87,49.31,57.65,49.27,40.38,86.46,先行,先行,"{'逃げ': 0.03748461029098357, '先行': 0.39746661669707956, '差し': 0.37442860733934935, '追込': 0.1906201656725875}",0.03748461029098357,0.39746661669707956,0.37442860733934935,0.1906201656725875
ルクスフレンジー,3,6,58.0,4.0,65.61,68.22,84.49,0.0,14.79,46.56,65.74,race_history,56.8,57.08,56.8,1500.0,50.0,47.52,63.2,酒井,50.0,50.0,50.0,56.06,自在,自在,"{'逃げ': 0.0, '先行': 0.14791977131047182, '差し': 0.4656176938579439, '追込': 0.3864625348315844}",0.0,0.148,0.466,0.386,0.0,14.79,46.56,38.65,55.0,0.651,0.65,0.603,0.651,0.65,0.603,4.18,0.635,0.0262,10,"['6-6-6-4', '7-7-6-6', '6-6-4-3', '8-8-9-7', '11-12', '15-15', '12-12-11', '14-14', '11-8', '9-6']","[16, 9, 9, 15, 14, 18, 16, 18, 18, 16]","[0.375, 0.7778, 0.6667, 0.5333, 0.7857, 0.8333, 0.75, 0.7778, 0.6111, 0.5625]","[0.375, 0.7778, 0.6667, 0.5333, 0.8571, 0.8333, 0.75, 0.7778, 0.4444, 0.375]","[0.375, 0.6667, 0.4444, 0.6, 0.8571, 0.8333, 0.6875, 0.7778, 0.4444, 0.375]",[],52.09,65.56,77.21,53.7,78.4,82.8,66.64,49.25,54.85,57.52,0.387,0.376,0.71,0.665,100.0,66.54,55.95,36.345,33.6,65.17,71.04,38.67,50.63,79.78,63.55,51.22,87.81,差し,差し,"{'逃げ': 0.0, '先行': 0.15551709096094699, '差し': 0.4765974676040778, '追込': 0.3678854414349752}",0.0,0.15551709096094699,0.4765974676040778,0.3678854414349752
タマモキャリコ,4,7,58.0,4.0,91.82,59.04,45.2,25.94,61.67,11.73,70.22,race_history,56.52,60.99,56.52,1500.0,50.0,50.49,58.27,富田,50.0,50.0,50.0,67.04,先行,先行,"{'逃げ': 0.25941424855673584, '先行': 0.61673756664535, '差し': 0.11734705612974256, '追込': 0.006501128668171546}",0.259,0.617,0.117,0.007,25.94,61.67,11.73,0.65,32.55,0.253,0.245,0.259,0.253,0.245,0.259,-0.42,0.252,0.0183,10,"['2-2-2-2', '5-5-5-5', '2-2-2-2', '3-2-3-3', '3-3-3-3', '6-6-4-3', '6-6-6-6', '3-3-7-11', '2-2-2-1', '1-1-1-1']","[16, 14, 13, 16, 15, 15, 10, 12, 9, 11]","[0.125, 0.3571, 0.1538, 0.1875, 0.2, 0.4, 0.6, 0.25, 0.2222, 0.0909]","[0.125, 0.3571, 0.1538, 0.125, 0.2, 0.4, 0.6, 0.25, 0.2222, 0.0909]","[0.125, 0.3571, 0.1538, 0.1875, 0.2, 0.2667, 0.6, 0.5833, 0.2222, 0.0909]",[],53.82,59.1,72.64,58.7,74.96,66.07,69.92,29.55,54.64,55.76,0.795,0.806,0.044,0.692,100.0,69.18,37.89,38.127,37.8,92.78,4.4,79.48,75.45,73.47,61.82,55.26,97.47,先行,先行,"{'逃げ': 0.2622649534396111, '先行': 0.6174613571031788, '差し': 0.11438048582354128, '追込': 0.005893203633668808}",0.2622649534396111,0.6174613571031788,0.11438048582354128,0.005893203633668808
パシアンジャン,4,8,58.0,4.0,89.67,64.69,61.54,19.09,59.9,12.42,71.8,race_history,64.18,62.96,64.18,1500.0,50.0,50.71,61.3,田口,50.0,50.0,50.0,79.97,先行,先行,"{'逃げ': 0.19094864910319573, '先行': 0.598979041701853, '差し': 0.12423668646338326, '追込': 0.08583562273156807}",0.191,0.599,0.124,0.086,19.09,59.9,12.42,8.58,92.29,0.361,0.353,0.336,0.361,0.353,0.336,1.0,0.35,0.0536,10,"['2-2-3-3', '5-5-3-3', '3-3-5-8', '7-6-4-4', '5-5-4-1', '12-12-13-10', '3-3-3-2', '16-16-16-16', '1-1-1-1', '2-2-2-1']","[16, 11, 16, 16, 16, 16, 12, 16, 13, 12]","[0.125, 0.4545, 0.1875, 0.4375, 0.3125, 0.75, 0.25, 1.0, 0.0769, 0.1667]","[0.125, 0.4545, 0.1875, 0.375, 0.3125, 0.75, 0.25, 1.0, 0.0769, 0.1667]","[0.1875, 0.2727, 0.3125, 0.25, 0.25, 0.8125, 0.25, 1.0, 0.0769, 0.1667]",[],58.37,66.38,79.64,62.0,77.39,79.56,75.67,39.22,60.1,61.67,0.706,0.716,0.116,0.748,100.0,74.81,41.71,37.332,36.6,88.2,11.61,70.55,73.07,81.01,69.26,59.32,95.87,先行,先行,"{'逃げ': 0.19467564252793815, '先行': 0.6047412597283621, '差し': 0.12211758047604236, '追込': 0.07846551726765735}",0.19467564252793815,0.6047412597283621,0.12211758047604236,0.07846551726765735
アカデミア,5,9,58.0,4.0,96.41,69.95,58.55,21.09,67.12,10.7,66.94,race_history,64.08,60.78,64.08,1500.0,50.0,49.55,62.08,坂井,50.0,50.0,50.0,68.53,先行,先行,"{'逃げ': 0.2108695983971196, '先行': 0.671198771841678, '差し': 0.10701564967357376, '追込': 0.010915980087628615}",0.211,0.671,0.107,0.011,21.09,67.12,10.7,1.09,9.84,0.239,0.239,0.21,0.239,0.239,0.21,0.63,0.229,0.0061,7,"['4-4-4-4', '3-3-2-2', '4-4-5-4', '4-4-2-3', '7-7-5-4', '2-2-3-2', '2-2-2-2']","[16, 16, 16, 16, 16, 16, 16]","[0.25, 0.1875, 0.25, 0.25, 0.4375, 0.125, 0.125]","[0.25, 0.1875, 0.25, 0.25, 0.4375, 0.125, 0.125]","[0.25, 0.125, 0.3125, 0.125, 0.3125, 0.1875, 0.125]",[],55.04,66.21,90.0,56.8,80.36,81.81,75.06,39.78,60.03,61.57,0.736,0.736,0.228,0.754,100.0,75.38,44.44,37.23,36.6,89.16,22.77,73.59,74.4,80.63,69.39,60.02,96.21,先行,先行,"{'逃げ': 0.21331935926438084, '先行': 0.6724041726711866, '差し': 0.10437509811172292, '追込': 0.00990136995270961}",0.21331935926438084,0.6724041726711866,0.10437509811172292,0.00990136995270961
ロフティストーリー,5,10,56.0,0.0,78.97,67.36,72.12,0.2,46.21,43.76,55.87,race_history,56.74,61.27,56.74,1500.0,50.0,49.1,60.81,横山和,50.0,50.0,50.0,61.29,自在,自在,"{'逃げ': 0.001963884737294311, '先行': 0.4620787415303066, '差し': 0.43755302827158044, '追込': 0.09840434546081858}",0.002,0.462,0.438,0.098,0.2,46.21,43.76,9.84,55.0,0.43,0.43,0.444,0.43,0.43,0.444,2.48,0.435,0.0192,9,"['6-6-7-8', '7-7-9-8', '3-3-3-2', '6-6-4-4', '6-6', '7-7-7-7', '6-7', '9-7', '12-13-14-14']","[16, 16, 13, 13, 16, 10, 16, 16, 16]","[0.375, 0.4375, 0.2308, 0.4615, 0.375, 0.7, 0.375, 0.5625, 0.75]","[0.375, 0.4375, 0.2308, 0.4615, 0.375, 0.7, 0.4375, 0.4375, 0.8125]","[0.4375, 0.5625, 0.2308, 0.3077, 0.375, 0.7, 0.4375, 0.4375, 0.875]",[],54.11,59.37,72.07,61.2,68.8,66.4,70.72,37.49,54.8,55.95,0.625,0.625,0.34,0.71,100.0,71.02,46.1,37.4,36.1,84.48,34.03,62.46,66.31,77.4,64.27,53.45,94.57,先行,先行,"{'逃げ': 0.002025364483731734, '先行': 0.4719175526206641, '差し': 0.43506204182452335, '追込': 0.09099504107108079}",0.002025364483731734,0.4719175526206641,0.43506204182452335,0.09099504107108079
