horse_name,horse_number,section_index,distance_m,current_speed,elapsed_time,position_m,actual_running_style
クワイエットアイ,1,0,100,16.926808730090112,5.907788148053802,100.0,逃げ
クワイエットアイ,1,1,200,17.40046130142145,11.654762223495753,200.0,逃げ
クワイエットアイ,1,2,300,16.98595067437571,17.54198054391957,300.0,逃げ
クワイエットアイ,1,3,400,17.112775269154348,23.385568064188668,400.0,逃げ
クワイエットアイ,1,4,500,16.960298809078868,29.28169059868493,500.0,逃げ
クワイエットアイ,1,5,600,14.944892100745935,35.97293997846525,600.0,逃げ
クワイエットアイ,1,6,700,15.008042780318455,42.636033991705936,700.0,逃げ
クワイエットアイ,1,7,800,14.569100719365872,49.49987561969851,800.0,逃げ
クワイエットアイ,1,8,900,13.564202427668851,56.87222209810373,900.0,逃げ
クワイエットアイ,1,9,1000,12.738937972450364,64.72217004637565,1000.0,逃げ
クワイエットアイ,1,10,1100,11.942673569550694,73.09550449428036,1100.0,逃げ
クワイエットアイ,1,11,1200,11.816571067122169,81.5581963726574,1200.0,逃げ
ブライアーヒル,2,0,100,14.790756059003039,6.760979601115836,100.0,差し
ブライアーヒル,2,1,200,14.693957342213691,13.566498201112989,200.0,差し
ブライアーヒル,2,2,300,14.603814985898115,20.41402400834644,300.0,差し
ブライアーヒル,2,3,400,14.578944592929481,27.273231090352787,400.0,差し
ブライアーヒル,2,4,500,14.578205188215897,34.13278607047021,500.0,差し
ブライアーヒル,2,5,600,14.518173243250144,41.02070497903486,600.0,差し
ブライアーヒル,2,6,700,14.236818802815257,48.04474605064178,700.0,差し
ブライアーヒル,2,7,800,15.043246758663468,54.69224719213636,800.0,差し
ブライアーヒル,2,8,900,13.626741500984169,62.030758749927166,900.0,差し
ブライアーヒル,2,9,1000,13.140140517821566,69.64102744259245,1000.0,差し
ブライアーヒル,2,10,1100,12.283985991982217,77.78170751706259,1100.0,差し
ブライアーヒル,2,11,1200,12.094213587655862,86.05012441537721,1200.0,差し
ナオミライトニング,3,0,100,14.547046066028347,6.874247840152893,100.0,差し
ナオミライトニング,3,1,200,14.723766796114878,13.665988118624753,200.0,差し
ナオミライトニング,3,2,300,14.644660258070196,20.49441556165084,300.0,差し
ナオミライトニング,3,3,400,14.645646762232115,27.32238305420828,400.0,差し
ナオミライトニング,3,4,500,14.83269866870081,34.06424454776203,500.0,差し
ナオミライトニング,3,5,600,14.640504156636307,40.89461042383547,600.0,差し
ナオミライトニング,3,6,700,14.501630909340665,47.7903865351685,700.0,差し
ナオミライトニング,3,7,800,15.129262986512588,54.4000938348002,800.0,差し
