horse_name,frame,horse_number,carried_weight,weight_penalty,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,mud_source,base_ability_score,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,consistency,running_style,primary_running_style,base_style_profile,base_逃げ,base_先行,base_差し,base_追込,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,avg_first_ratio,avg_mid_ratio,avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders,debug_field_sizes,debug_first_ratios,debug_mid_ratios,debug_last_corner_ratios,field_size_warnings,avg_opponent_strength_score,avg_race_score,popularity_score,race_level_score,finish_score,margin_score,time_score,last3f_score,horse_ability_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,actual_running_style,actual_running_style_fixed,adjusted_style_profile,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
ハートメテオ,1,1,56.0,0.0,69.26,65.57,0.0,2.84,37.69,40.49,47.6,race_history,49.61,56.1,49.61,1500.0,50.0,75.0,52.24,岩田望,50.0,50.0,50.0,32.8,自在,自在,"{'逃げ': 0.02836363636363637, '先行': 0.3769230411684406, '差し': 0.4049159886007656, '追込': 0.18979733386715744}",0.028,0.377,0.405,0.19,2.84,37.69,40.49,18.98,82.18,0.525,0.488,0.551,0.525,0.488,0.551,1.25,0.521,0.0478,10,"['7-7-9-8', '6-5-7-6', '8-8-7-7', '4-3', '7-7-8-14', '3-3-3-3', '5-5-5-4', '6-6', '2-2', '10-10']","[16, 7, 10, 10, 14, 10, 16, 18, 18, 17]","[0.4375, 0.8571, 0.8, 0.4, 0.5, 0.3, 0.3125, 0.3333, 0.1111, 0.5882]","[0.4375, 0.7143, 0.8, 0.3, 0.5, 0.3, 0.3125, 0.3333, 0.1111, 0.5882]","[0.5625, 1.0, 0.7, 0.3, 0.5714, 0.3, 0.3125, 0.3333, 0.1111, 0.5882]",[],49.11,56.18,74.0,55.0,55.87,67.09,63.66,47.54,49.72,51.34,0.393,0.442,0.425,0.622,100.0,62.23,52.77,48.125,33.9,0.0,42.5,39.28,52.34,68.42,57.47,48.67,65.0,差し,差し,"{'逃げ': 0.029662309580892787, '先行': 0.39035404852556893, '差し': 0.4000989029606804, '追込': 0.17988473893285784}",0.029662309580892787,0.39035404852556893,0.4000989029606804,0.17988473893285784
ラブリーリディア,2,2,56.0,0.0,46.52,68.72,0.0,0.0,0.0,54.69,50.37,race_history,47.88,58.33,47.88,1500.0,50.0,75.0,57.18,小沢,50.0,50.0,50.0,27.41,自在,自在,"{'逃げ': 0.0, '先行': 0.0, '差し': 0.4531050362669215, '追込': 0.5468949637330784}",0.0,0.0,0.453,0.547,0.0,0.0,45.31,54.69,55.0,0.876,0.825,0.768,0.876,0.825,0.768,5.35,0.823,0.0103,7,"['16-16-15-13', '13-12', '13-13-11-12', '14-13', '12-12-9-8', '16-14', '14-10']","[16, 15, 15, 16, 16, 18, 18]","[1.0, 0.8667, 0.8667, 0.875, 0.75, 0.8889, 0.7778]","[1.0, 0.8, 0.8667, 0.8125, 0.75, 0.7778, 0.5556]","[0.9375, 0.8, 0.7333, 0.8125, 0.5625, 0.7778, 0.5556]",[],48.9,54.07,61.64,52.19,52.9,63.26,65.44,51.11,48.49,49.88,0.116,0.142,0.775,0.654,100.0,65.42,62.84,46.435,33.8,0.0,77.5,11.6,37.25,74.08,58.73,40.48,65.0,差し,差し,"{'逃げ': 0.0, '先行': 0.0, '差し': 0.46345028637129354, '追込': 0.5365497136287065}",0.0,0.0,0.46345028637129354,0.5365497136287065
ヨヒーン,3,3,56.0,0.0,50.49,71.95,0.0,0.91,3.51,48.11,50.0,neutral,46.19,53.39,46.19,1500.0,50.0,75.0,56.21,鮫島駿,50.0,50.0,50.0,63.84,自在,自在,"{'逃げ': 0.009099421877263541, '先行': 0.03509443478112225, '差し': 0.4810764827524265, '追込': 0.4747296605891877}",0.009,0.035,0.481,0.475,0.91,3.51,48.11,47.47,55.0,0.815,0.801,0.691,0.815,0.801,0.691,3.29,0.769,0.0224,10,"['7-7-4-3', '9-9-9-7', '9-8-8-8', '11-11-8-5', '14-14-12-10', '7-7-6-5', '5-5-5-4', '10-10-10-11', '2-2-6-9', '5-5-7-6']","[7, 10, 10, 16, 15, 9, 9, 13, 10, 16]","[1.0, 0.9, 0.9, 0.6875, 0.9333, 0.7778, 0.5556, 0.7692, 0.2, 0.3125]","[1.0, 0.9, 0.8, 0.6875, 0.9333, 0.7778, 0.5556, 0.7692, 0.2, 0.3125]","[0.5714, 0.9, 0.8, 0.5, 0.8, 0.6667, 0.5556, 0.7692, 0.6, 0.4375]",[],46.88,54.95,69.86,53.1,49.0,74.75,60.85,46.41,47.29,49.2,0.107,0.127,0.625,0.61,100.0,61.01,57.76,44.88,34.7,0.0,62.5,10.72,34.45,74.35,59.07,41.46,65.0,追込,追込,"{'逃げ': 0.009798744875911345, '先行': 0.037424658740181645, '差し': 0.48947459661498594, '追込': 0.4633019997689211}",0.009798744875911345,0.037424658740181645,0.48947459661498594,0.4633019997689211
ウィルサヴァイブ,4,4,56.0,0.0,86.86,59.98,0.0,35.67,37.18,23.39,57.43,race_history,45.89,52.75,45.89,1500.0,50.0,75.0,52.09,横山武,50.0,50.0,50.0,50.53,自在,自在,"{'逃げ': 0.3566898061468445, '先行': 0.37179825663784066, '差し': 0.23388151379340438, '追込': 0.037630423421910524}",0.357,0.372,0.234,0.038,35.67,37.18,23.39,3.76,70.43,0.301,0.336,0.318,0.301,0.336,0.318,-1.29,0.319,0.0379,10,"['5-7-6', '1-1-1-1', '3-3-3-3', '4-4', '1-1', '1-1-1-1', '2-3-3-2', '8-8-8-8', '6-3-3', '3-3-4']","[9, 7, 10, 11, 10, 7, 14, 18, 10, 8]","[0.5556, 0.1429, 0.3, 0.3636, 0.1, 0.1429, 0.1429, 0.4444, 0.6, 0.375]","[0.7778, 0.1429, 0.3, 0.3636, 0.1, 0.1429, 0.2143, 0.4444, 0.3, 0.375]","[0.6667, 0.1429, 0.3, 0.3636, 0.1, 0.1429, 0.2143, 0.4444, 0.3, 0.5]",[],46.14,54.05,75.79,55.0,50.45,67.71,65.17,39.47,47.07,48.82,0.69,0.635,0.057,0.657,100.0,65.68,41.95,46.168,34.1,0.0,5.71,69.03,64.47,67.94,59.95,55.06,65.0,追込,追込,"{'逃げ': 0.3639828772041977, '先行': 0.37571674566952806, '差し': 0.22549947362091788, '追込': 0.03480090350535626}",0.3639828772041977,0.37571674566952806,0.22549947362091788,0.03480090350535626
リッチブラック,5,5,58.0,4.0,59.73,60.45,0.0,25.26,14.33,47.21,50.0,neutral,28.06,54.06,28.06,1500.0,50.0,75.0,43.48,斎藤,50.0,50.0,50.0,43.2,差し,差し,"{'逃げ': 0.25261431906279624, '先行': 0.14329244614470807, '差し': 0.47209965527949477, '追込': 0.1319935795130009}",0.253,0.143,0.472,0.132,25.26,14.33,47.21,13.2,100.0,0.497,0.45,0.563,0.497,0.45,0.563,-2.49,0.503,0.0871,10,"['8-6-9-12', '7-6-7-7', '1-1-1-1', '2-2-3-4', '1-1-1-1', '4-5-7-3', '6-5-7-7', '12-12-12-11', '11-11-9-7', '2-2-2-3']","[12, 8, 11, 8, 9, 8, 10, 14, 11, 11]","[0.6667, 0.875, 0.0909, 0.25, 0.1111, 0.5, 0.6, 0.8571, 1.0, 0.1818]","[0.5, 0.75, 0.0909, 0.25, 0.1111, 0.625, 0.5, 0.8571, 1.0, 0.1818]","[0.75, 0.875, 0.0909, 0.375, 0.1111, 0.875, 0.7, 0.8571, 0.8182, 0.1818]",[],41.82,34.35,35.0,55.0,16.58,30.26,48.71,40.55,34.37,40.0,0.558,0.628,0.08,0.49,100.0,49.0,42.69,47.615,35.0,0.0,8.04,55.79,56.57,46.82,41.68,44.24,65.0,差し,差し,"{'逃げ': 0.2630856119174134, '先行': 0.14778330563183442, '差し': 0.46454971373072196, '追込': 0.12458136872003014}",0.2630856119174134,0.14778330563183442,0.46454971373072196,0.12458136872003014
ロードマンハイム,6,6,58.0,4.0,61.94,58.89,0.0,1.03,20.64,51.79,51.15,race_history,49.56,57.03,49.56,1500.0,50.0,75.0,56.07,岩田康,50.0,50.0,50.0,70.03,差し,差し,"{'逃げ': 0.010306429224506114, '先行': 0.20638848458078343, '差し': 0.517902128018085, '追込': 0.2654029581766254}",0.01,0.206,0.518,0.265,1.03,20.64,51.79,26.54,60.48,0.672,0.689,0.561,0.672,0.689,0.561,1.29,0.641,0.0378,10,"['14-15-3-3', '7-7-7-6', '7-8-9-9', '12-14-13-8', '8-7-6-5', '3-3-5', '4-3-3-3', '8-8-9-9', '7-6-5-3', '6-5-4-3']","[16, 10, 14, 14, 8, 9, 13, 14, 15, 16]","[0.875, 0.7, 0.5, 0.8571, 1.0, 0.3333, 0.3077, 0.5714, 0.4667, 0.375]","[0.9375, 0.7, 0.5714, 1.0, 0.875, 0.3333, 0.2308, 0.5714, 0.4, 0.3125]","[0.1875, 0.7, 0.6429, 0.9286, 0.75, 0.5556, 0.2308, 0.6429, 0.3333, 0.25]",[],50.59,59.33,62.07,55.0,57.47,73.98,67.21,49.22,49.69,52.1,0.224,0.188,0.405,0.67,100.0,66.96,52.91,48.66,34.0,0.0,40.46,22.38,40.45,75.54,62.59,45.83,65.0,差し,差し,"{'逃げ': 0.010911403868474395, '先行': 0.21638184265960264, '差し': 0.5180593084534939, '追込': 0.25464744501842906}",0.010911403868474395,0.21638184265960264,0.5180593084534939,0.25464744501842906
レイヤードレッド,6,7,58.0,4.0,73.84,61.61,0.0,5.0,37.37,50.69,56.66,race_history,44.67,57.07,44.67,1500.0,50.0,75.0,53.72,長浜,50.0,50.0,50.0,66.23,差し,差し,"{'逃げ': 0.05000168707376818, '先行': 0.37365474988118164, '差し': 0.5069339314203251, '追込': 0.06940963162472512}",0.05,0.374,0.507,0.069,5.0,37.37,50.69,6.94,61.31,0.451,0.432,0.468,0.451,0.432,0.468,0.24,0.45,0.0322,10,"['7-7-9-8', '7-6-7-7', '7-7-6-5', '4-3-3-3', '2-2-2-2', '3-3-4-3', '11-14-16-16', '4-3-3-3', '3-3-2-3', '3-3-3-4']","[16, 12, 10, 9, 11, 10, 18, 18, 11, 15]","[0.4375, 0.5833, 0.7, 0.4444, 0.1818, 0.3, 0.6111, 0.2222, 0.2727, 0.2]","[0.4375, 0.5, 0.7, 0.3333, 0.1818, 0.3, 0.7778, 0.1667, 0.2727, 0.2]","[0.5625, 0.5833, 0.6, 0.3333, 0.1818, 0.4, 0.8889, 0.1667, 0.1818, 0.2]",[],49.29,56.03,46.36,55.0,54.44,62.48,67.82,50.46,46.2,48.66,0.514,0.553,0.364,0.672,100.0,67.22,52.38,48.0,34.2,0.0,36.43,51.43,60.64,71.31,59.73,52.61,65.0,差し,差し,"{'逃げ': 0.0519818967811159, '先行': 0.3846811618997462, '差し': 0.4979413663459858, '追込': 0.06539557497315206}",0.0519818967811159,0.3846811618997462,0.4979413663459858,0.06539557497315206
バルティカ,7,8,58.0,4.0,74.4,60.14,0.0,6.15,76.03,17.19,34.7,race_history,41.16,57.59,41.16,1500.0,50.0,75.0,51.42,北村友,50.0,50.0,50.0,15.96,先行,先行,"{'逃げ': 0.06145504899459735, '先行': 0.7603075342896517, '差し': 0.17189526406549865, '追込': 0.006342152650252276}",0.061,0.76,0.172,0.006,6.15,76.03,17.19,0.63,20.78,0.289,0.31,0.396,0.289,0.31,0.396,-2.07,0.332,0.0094,10,"['3-3-6-9', '3-3-3-3', '5-5-4-4', '4-6-8-8', '3-3-6-4', '2-2-2-2', '3-3-6-7', '2-2', '2-2-2-2', '1-1-2-2']","[15, 8, 11, 12, 14, 11, 13, 7, 9, 9]","[0.2, 0.375, 0.4545, 0.3333, 0.2143, 0.1818, 0.2308, 0.2857, 0.2222, 0.1111]","[0.2, 0.375, 0.4545, 0.5, 0.2143, 0.1818, 0.2308, 0.2857, 0.2222, 0.1111]","[0.4, 0.375, 0.3636, 0.6667, 0.4286, 0.1818, 0.4615, 0.2857, 0.2222, 0.2222]",[],48.42,46.6,52.57,55.0,46.41,51.56,47.64,43.99,43.7,44.43,0.684,0.655,0.186,0.496,100.0,49.64,46.06,50.873,34.8,0.0,18.62,68.42,58.37,57.15,47.89,52.52,65.0,先行,先行,"{'逃げ': 0.06254695351136721, '先行': 0.7663035425007121, '差し': 0.1652996309398326, '追込': 0.005849873048088117}",0.06254695351136721,0.7663035425007121,0.1652996309398326,0.005849873048088117
ウインアクトゥール,7,9,58.0,4.0,57.33,59.18,0.0,1.56,38.4,46.76,46.38,race_history,45.7,60.08,45.7,1500.0,50.0,75.0,54.59,丹内,50.0,50.0,50.0,13.43,自在,自在,"{'逃げ': 0.015597160413885201, '先行': 0.3840166998932937, '差し': 0.4675807711320772, '追込': 0.13280536856074399}",0.016,0.384,0.468,0.133,1.56,38.4,46.76,13.28,100.0,0.497,0.48,0.473,0.497,0.48,0.473,0.11,0.484,0.0384,10,"['9-9-11-13', '4-4-3-3', '10-8-6-7', '9-9', '7-8-8-4', '4-4-4-4', '8-8-7-9', '4-4-4-3', '3-2-2-2', '5-3-4-4']","[13, 16, 15, 16, 14, 14, 11, 16, 12, 16]","[0.6923, 0.25, 0.6667, 0.5625, 0.5, 0.2857, 0.7273, 0.25, 0.25, 0.3125]","[0.6923, 0.25, 0.5333, 0.5625, 0.5714, 0.2857, 0.7273, 0.25, 0.1667, 0.1875]","[0.8462, 0.1875, 0.4, 0.5625, 0.5714, 0.2857, 0.6364, 0.25, 0.1667, 0.25]",[],49.15,43.67,66.71,55.0,46.81,44.72,42.74,41.34,46.94,46.12,0.464,0.48,0.325,0.447,100.0,44.69,48.89,50.585,35.4,0.0,32.5,46.39,46.5,57.89,43.43,44.34,65.0,差し,差し,"{'逃げ': 0.016280379673924757, '先行': 0.3969465650841061, '差し': 0.46114235519415114, '追込': 0.12563070004781807}",0.016280379673924757,0.3969465650841061,0.46114235519415114,0.12563070004781807
アメジストブラック,8,10,58.0,4.0,59.14,86.94,0.0,0.0,15.97,57.73,61.81,race_history,43.47,53.69,43.47,1500.0,50.0,75.0,52.77,舟山,50.0,50.0,50.0,67.43,差し,差し,"{'逃げ': 0.0, '先行': 0.15966550865079776, '差し': 0.5772569995133365, '追込': 0.2630774918358657}",0.0,0.16,0.577,0.263,0.0,15.97,57.73,26.31,40.98,0.653,0.61,0.619,0.653,0.61,0.619,1.73,0.627,0.0256,10,"['6-6-5-3', '5-3-3-2', '6-6-7-4', '5-5-6-3', '3-3-5-3', '13-13-13-14', '12-12-10-10', '13-13-10-9', '9-7-9-8', '6-6-4-4']","[7, 9, 9, 9, 10, 18, 16, 15, 12, 10]","[0.8571, 0.5556, 0.6667, 0.5556, 0.3, 0.7222, 0.75, 0.8667, 0.75, 0.6]","[0.8571, 0.3333, 0.6667, 0.5556, 0.3, 0.7222, 0.75, 0.8667, 0.5833, 0.6]","[0.7143, 0.3333, 0.7778, 0.6667, 0.5, 0.7222, 0.625, 0.6667, 0.75, 0.4]",[],47.35,55.69,51.07,54.2,62.77,67.01,61.13,42.02,45.35,47.93,0.385,0.435,0.563,0.613,100.0,61.34,55.3,47.435,34.4,0.0,56.32,38.52,51.54,72.18,57.58,48.12,65.0,差し,差し,"{'逃げ': 0.0, '先行': 0.16785899448284108, '差し': 0.5790274454083877, '追込': 0.2531135601087712}",0.0,0.16785899448284108,0.5790274454083877,0.2531135601087712
