horse_name,horse_number,section_index,distance_m,current_speed,elapsed_time,position_m,actual_running_style
ダノンデサイル,1,0,100,21.801866037499057,4.5867633453026775,100.0,差し
ダノンデサイル,1,1,200,21.62102779738103,9.211890371507836,200.0,差し
ダノンデサイル,1,2,300,21.512258139249578,13.86040283136661,300.0,差し
ダノンデサイル,1,3,400,21.71231508734343,18.466083966599037,400.0,差し
ダノンデサイル,1,4,500,21.487352828325907,23.119984370197102,500.0,差し
ダノンデサイル,1,5,600,21.864606821782267,27.69358593619355,600.0,差し
ダノンデサイル,1,6,700,21.596820282879314,32.323897189895746,700.0,差し
ダノンデサイル,1,7,800,21.792458335433743,36.912640619424465,800.0,差し
ダノンデサイル,1,8,900,21.834268356117953,41.49259715238427,900.0,差し
ダノンデサイル,1,9,1000,21.89206296164568,46.06046269229238,1000.0,差し
ダノンデサイル,1,10,1100,22.501639812877276,50.504583246687346,1100.0,差し
ダノンデサイル,1,11,1200,22.13185400643187,55.02295753069168,1200.0,差し
ダノンデサイル,1,12,1300,22.391057128125638,59.48902625749551,1300.0,差し
ダノンデサイル,1,13,1400,23.525815684704785,63.739675898732585,1400.0,差し
ダノンデサイル,1,14,1500,23.371850007722646,68.01832735195335,1500.0,差し
ダノンデサイル,1,15,1600,23.13555788818999,72.34067827529317,1600.0,差し
ダノンデサイル,1,16,1700,24.8884032426138,76.35861381841313,1700.0,差し
ダノンデサイル,1,17,1800,30.1878755018118,79.67120201276944,1800.0,差し
ダノンデサイル,1,18,1900,30.304139481068358,82.97108122770217,1900.0,差し
ダノンデサイル,1,19,2000,30.063828970620772,86.29733751055034,2000.0,差し
ダノンデサイル,1,20,2100,30.108736891716422,89.6186326003989,2100.0,差し
ダノンデサイル,1,21,2200,29.495637255732067,93.00896450382527,2200.0,差し
ミュージアムマイル,2,0,100,20.436789477086634,4.893136473912315,100.0,先行
ミュージアムマイル,2,1,200,20.605769294933538,9.746146258147238,200.0,先行
ミュージアムマイル,2,2,300,20.54418642035912,14.613703335068076,300.0,先行
ミュージアムマイル,2,3,400,20.651508228735402,19.455964679489192,400.0,先行
ミュージアムマイル,2,4,500,20.424121248566475,24.352136161384344,500.0,先行
ミュージアムマイル,2,5,600,20.507498463159784,29.228401307991213,600.0,先行
ミュージアムマイル,2,6,700,20.66453907747844,34.06760917152331,700.0,先行
ミュージアムマイル,2,7,800,20.462765259660575,38.954534214696025,800.0,先行
ミュージアムマイル,2,8,900,20.268961572897716,43.888186076452634,900.0,先行
ミュージアムマイル,2,9,1000,20.5965493054428,48.743368297368356,1000.0,先行
ミュージアムマイル,2,10,1100,19.793434268348946,53.795548664062316,1100.0,先行
ミュージアムマイル,2,11,1200,19.664862432455312,58.880760947823724,1200.0,先行
ミュージアムマイル,2,12,1300,19.454819940604622,64.02087534134158,1300.0,先行
ミュージアムマイル,2,13,1400,19.447201532364943,69.16300336596123,1400.0,先行
ミュージアムマイル,2,14,1500,19.383745296161656,74.32196508734755,1500.0,先行
