horse_name,horse_number,section_index,distance_m,current_speed,elapsed_time,position_m,actual_running_style
ランフォーヴァウ,1,0,100,14.62020571576198,6.83984903797834,100.0,差し
ランフォーヴァウ,1,1,200,14.498936634149679,13.736906561801685,200.0,差し
ランフォーヴァウ,1,2,300,14.425996328270369,20.66883678862642,300.0,差し
ランフォーヴァウ,1,3,400,14.560153364689585,27.53689631350162,400.0,差し
ランフォーヴァウ,1,4,500,14.40929497029978,34.47686112136478,500.0,差し
ランフォーヴァウ,1,5,600,14.959989680637491,41.16135771091982,600.0,差し
ランフォーヴァウ,1,6,700,15.15565883748241,47.75955321481199,700.0,差し
ランフォーヴァウ,1,7,800,15.430177429120587,54.24036009207285,800.0,差し
ランフォーヴァウ,1,8,900,15.124930783308795,60.85196059674131,900.0,差し
ランフォーヴァウ,1,9,1000,14.621807456432082,67.69106036590222,1000.0,差し
ランフォーヴァウ,1,10,1100,14.34369497779007,74.66276466907104,1100.0,差し
ランフォーヴァウ,1,11,1200,14.051087615507555,81.77965147074713,1200.0,差し
ジェニファー,2,0,100,17.739773993476255,5.637050395161442,100.0,逃げ
ジェニファー,2,1,200,17.584970918365197,11.323724570753232,200.0,逃げ
ジェニファー,2,2,300,17.65041285269486,16.98931442604843,300.0,逃げ
ジェニファー,2,3,400,17.637964816906884,22.658902784913106,400.0,逃げ
ジェニファー,2,4,500,17.581109975747484,28.346825796483277,500.0,逃げ
ジェニファー,2,5,600,16.02057926454498,34.58879734749387,600.0,逃げ
ジェニファー,2,6,700,15.559570798491219,41.015709843672546,700.0,逃げ
ジェニファー,2,7,800,15.64447354214121,47.40774340943185,800.0,逃げ
ジェニファー,2,8,900,15.830697733908421,53.724584377584875,900.0,逃げ
ジェニファー,2,9,1000,14.835936884507047,60.4649743359992,1000.0,逃げ
ジェニファー,2,10,1100,14.957060092348053,67.15078019507705,1100.0,逃げ
ジェニファー,2,11,1200,14.71009313547901,73.94883368658158,1200.0,逃げ
プロトポロス,3,0,100,16.58078397968597,6.031077910581037,100.0,逃げ
プロトポロス,3,1,200,16.46348077339542,12.105127583089995,200.0,逃げ
プロトポロス,3,2,300,16.663482775783688,18.106274002812384,300.0,逃げ
プロトポロス,3,3,400,16.573954705119917,24.139837010505936,400.0,逃げ
プロトポロス,3,4,500,16.575071171805245,30.172993608355323,500.0,逃げ
プロトポロス,3,5,600,14.92197122803372,36.87452107224235,600.0,逃げ
プロトポロス,3,6,700,14.82252152367646,43.62101152869182,700.0,逃げ
プロトポロス,3,7,800,14.507507861302335,50.513994179884605,800.0,逃げ
プロトポロス,3,8,900,13.546415535706426,57.8960207932285,900.0,逃げ
プロトポロス,3,9,1000,12.830475514384851,65.68996419679802,1000.0,逃げ
プロトポロス,3,10,1100,12.096456326107237,73.95684809271839,1100.0,逃げ
プロトポロス,3,11,1200,11.915903135440216,82.3489941905312,1200.0,逃げ
アンクルクロス,4,0,100,16.07536676324205,6.220697883463542,100.0,先行
アンクルクロス,4,1,200,16.328199865031753,12.34507171686808,200.0,先行
アンクルクロス,4,2,300,16.243010707549114,18.50156584227821,300.0,先行
アンクルクロス,4,3,400,16.149557715564313,24.693685884279354,400.0,先行
アンクルクロス,4,4,500,16.264397136909537,30.84208469415995,500.0,先行
アンクルクロス,4,5,600,16.805347835812256,36.79257146640632,600.0,先行
アンクルクロス,4,6,700,16.067589059489983,43.01628055118262,700.0,先行
アンクルクロス,4,7,800,15.505899961491831,49.46543862961375,800.0,先行
アンクルクロス,4,8,900,15.508138551677334,55.91366577607448,900.0,先行
アンクルクロス,4,9,1000,14.430608449910258,62.84338051035666,1000.0,先行
アンクルクロス,4,10,1100,14.374892532722836,69.79995425672459,1100.0,先行
アンクルクロス,4,11,1200,14.297632929857235,76.7941189894877,1200.0,先行
アブキールベイ,5,0,100,14.680927132645044,6.811558908812806,100.0,差し
アブキールベイ,5,1,200,14.6437436833299,13.640413753755066,200.0,差し
アブキールベイ,5,2,300,14.578051645671653,20.500040981766077,300.0,差し
アブキールベイ,5,3,400,14.658016185886305,27.322246574381435,400.0,差し
アブキールベイ,5,4,500,14.595345268483708,34.17374601892927,500.0,差し
アブキールベイ,5,5,600,14.870902669814342,40.898287374645676,600.0,差し
アブキールベイ,5,6,700,15.137299338501956,47.504485598238205,700.0,差し
アブキールベイ,5,7,800,15.397520840530612,53.999037613181535,800.0,差し
アブキールベイ,5,8,900,14.794212577525542,60.75843757961935,900.0,差し
アブキールベイ,5,9,1000,14.432184320415255,67.68739564860296,1000.0,差し
アブキールベイ,5,10,1100,13.663013800818725,75.00642507050165,1100.0,差し
アブキールベイ,5,11,1200,13.611215181441512,82.35330767186902,1200.0,差し
オタルエバー,6,0,100,14.60036679539029,6.849142997665823,100.0,差し
オタルエバー,6,1,200,14.526293716855298,13.733211428966161,200.0,差し
オタルエバー,6,2,300,14.65512741581117,20.55676179210471,300.0,差し
オタルエバー,6,3,400,14.688646533946878,27.36474098670854,400.0,差し
オタルエバー,6,4,500,14.657425214854712,34.18722164304196,500.0,差し
オタルエバー,6,5,600,14.21448190935021,41.22230041958326,600.0,差し
オタルエバー,6,6,700,14.585432627170665,48.07845632226891,700.0,差し
オタルエバー,6,7,800,15.098583323935028,54.70159425875829,800.0,差し
オタルエバー,6,8,900,14.105900571369594,61.79082613686805,900.0,差し
オタルエバー,6,9,1000,13.495651453655784,69.20062034675863,1000.0,差し
オタルエバー,6,10,1100,12.832576228966685,76.99328786852033,1100.0,差し
オタルエバー,6,11,1200,12.40831836350658,85.05239765845806,1200.0,差し
デアヴェローチェ,7,0,100,16.764559291687092,5.964964438378419,100.0,先行
デアヴェローチェ,7,1,200,16.55226408281386,12.006434022217983,200.0,先行
デアヴェローチェ,7,2,300,16.73905196209462,17.980488002482144,300.0,先行
デアヴェローチェ,7,3,400,16.646877850841754,23.98762044473428,400.0,先行
デアヴェローチェ,7,4,500,16.78612359277848,29.94492198891097,500.0,先行
デアヴェローチェ,7,5,600,17.400985987709337,35.69172277770719,600.0,先行
デアヴェローチェ,7,6,700,16.77369394785793,41.65343880226661,700.0,先行
デアヴェローチェ,7,7,800,16.277362366072268,47.79694029538537,800.0,先行
デアヴェローチェ,7,8,900,17.236540644114974,53.59856847964302,900.0,先行
デアヴェローチェ,7,9,1000,16.0310566082999,59.83646049408617,1000.0,先行
デアヴェローチェ,7,10,1100,16.46336258378333,65.91055377187752,1100.0,先行
デアヴェローチェ,7,11,1200,16.500972897601542,71.97080249906227,1200.0,先行
アメリカンビキニ,8,0,100,17.114984231716832,5.842833311799601,100.0,逃げ
アメリカンビキニ,8,1,200,16.9986975165192,11.725636973834341,200.0,逃げ
アメリカンビキニ,8,2,300,17.17295742804609,17.548745801710695,300.0,逃げ
アメリカンビキニ,8,3,400,17.159357873311414,23.376469702471205,400.0,逃げ
アメリカンビキニ,8,4,500,16.962573184854858,29.27180167305251,500.0,逃げ
アメリカンビキニ,8,5,600,15.436263802729398,35.75005322912648,600.0,逃げ
アメリカンビキニ,8,6,700,15.48358984655032,42.208503820432966,700.0,逃げ
アメリカンビキニ,8,7,800,14.8836881117301,48.92726863526325,800.0,逃げ
アメリカンビキニ,8,8,900,14.696252553402296,55.731724372304136,900.0,逃げ
アメリカンビキニ,8,9,1000,13.72675027028783,63.01676985145549,1000.0,逃げ
アメリカンビキニ,8,10,1100,13.64367278519848,70.34617459271301,1100.0,逃げ
アメリカンビキニ,8,11,1200,13.295304668130841,77.86762690209125,1200.0,逃げ
ヨシノイースター,9,0,100,16.257751233877872,6.150912174841265,100.0,先行
ヨシノイースター,9,1,200,16.243247260974485,12.307316642084515,200.0,先行
ヨシノイースター,9,2,300,16.04346792470293,18.54038298842133,300.0,先行
ヨシノイースター,9,3,400,16.19409185742684,24.71547455146805,400.0,先行
ヨシノイースター,9,4,500,16.06405344041647,30.940553443972497,500.0,先行
ヨシノイースター,9,5,600,16.477653693810613,37.00937864555823,600.0,先行
ヨシノイースター,9,6,700,15.859517228306775,43.314740817712845,700.0,先行
ヨシノイースター,9,7,800,15.415527558553046,49.80170661373691,800.0,先行
ヨシノイースター,9,8,900,15.087513459284022,56.42970401502278,900.0,先行
ヨシノイースター,9,9,1000,14.001557769300382,63.571766466049375,1000.0,先行
ヨシノイースター,9,10,1100,13.935389883105428,70.74774079032967,1100.0,先行
ヨシノイースター,9,11,1200,13.599041912387854,78.10120000048965,1200.0,先行
サウンドモリアーナ,10,0,100,17.399954983234007,5.747141305615821,100.0,逃げ
