rank,horse_name,horse_number,frame,running_style,finish_time,lane_index
1,アカツキスター,3,2,先行,100.30943620802793,1
2,ミドリノハヤテ,1,1,先行,100.6537874260474,0
3,シロガネロンド,6,4,先行,101.06607560986605,2
4,クロノスウィフト,10,6,先行,103.59272750011273,3
5,カゼノブリッツ,14,8,先行,105.57143964235624,4
