horse_name,frame,horse_number,carried_weight,weight_penalty,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,mud_source,base_ability_score,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,consistency,running_style,primary_running_style,base_style_profile,base_逃げ,base_先行,base_差し,base_追込,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,avg_first_ratio,avg_mid_ratio,avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders,debug_field_sizes,debug_first_ratios,debug_mid_ratios,debug_last_corner_ratios,field_size_warnings,avg_opponent_strength_score,avg_race_score,popularity_score,race_level_score,finish_score,margin_score,time_score,last3f_score,horse_ability_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,actual_running_style,actual_running_style_fixed,adjusted_style_profile,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
ハギノアルデバラン,1,1,58.0,4.0,55.44,72.19,0.0,3.25,9.18,52.04,50.0,neutral,43.9,60.81,43.9,1500.0,50.0,75.0,48.79,望月洵,50.0,50.0,50.0,50.3,差し,差し,"{'逃げ': 0.032525186093091386, '先行': 0.09183493351907904, '差し': 0.5204161217487087, '追込': 0.35522375863912087}",0.033,0.092,0.52,0.355,3.25,9.18,52.04,35.52,52.91,0.742,0.772,0.662,0.742,0.772,0.662,1.2,0.725,0.0331,10,"['6-6-2-2', '12-13-13-11', '15-17', '13-13-12-11', '9-9-6-6', '13-14-15-17', '13-13-9-9', '9-9-9-9', '13-13-13-7', '9-8-7-7']","[11, 15, 18, 16, 15, 18, 16, 9, 16, 13]","[0.5455, 0.8, 0.8333, 0.8125, 0.6, 0.7222, 0.8125, 1.0, 0.8125, 0.6923]","[0.5455, 0.8667, 0.9444, 0.8125, 0.6, 0.7778, 0.8125, 1.0, 0.8125, 0.6154]","[0.1818, 0.8667, 0.9444, 0.75, 0.4, 0.8333, 0.5625, 1.0, 0.8125, 0.5385]",[],50.64,47.77,51.07,62.0,30.59,45.42,67.18,50.92,45.66,46.18,0.285,0.248,0.382,0.673,100.0,67.32,52.82,48.002,33.7,0.0,38.21,28.48,43.91,64.54,57.26,42.05,65.0,差し,差し,"{'逃げ': 0.03498422789064046, '先行': 0.097819033241186, '差し': 0.530461730582432, '追込': 0.33673500828574154}",0.03498422789064046,0.097819033241186,0.530461730582432,0.33673500828574154
ヴィスマール,2,2,58.0,4.0,91.23,66.64,0.0,34.5,29.83,31.11,50.0,neutral,55.66,56.32,55.66,1500.0,50.0,75.0,60.85,西村淳,50.0,50.0,50.0,73.4,自在,自在,"{'逃げ': 0.34501642879549504, '先行': 0.2983194420003401, '差し': 0.31109665495599964, '追込': 0.04556747424816532}",0.345,0.298,0.311,0.046,34.5,29.83,31.11,4.56,100.0,0.33,0.31,0.307,0.33,0.31,0.307,-0.13,0.316,0.0392,10,"['1-1-1-1', '5-5-5-4', '2-2-2-2', '2-2-2', '1-1', '9-8-8-8', '5-5-6-5', '10-6-3-2', '3-5-6-5', '3-3-3-3']","[8, 10, 8, 13, 10, 13, 9, 12, 16, 16]","[0.125, 0.5, 0.25, 0.1538, 0.1, 0.6923, 0.5556, 0.8333, 0.1875, 0.1875]","[0.125, 0.5, 0.25, 0.1538, 0.1, 0.6154, 0.5556, 0.5, 0.3125, 0.1875]","[0.125, 0.5, 0.25, 0.1538, 0.1, 0.6154, 0.6667, 0.25, 0.375, 0.1875]",[],53.42,68.07,69.93,55.0,76.23,87.69,72.76,50.29,54.03,57.54,0.764,0.764,0.0,0.733,100.0,73.31,43.35,51.725,33.8,0.0,0.0,76.43,75.03,80.26,69.11,65.07,65.0,逃げ,逃げ,"{'逃げ': 0.35371361659001405, '先行': 0.3028701748633939, '差し': 0.3022443263811963, '追込': 0.041171882165395725}",0.35371361659001405,0.3028701748633939,0.3022443263811963,0.041171882165395725
ネブラディスク,3,3,58.0,4.0,79.89,82.44,0.0,0.0,27.88,49.2,66.1,race_history,69.56,61.76,69.56,1500.0,50.0,75.0,65.97,川田,50.0,50.0,50.0,81.88,差し,差し,"{'逃げ': 0.0, '先行': 0.27883075405436925, '差し': 0.4920275218356412, '追込': 0.22914172410998962}",0.0,0.279,0.492,0.229,0.0,27.88,49.2,22.91,55.68,0.54,0.519,0.541,0.54,0.519,0.541,4.63,0.534,0.0299,8,"['12-8', '3-3', '7-9-11-7', '10-10', '3-4-5-4', '7-6', '5-5-5', '6-6-4-4']","[18, 11, 15, 12, 10, 9, 9, 12]","[0.6667, 0.2727, 0.4667, 0.8333, 0.3, 0.7778, 0.5556, 0.5]","[0.4444, 0.2727, 0.6, 0.8333, 0.4, 0.6667, 0.5556, 0.5]","[0.4444, 0.2727, 0.7333, 0.8333, 0.5, 0.6667, 0.5556, 0.3333]",[],59.89,74.63,87.14,60.77,86.64,93.31,79.84,58.5,63.94,66.61,0.488,0.502,0.73,0.783,100.0,78.28,63.57,51.568,33.5,0.0,73.0,48.78,62.82,87.05,74.43,63.0,65.0,差し,差し,"{'逃げ': 0.0, '先行': 0.29239737354733025, '差し': 0.49375335029576806, '追込': 0.21384927615690175}",0.0,0.29239737354733025,0.49375335029576806,0.21384927615690175
サウンドムーブ,3,4,55.0,-2.0,84.63,75.09,0.0,2.09,30.22,48.07,50.0,neutral,70.46,68.32,70.46,1500.0,50.0,75.0,62.39,団野,50.0,50.0,50.0,76.88,差し,差し,"{'逃げ': 0.020913096418663617, '先行': 0.3022242396914256, '差し': 0.48067369835323936, '追込': 0.1961889655366714}",0.021,0.302,0.481,0.196,2.09,30.22,48.07,19.62,60.33,0.519,0.461,0.489,0.519,0.461,0.489,3.78,0.489,0.0328,5,"['8-6-7-6', '11-11-12-13', '9-9', '3-2', '6-5']","[18, 16, 16, 13, 9]","[0.4444, 0.6875, 0.5625, 0.2308, 0.6667]","[0.3333, 0.6875, 0.5625, 0.1538, 0.5556]","[0.3889, 0.75, 0.5625, 0.1538, 0.5556]",[],70.79,72.45,63.5,75.54,76.7,84.8,79.9,50.94,64.58,66.54,0.481,0.539,0.551,0.793,100.0,79.28,57.09,51.485,34.3,0.0,55.08,48.13,65.33,86.41,75.32,61.21,65.0,差し,差し,"{'逃げ': 0.02204576719527203, '先行': 0.31549982154046735, '差し': 0.480184402050325, '追込': 0.1822700092139357}",0.02204576719527203,0.31549982154046735,0.480184402050325,0.1822700092139357
アラタマフェーヴル,4,5,58.0,4.0,87.67,52.52,0.0,27.41,46.73,18.3,65.03,race_history,48.32,58.55,48.32,1500.0,50.0,75.0,54.65,松若,50.0,50.0,50.0,56.04,先行,先行,"{'逃げ': 0.27410314128586727, '先行': 0.46725661628411275, '差し': 0.1829869266336604, '追込': 0.07565331579635962}",0.274,0.467,0.183,0.076,27.41,46.73,18.3,7.57,91.42,0.333,0.319,0.297,0.333,0.319,0.297,-2.64,0.316,0.0505,10,"['2-2', '2-2', '4-4', '7-6', '12-11-9-12', '4-5-4-3', '3-3-3-3', '1-1-1-2', '1-1-1-2', '2-2-2-3']","[10, 15, 12, 10, 14, 16, 16, 18, 16, 15]","[0.2, 0.1333, 0.3333, 0.7, 0.8571, 0.25, 0.1875, 0.0556, 0.0625, 0.1333]","[0.2, 0.1333, 0.3333, 0.6, 0.7857, 0.3125, 0.1875, 0.0556, 0.0625, 0.1333]","[0.2, 0.1333, 0.3333, 0.6, 0.6429, 0.25, 0.1875, 0.0556, 0.0625, 0.1333]",[],53.22,60.52,48.29,55.0,56.66,76.07,72.83,45.47,48.8,51.73,0.602,0.63,0.102,0.722,100.0,72.23,44.57,48.917,34.0,0.0,10.2,60.23,67.18,72.67,65.14,56.36,65.0,先行,先行,"{'逃げ': 0.2805826981791876, '先行': 0.4736584410352377, '差し': 0.17750792614602381, '追込': 0.06825093463955105}",0.2805826981791876,0.4736584410352377,0.17750792614602381,0.06825093463955105
ナヴォーナ,4,6,58.0,4.0,80.09,59.41,0.0,2.42,59.79,22.99,50.0,neutral,58.51,64.58,58.51,1500.0,50.0,75.0,57.98,富田,50.0,50.0,50.0,42.94,先行,先行,"{'逃げ': 0.024219356507285975, '先行': 0.5979074858890306, '差し': 0.2298574471851646, '追込': 0.1480157104185188}",0.024,0.598,0.23,0.148,2.42,59.79,22.99,14.8,100.0,0.483,0.51,0.489,0.483,0.51,0.489,0.95,0.494,0.0845,10,"['7-7', '4-5', '12-12', '6-6', '5-7-4-4', '14-14', '3-3', '2-2', '8-10', '7-6']","[18, 17, 12, 18, 16, 14, 8, 13, 16, 18]","[0.3889, 0.2353, 1.0, 0.3333, 0.3125, 1.0, 0.375, 0.1538, 0.5, 0.3889]","[0.3889, 0.2941, 1.0, 0.3333, 0.4375, 1.0, 0.375, 0.1538, 0.625, 0.3333]","[0.3889, 0.2941, 1.0, 0.3333, 0.25, 1.0, 0.375, 0.1538, 0.625, 0.3333]",[],58.63,65.08,56.0,61.2,63.73,73.29,81.05,53.2,56.06,58.32,0.545,0.513,0.439,0.797,100.0,79.67,54.78,47.325,33.5,0.0,43.91,54.46,64.05,76.58,70.17,56.49,65.0,先行,先行,"{'逃げ': 0.025108264418117896, '先行': 0.6138341291423589, '差し': 0.22582056268570272, '追込': 0.13523704375382042}",0.025108264418117896,0.6138341291423589,0.22582056268570272,0.13523704375382042
トーアライデン,5,7,58.0,4.0,100.0,49.77,0.0,60.97,38.7,0.33,59.67,race_history,47.49,61.11,47.49,1500.0,50.0,75.0,54.99,中井,50.0,50.0,50.0,42.34,逃げ,逃げ,"{'逃げ': 0.6097316863094533, '先行': 0.38699558641781945, '差し': 0.003272727272727273, '追込': 0.0}",0.61,0.387,0.003,0.0,60.97,38.7,0.33,0.0,6.69,0.122,0.122,0.122,0.122,0.122,0.122,-5.84,0.122,0.0042,10,"['3-3-3-4', '1-1-1-1', '1-1-1-1', '3-3', '1-1', '1-1-1-2', '1-1-1-1', '2-2-2-2', '2-2-2-1', '2-2-2-2']","[16, 17, 16, 13, 9, 14, 16, 16, 10, 16]","[0.1875, 0.0588, 0.0625, 0.2308, 0.1111, 0.0714, 0.0625, 0.125, 0.2, 0.125]","[0.1875, 0.0588, 0.0625, 0.2308, 0.1111, 0.0714, 0.0625, 0.125, 0.2, 0.125]","[0.1875, 0.0588, 0.0625, 0.2308, 0.1111, 0.0714, 0.0625, 0.125, 0.2, 0.125]",[],53.6,53.57,49.43,58.7,50.66,65.52,63.79,38.94,48.21,49.55,0.87,0.87,0.0,0.648,100.0,64.82,40.54,48.66,34.0,0.0,0.0,87.03,77.04,56.51,59.74,60.74,65.0,逃げ,逃げ,"{'逃げ': 0.6121364924669144, '先行': 0.3847498550860136, '差し': 0.0031136524470719664, '追込': 0.0}",0.6121364924669144,0.3847498550860136,0.0031136524470719664,0.0
ドットクルー,5,8,58.0,4.0,58.68,72.02,0.0,0.0,6.18,56.84,34.33,race_history,47.92,62.07,47.92,1500.0,50.0,75.0,53.48,Ｍデムーロ,50.0,50.0,50.0,41.06,差し,差し,"{'逃げ': 0.0, '先行': 0.0617989576254135, '差し': 0.5684243823368115, '追込': 0.3697766600377751}",0.0,0.062,0.568,0.37,0.0,6.18,56.84,36.98,37.31,0.715,0.698,0.725,0.715,0.698,0.725,2.69,0.713,0.0218,10,"['16-17-16-16', '12-12-11', '13-13-12-9', '14-11-15-15', '5-5-7-7', '13-12', '6-6-7-6', '3-3-3-3', '8-8-7-7', '12-11-13-15']","[18, 17, 16, 18, 11, 18, 9, 10, 11, 15]","[0.8889, 0.7059, 0.8125, 0.7778, 0.4545, 0.7222, 0.6667, 0.3, 0.7273, 0.8]","[0.9444, 0.7059, 0.8125, 0.6111, 0.4545, 0.6667, 0.6667, 0.3, 0.7273, 0.7333]","[0.8889, 0.6471, 0.75, 0.8333, 0.6364, 0.6667, 0.7778, 0.3, 0.6364, 0.8667]",[],53.14,54.14,48.64,62.0,45.44,57.82,64.61,54.69,48.52,49.92,0.252,0.267,0.541,0.645,100.0,64.53,57.77,44.178,33.1,0.0,54.12,25.22,43.75,74.56,58.49,45.67,65.0,差し,差し,"{'逃げ': 0.0, '先行': 0.06610662218376959, '差し': 0.5818678758356726, '追込': 0.35202550198055776}",0.0,0.06610662218376959,0.5818678758356726,0.35202550198055776
アルトゥーム,6,9,58.0,4.0,53.51,61.85,0.0,0.0,5.28,56.54,15.88,race_history,43.5,61.36,43.5,1500.0,50.0,75.0,48.46,吉村,50.0,50.0,50.0,40.27,差し,差し,"{'逃げ': 0.0, '先行': 0.052778649122955754, '差し': 0.565374474896175, '追込': 0.3818468759808693}",0.0,0.053,0.565,0.382,0.0,5.28,56.54,38.18,36.35,0.767,0.763,0.763,0.767,0.763,0.763,1.47,0.764,0.0227,10,"['11-10-10-13', '11-11', '14-15-14-12', '11-10', '15-13', '5-6', '9-9', '7-9-11', '6-7', '8-8']","[16, 11, 17, 15, 17, 12, 11, 13, 9, 8]","[0.6875, 1.0, 0.8235, 0.7333, 0.8824, 0.4167, 0.8182, 0.5385, 0.6667, 1.0]","[0.625, 1.0, 0.8824, 0.6667, 0.7647, 0.5, 0.8182, 0.6923, 0.7778, 1.0]","[0.625, 1.0, 0.8235, 0.6667, 0.7647, 0.5, 0.8182, 0.8462, 0.7778, 1.0]",[],51.45,48.78,46.79,62.0,31.8,47.29,65.61,54.5,45.37,46.22,0.178,0.211,0.426,0.673,100.0,67.27,54.98,45.145,33.3,0.0,42.57,17.77,41.87,68.2,57.44,41.47,65.0,差し,差し,"{'逃げ': 0.0, '先行': 0.05652993408376562, '差し': 0.5794877660961946, '追込': 0.36398229982003977}",0.0,0.05652993408376562,0.5794877660961946,0.36398229982003977
スリリングチェイス,6,10,58.0,4.0,93.99,38.26,0.0,51.31,31.53,15.15,50.0,neutral,41.78,62.07,41.78,1500.0,50.0,75.0,48.63,亀田,50.0,50.0,50.0,64.61,逃げ,逃げ,"{'逃げ': 0.5131101200353309, '先行': 0.31525351632830545, '差し': 0.15153826468437728, '追込': 0.020098098951986335}",0.513,0.315,0.152,0.02,51.31,31.53,15.15,2.01,68.77,0.193,0.229,0.222,0.193,0.229,0.222,-5.22,0.215,0.0384,10,"['1-2', '9-11', '2-2-2-1', '1-1-1-1', '3-3-2-3', '3-3-3-3', '2-2-2-2', '2-2-2-2', '2-4-4-2', '1-1-1-1']","[18, 16, 15, 16, 16, 16, 16, 11, 13, 12]","[0.0556, 0.5625, 0.1333, 0.0625, 0.1875, 0.1875, 0.125, 0.1818, 0.1538, 0.0833]","[0.1111, 0.6875, 0.1333, 0.0625, 0.1875, 0.1875, 0.125, 0.1818, 0.3077, 0.0833]","[0.1111, 0.6875, 0.1333, 0.0625, 0.125, 0.1875, 0.125, 0.1818, 0.3077, 0.0833]",[],50.85,43.18,50.43,62.0,36.18,41.96,65.19,21.11,44.14,43.9,0.794,0.752,0.0,0.642,100.0,64.23,35.37,55.885,36.8,0.0,0.0,79.38,70.25,45.79,54.3,48.15,65.0,逃げ,逃げ,"{'逃げ': 0.5200676041160404, '先行': 0.3164259610541229, '差し': 0.1455533963135265, '追込': 0.01795303851631032}",0.5200676041160404,0.3164259610541229,0.1455533963135265,0.01795303851631032
