rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,actual_running_style_fixed,running_style,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込,early_speed,stamina,acceleration,consistency,mud_aptitude,avg_race_score,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability
1,クロワデュノール,5,3,先行,先行,先行,先行,126.51469800945226,4,0.04247308178007964,0.7013350404326507,0.21924160267317735,0.0369502751140923,100.0,100.0,0.0,93.912623483302,77.2,80.60046090104049,86.49638334501138,90.0,95.0,89.5406162464986,94.18571428571428,79.12974381425941,85.02240273401866,0.6593790849673202,0.6827124183006535,0.4650793650793651,0.7959948083725866,100.0,79.59948083725867,45.74188095238095,49.9825,34.2,0.0,46.507936507936506,65.93790849673202,73.36894938330235,89.69854882443774,82.85471446049227,72.8838725490196,65.0
2,メイショウタバル,16,8,逃げ,逃げ,逃げ,逃げ,128.4863679823228,15,0.8534729386265536,0.13888045904083127,0.0076466023326151565,0.0,100.0,83.86149457359411,0.0,45.77682907763351,87.4,72.17051428588859,77.3275588803059,78.78571428571429,95.0,71.51764038948913,83.49285714285715,73.93959373836648,76.03829773170158,0.9108986928104575,0.9108986928104575,0.03968253968253968,0.737896410546494,100.0,73.78964105464941,29.95597619047618,50.7925,33.1,0.0,3.968253968253968,91.08986928104575,83.30476657916739,73.57207965867664,77.00617758005717,75.39633578431372,65.0
3,ファミリータイム,7,4,先行,先行,先行,先行,133.0203341557985,6,0.24358252904780242,0.4656984568322071,0.28405485617602183,0.006664157943968577,94.47874068982428,95.79573656627544,0.0,57.02907527473822,38.8,56.68404150763422,62.426362316236315,58.07142857142857,86.08571428571429,58.28815628815629,53.82142857142857,60.33088201462198,60.99078211408579,0.722948717948718,0.722948717948718,0.18253968253968253,0.6066185846134706,100.0,60.66185846134705,35.69719047619048,49.0325,33.8,0.0,18.253968253968253,72.2948717948718,67.06001579478567,66.45456390377198,60.66389715374088,62.16583653846154,65.0
4,ミクニインスパイア,4,2,先行,先行,先行,先行,133.0371775250456,3,0.15752364469641494,0.4877716310197512,0.31683714870316637,0.03786757558066753,89.72167663268951,94.8172290598478,0.0,27.81155650146432,37.3,60.10488046211854,71.88310422268489,81.28571428571429,75.04285714285713,74.14285714285714,69.24285714285715,62.1696136554204,68.93854828254331,0.6270472582972584,0.6699044011544012,0.29056122448979593,0.6299926563657894,100.0,62.99926563657894,38.580086734693865,49.13,33.6,0.0,29.056122448979593,62.70472582972583,65.19441159995259,75.47952793417434,63.53384610011842,62.616382034632025,65.0
5,マイネルエンペラー,12,6,先行,逃げ,逃げ,逃げ,133.08032846319963,11,0.18452698846693405,0.5602753316864754,0.17165465040876893,0.08354302943782166,87.12763485447874,100.0,0.0,59.961875034528774,8.4,52.43388840988991,57.87137935851042,52.357142857142854,91.89999999999999,49.2281746031746,42.48571428571428,59.26458723589782,56.51200662135529,0.5617708333333333,0.5617708333333333,0.10714285714285715,0.5947744059381437,100.0,59.477440593814364,30.413035714285712,51.0,35.1,0.0,10.714285714285715,56.177083333333336,57.6622441005498,54.630633230103065,58.34509232659791,53.510625,65.0
6,コスモキュランダ,9,5,自在,先行,先行,先行,134.32073764339808,8,0.3559592978056091,0.5185056049385354,0.07070193608241877,0.0548331611734367,100.0,90.91280999518659,0.0,56.87388738660362,60.0,63.89367125327196,66.6937336709731,58.92857142857143,93.3,61.702214219020945,64.54285714285713,70.03719398597482,65.99371806654781,0.8179178338001868,0.8097035480859011,0.0,0.7021316992548906,100.0,70.21316992548907,28.31324999999999,52.082499999999996,33.3,0.0,0.0,81.79178338001867,76.12962161119464,63.60697834612701,69.59474345901899,67.4925350140056,65.0
7,ダノンデサイル,1,1,自在,差し,差し,差し,134.72006419670808,0,0.08588726894045633,0.2434305675620702,0.478789278999332,0.19189288449814146,98.0709112173388,100.0,0.0,96.89166066835135,67.0,75.88803133247838,82.14321532813672,85.57142857142857,94.2,83.22292250233427,85.45714285714287,75.57487970526999,80.57941932922213,0.5040359477124183,0.49014705882352944,0.875,0.7568802141909886,100.0,75.68802141909886,56.882999999999996,48.6675,33.8,0.0,87.5,50.40359477124183,61.01769787388861,86.44660829990082,78.43841178050438,64.70357843137255,65.0
8,ミュージアムマイル,2,1,自在,先行,先行,先行,135.63119357871713,1,0.003857359499418881,0.25796339167303994,0.357014062196684,0.3811651866308571,86.45186320424644,100.0,0.0,56.95674056824606,16.2,71.08449242407077,78.52151459752177,82.71428571428571,93.89999999999999,76.22023809523809,74.38571428571429,68.88466978474145,76.66225905415902,0.4250744047619048,0.4250744047619048,0.719047619047619,0.6945423482393537,100.0,69.45423482393537,56.430678571428565,48.88,32.3,0.0,71.9047619047619,42.507440476190474,54.63349793267568,79.71320349427495,72.36357915316445,62.050982142857144,65.0
9,マイユニバース,15,7,自在,差し,差し,差し,136.03809302000667,14,0.1289655668221298,0.350591562904447,0.3196919607092934,0.20075090956412978,90.86690596239924,100.0,100.0,40.379544221251045,0.0,72.00497802555824,78.81739980026374,85.57142857142857,73.81428571428572,81.73237628384686,86.17857142857143,68.88424543494365,77.11429435658738,0.5923508986928104,0.5923508986928104,0.5115546218487396,0.6834588669802218,100.0,68.34588669802218,61.54014677587013,35.1375,34.1,76.91005413605306,51.155462184873954,59.23508986928105,63.33494844221456,76.0514373454836,69.47236268391221,65.9401519607843,91.91851894761857
10,レガレイラ,17,8,自在,先行,先行,先行,136.98062043179183,16,0.0,0.1464771652201398,0.47934730979652773,0.37417552498333245,79.38908480274723,100.0,0.0,57.968222585252335,16.6,67.35922217755444,76.88369422251412,86.0,93.89999999999999,72.74393090569562,69.12857142857143,66.91336612803575,74.5025762112742,0.33998625965537727,0.3135973707664884,0.719047619047619,0.6708350996092768,100.0,67.08350996092767,52.407678571428555,48.625,34.0,0.0,71.9047619047619,33.99862596553773,47.43543487457432,76.35798510985947,69.42843047851022,55.63208778966131,65.0
11,スティンガーグラス,14,7,自在,差し,差し,差し,141.56744677044094,13,0.03104488736844043,0.24674326089859228,0.45161017896511696,0.2706016727678503,72.82287608461725,100.0,0.0,22.787848761910524,32.6,59.764606918173826,69.14865426254606,73.14285714285714,86.5,66.96825396825396,64.04285714285714,55.87432040323836,66.80264242645299,0.35500000000000004,0.4063888888888889,0.5765873015873015,0.5632114728739294,100.0,56.32114728739293,47.33986904761903,47.8425,34.2,0.0,57.65873015873016,35.5,47.69590516821572,72.83844457386476,60.68263100806612,55.92016666666667,65.0
12,ミステリーウェイ,18,8,逃げ,先行,先行,先行,142.27452034305253,17,0.5812734549802632,0.21430618104874866,0.18576531483336228,0.0186550491376259,98.25469152518275,96.49114550864816,0.0,20.39525019880991,0.0,41.719692826280244,49.62027445183412,51.57142857142857,92.8,26.634920634920636,26.814285714285713,53.445760391357055,47.64512904544565,0.7862847222222222,0.7868402777777779,0.0,0.5474980128590168,100.0,54.74980128590168,24.186,50.3225,34.6,0.0,0.0,78.62847222222223,67.91362585643354,44.321485498286904,52.47114070724593,55.671458333333334,65.0
13,シュガークン,3,2,先行,先行,先行,先行,143.04571467622458,2,0.40823905993870585,0.5105932374113247,0.06611014149622282,0.015057561153746589,98.4508014537406,80.10502656524888,0.0,4.883618439190333,17.4,49.337807505406154,58.90094110474394,66.85714285714286,85.37142857142858,38.427637721755374,45.728571428571435,56.57270703250016,56.510157704909496,0.8486274509803922,0.8383333333333334,0.11764705882352941,0.5733050134040818,100.0,57.33050134040819,33.17541176470587,50.1325,33.9,0.0,11.76470588235294,84.86274509803921,71.90705893651702,50.36569426940817,57.1022757372245,63.90682352941176,65.0
14,タガノデュード,8,4,自在,追込,追込,追込,145.43796055420339,7,0.0,0.08352739624580244,0.45404645750503664,0.46242614624916095,67.64879245324212,100.0,0.0,75.14677603474732,45.8,67.64515274942603,70.22970453481524,58.785714285714285,89.18571428571428,74.89087301587301,71.18571428571428,69.17244217354924,69.58356658846793,0.12854166666666667,0.14520833333333333,0.9928571428571429,0.6965212399651368,100.0,69.65212399651368,61.235964285714275,47.3875,33.6,0.0,99.28571428571429,12.854166666666666,39.32991413176449,81.16782304864905,70.67916819808252,50.33924999999999,65.0
15,ジューンテイク,10,5,自在,差し,差し,差し,146.75953585469392,9,0.14002562725428983,0.4425492612854871,0.24368551294806565,0.1737395985121573,88.39956338424732,85.635233431542,0.0,53.5924107047191,12.0,66.27428229124432,68.97547580380194,58.785714285714285,89.05714285714285,68.45804988662131,69.85,69.13365826477678,68.30017742566254,0.5236111111111111,0.549404761904762,0.2777777777777778,0.6968400374882688,100.0,69.68400374882688,40.684333333333335,49.21,33.6,0.0,27.77777777777778,52.361111111111114,61.57506359173401,76.31520770267042,69.7093270618548,62.01026785714286,65.0
16,シンエンペラー,11,6,自在,差し,差し,差し,147.97753815497924,10,0.09419416753803529,0.3502378040505453,0.40248627740808773,0.15308175100333163,84.9454800972571,100.0,0.0,46.761202610926496,0.0,53.6757185787381,60.198002946832034,60.142857142857146,95.0,44.67873816193144,41.34285714285714,63.22255314445749,58.56743185480855,0.5411647992530345,0.5308706816059757,0.20476190476190476,0.6431651091402416,100.0,64.31651091402416,36.62285714285713,47.975,33.1,0.0,20.476190476190474,54.11647992530345,58.140317399639535,66.75827297918437,62.086581002713295,55.54744397759103,65.0
17,シェイクユアハート,13,7,差し,差し,差し,差し,151.91439266953168,12,0.0,0.17604687069387842,0.604998842714818,0.21895428659130364,76.45173344406402,90.43632319594295,0.0,21.41422355066958,0.0,63.98795439367127,69.53224340614359,64.71428571428571,87.57142857142857,67.07482993197279,66.8,64.89563134034748,68.1461711530255,0.3641865079365079,0.36835317460317457,0.65,0.6604215178984982,100.0,66.04215178984983,54.00799999999999,47.2775,33.2,0.0,65.0,36.41865079365079,49.97839290860703,78.85927131856681,67.28993348441742,57.751511904761905,65.0
