horse_number,horse_name,frame,actual_running_style,position_m,rank,lane,gap_from_leader,race_power,normalized_race_power,power_effect,ability_factor,target_rank_ratio,target_position_m,time,elapsed_time,progress
5,クロワデュノール,3,先行,0.0,1,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,0.0,0.0,0.0,0.0
16,メイショウタバル,8,逃げ,0.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,0.0,0.0,0.0,0.0
12,マイネルエンペラー,6,逃げ,0.0,3,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,0.0,0.0,0.0,0.0
4,ミクニインスパイア,2,先行,0.0,4,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,0.0,0.0,0.0,0.0
7,ファミリータイム,4,先行,0.0,5,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,0.0,0.0,0.0,0.0
1,ダノンデサイル,1,差し,0.0,6,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,0.0,0.0,0.0,0.0
2,ミュージアムマイル,1,先行,0.0,7,0.0,3.72,73.195,0.846,0.032,0.0,0.207,0.0,0.0,0.0,0.0
17,レガレイラ,8,先行,0.0,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,0.0,0.0,0.0,0.0
9,コスモキュランダ,5,先行,0.0,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,0.0,0.0,0.0,0.0
14,スティンガーグラス,7,差し,0.0,10,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,0.0,0.0,0.0,0.0
8,タガノデュード,4,追込,0.0,11,3.0,16.32,71.2,0.645,0.012,0.0,0.907,0.0,0.0,0.0,0.0
15,マイユニバース,7,差し,0.0,12,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,0.0,0.0,0.0,0.0
18,ミステリーウェイ,8,先行,0.0,13,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,0.0,0.0,0.0,0.0
10,ジューンテイク,5,差し,0.0,14,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,0.0,0.0,0.0,0.0
11,シンエンペラー,6,差し,0.0,15,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,0.0,0.0,0.0,0.0
3,シュガークン,2,先行,0.0,16,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,0.0,0.0,0.0,0.0
13,シェイクユアハート,7,差し,0.0,17,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,0.0,0.0,0.0,0.0
6,ビザンチンドリーム,3,追込,0.0,18,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,0.0,0.0,0.0,0.0
12,マイネルエンペラー,6,逃げ,20.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,20.92,1.43,1.43,0.01
16,メイショウタバル,8,逃げ,20.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,20.0,1.43,1.43,0.01
2,ミュージアムマイル,1,先行,18.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,18.28,1.43,1.43,0.01
3,シュガークン,2,先行,17.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,17.8,1.43,1.43,0.01
4,ミクニインスパイア,2,先行,17.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,17.32,1.43,1.43,0.01
5,クロワデュノール,3,先行,16.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,16.84,1.43,1.43,0.01
7,ファミリータイム,4,先行,16.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,16.5,1.43,1.43,0.01
17,レガレイラ,8,先行,16.38,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,16.5,1.43,1.43,0.01
9,コスモキュランダ,5,先行,16.26,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,16.5,1.43,1.43,0.01
18,ミステリーウェイ,8,先行,16.14,10,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,16.5,1.43,1.43,0.01
1,ダノンデサイル,1,差し,13.669,11,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,13.669,1.43,1.43,0.01
10,ジューンテイク,5,差し,12.897,12,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,12.897,1.43,1.43,0.01
11,シンエンペラー,6,差し,12.126,13,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,12.126,1.43,1.43,0.01
13,シェイクユアハート,7,差し,11.354,14,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,11.354,1.43,1.43,0.01
14,スティンガーグラス,7,差し,10.583,15,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,10.583,1.43,1.43,0.01
15,マイユニバース,7,差し,10.0,16,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,10.0,1.43,1.43,0.01
6,ビザンチンドリーム,3,追込,7.36,17,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,7.36,1.43,1.43,0.01
8,タガノデュード,4,追込,5.68,18,3.0,16.32,71.2,0.645,0.012,0.0,0.907,5.68,1.43,1.43,0.01
12,マイネルエンペラー,6,逃げ,42.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,42.92,2.86,2.86,0.02
16,メイショウタバル,8,逃げ,42.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,42.0,2.86,2.86,0.02
2,ミュージアムマイル,1,先行,40.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,40.28,2.86,2.86,0.02
3,シュガークン,2,先行,39.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,39.8,2.86,2.86,0.02
4,ミクニインスパイア,2,先行,39.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,39.32,2.86,2.86,0.02
5,クロワデュノール,3,先行,38.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,38.84,2.86,2.86,0.02
7,ファミリータイム,4,先行,38.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,38.5,2.86,2.86,0.02
17,レガレイラ,8,先行,38.38,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,38.5,2.86,2.86,0.02
9,コスモキュランダ,5,先行,38.26,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,38.5,2.86,2.86,0.02
18,ミステリーウェイ,8,先行,38.14,10,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,38.5,2.86,2.86,0.02
1,ダノンデサイル,1,差し,35.669,11,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,35.669,2.86,2.86,0.02
10,ジューンテイク,5,差し,34.897,12,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,34.897,2.86,2.86,0.02
11,シンエンペラー,6,差し,34.126,13,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,34.126,2.86,2.86,0.02
13,シェイクユアハート,7,差し,33.354,14,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,33.354,2.86,2.86,0.02
14,スティンガーグラス,7,差し,32.583,15,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,32.583,2.86,2.86,0.02
15,マイユニバース,7,差し,32.0,16,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,32.0,2.86,2.86,0.02
6,ビザンチンドリーム,3,追込,29.36,17,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,29.36,2.86,2.86,0.02
8,タガノデュード,4,追込,27.68,18,3.0,16.32,71.2,0.645,0.012,0.0,0.907,27.68,2.86,2.86,0.02
12,マイネルエンペラー,6,逃げ,64.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,64.92,4.29,4.29,0.03
16,メイショウタバル,8,逃げ,64.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,64.0,4.29,4.29,0.03
2,ミュージアムマイル,1,先行,62.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,62.28,4.29,4.29,0.03
3,シュガークン,2,先行,61.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,61.8,4.29,4.29,0.03
4,ミクニインスパイア,2,先行,61.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,61.32,4.29,4.29,0.03
5,クロワデュノール,3,先行,60.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,60.84,4.29,4.29,0.03
7,ファミリータイム,4,先行,60.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,60.5,4.29,4.29,0.03
17,レガレイラ,8,先行,60.38,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,60.5,4.29,4.29,0.03
9,コスモキュランダ,5,先行,60.26,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,60.5,4.29,4.29,0.03
18,ミステリーウェイ,8,先行,60.14,10,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,60.5,4.29,4.29,0.03
1,ダノンデサイル,1,差し,57.669,11,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,57.669,4.29,4.29,0.03
10,ジューンテイク,5,差し,56.897,12,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,56.897,4.29,4.29,0.03
11,シンエンペラー,6,差し,56.126,13,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,56.126,4.29,4.29,0.03
13,シェイクユアハート,7,差し,55.354,14,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,55.354,4.29,4.29,0.03
14,スティンガーグラス,7,差し,54.583,15,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,54.583,4.29,4.29,0.03
15,マイユニバース,7,差し,54.0,16,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,54.0,4.29,4.29,0.03
6,ビザンチンドリーム,3,追込,51.36,17,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,51.36,4.29,4.29,0.03
8,タガノデュード,4,追込,49.68,18,3.0,16.32,71.2,0.645,0.012,0.0,0.907,49.68,4.29,4.29,0.03
12,マイネルエンペラー,6,逃げ,86.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,86.92,5.719,5.719,0.04
16,メイショウタバル,8,逃げ,86.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,86.0,5.719,5.719,0.04
2,ミュージアムマイル,1,先行,84.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,84.28,5.719,5.719,0.04
3,シュガークン,2,先行,83.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,83.8,5.719,5.719,0.04
4,ミクニインスパイア,2,先行,83.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,83.32,5.719,5.719,0.04
5,クロワデュノール,3,先行,82.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,82.84,5.719,5.719,0.04
7,ファミリータイム,4,先行,82.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,82.5,5.719,5.719,0.04
17,レガレイラ,8,先行,82.38,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,82.5,5.719,5.719,0.04
9,コスモキュランダ,5,先行,82.26,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,82.5,5.719,5.719,0.04
18,ミステリーウェイ,8,先行,82.14,10,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,82.5,5.719,5.719,0.04
1,ダノンデサイル,1,差し,79.669,11,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,79.669,5.719,5.719,0.04
10,ジューンテイク,5,差し,78.897,12,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,78.897,5.719,5.719,0.04
11,シンエンペラー,6,差し,78.126,13,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,78.126,5.719,5.719,0.04
13,シェイクユアハート,7,差し,77.354,14,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,77.354,5.719,5.719,0.04
14,スティンガーグラス,7,差し,76.583,15,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,76.583,5.719,5.719,0.04
15,マイユニバース,7,差し,76.0,16,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,76.0,5.719,5.719,0.04
6,ビザンチンドリーム,3,追込,73.36,17,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,73.36,5.719,5.719,0.04
8,タガノデュード,4,追込,71.68,18,3.0,16.32,71.2,0.645,0.012,0.0,0.907,71.68,5.719,5.719,0.04
12,マイネルエンペラー,6,逃げ,108.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,108.92,7.149,7.149,0.05
16,メイショウタバル,8,逃げ,108.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,108.0,7.149,7.149,0.05
2,ミュージアムマイル,1,先行,106.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,106.28,7.149,7.149,0.05
3,シュガークン,2,先行,105.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,105.8,7.149,7.149,0.05
4,ミクニインスパイア,2,先行,105.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,105.32,7.149,7.149,0.05
5,クロワデュノール,3,先行,104.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,104.84,7.149,7.149,0.05
7,ファミリータイム,4,先行,104.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,104.5,7.149,7.149,0.05
17,レガレイラ,8,先行,104.38,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,104.5,7.149,7.149,0.05
9,コスモキュランダ,5,先行,104.26,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,104.5,7.149,7.149,0.05
18,ミステリーウェイ,8,先行,104.14,10,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,104.5,7.149,7.149,0.05
1,ダノンデサイル,1,差し,101.669,11,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,101.669,7.149,7.149,0.05
10,ジューンテイク,5,差し,100.897,12,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,100.897,7.149,7.149,0.05
11,シンエンペラー,6,差し,100.126,13,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,100.126,7.149,7.149,0.05
13,シェイクユアハート,7,差し,99.354,14,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,99.354,7.149,7.149,0.05
14,スティンガーグラス,7,差し,98.583,15,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,98.583,7.149,7.149,0.05
15,マイユニバース,7,差し,98.0,16,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,98.0,7.149,7.149,0.05
6,ビザンチンドリーム,3,追込,95.36,17,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,95.36,7.149,7.149,0.05
8,タガノデュード,4,追込,93.68,18,3.0,16.32,71.2,0.645,0.012,0.0,0.907,93.68,7.149,7.149,0.05
12,マイネルエンペラー,6,逃げ,130.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,130.92,8.579,8.579,0.06
16,メイショウタバル,8,逃げ,130.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,130.0,8.579,8.579,0.06
2,ミュージアムマイル,1,先行,128.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,128.28,8.579,8.579,0.06
3,シュガークン,2,先行,127.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,127.8,8.579,8.579,0.06
4,ミクニインスパイア,2,先行,127.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,127.32,8.579,8.579,0.06
5,クロワデュノール,3,先行,126.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,126.84,8.579,8.579,0.06
7,ファミリータイム,4,先行,126.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,126.5,8.579,8.579,0.06
17,レガレイラ,8,先行,126.38,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,126.5,8.579,8.579,0.06
9,コスモキュランダ,5,先行,126.26,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,126.5,8.579,8.579,0.06
18,ミステリーウェイ,8,先行,126.14,10,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,126.5,8.579,8.579,0.06
1,ダノンデサイル,1,差し,123.669,11,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,123.669,8.579,8.579,0.06
10,ジューンテイク,5,差し,122.897,12,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,122.897,8.579,8.579,0.06
11,シンエンペラー,6,差し,122.126,13,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,122.126,8.579,8.579,0.06
13,シェイクユアハート,7,差し,121.354,14,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,121.354,8.579,8.579,0.06
14,スティンガーグラス,7,差し,120.583,15,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,120.583,8.579,8.579,0.06
15,マイユニバース,7,差し,120.0,16,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,120.0,8.579,8.579,0.06
6,ビザンチンドリーム,3,追込,117.36,17,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,117.36,8.579,8.579,0.06
8,タガノデュード,4,追込,115.68,18,3.0,16.32,71.2,0.645,0.012,0.0,0.907,115.68,8.579,8.579,0.06
12,マイネルエンペラー,6,逃げ,152.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,152.92,10.009,10.009,0.07
16,メイショウタバル,8,逃げ,152.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,152.0,10.009,10.009,0.07
2,ミュージアムマイル,1,先行,150.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,150.28,10.009,10.009,0.07
3,シュガークン,2,先行,149.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,149.8,10.009,10.009,0.07
4,ミクニインスパイア,2,先行,149.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,149.32,10.009,10.009,0.07
5,クロワデュノール,3,先行,148.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,148.84,10.009,10.009,0.07
7,ファミリータイム,4,先行,148.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,148.5,10.009,10.009,0.07
17,レガレイラ,8,先行,148.38,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,148.5,10.009,10.009,0.07
9,コスモキュランダ,5,先行,148.26,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,148.5,10.009,10.009,0.07
18,ミステリーウェイ,8,先行,148.14,10,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,148.5,10.009,10.009,0.07
1,ダノンデサイル,1,差し,145.669,11,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,145.669,10.009,10.009,0.07
10,ジューンテイク,5,差し,144.897,12,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,144.897,10.009,10.009,0.07
11,シンエンペラー,6,差し,144.126,13,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,144.126,10.009,10.009,0.07
13,シェイクユアハート,7,差し,143.354,14,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,143.354,10.009,10.009,0.07
14,スティンガーグラス,7,差し,142.583,15,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,142.583,10.009,10.009,0.07
15,マイユニバース,7,差し,142.0,16,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,142.0,10.009,10.009,0.07
6,ビザンチンドリーム,3,追込,139.36,17,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,139.36,10.009,10.009,0.07
8,タガノデュード,4,追込,137.68,18,3.0,16.32,71.2,0.645,0.012,0.0,0.907,137.68,10.009,10.009,0.07
12,マイネルエンペラー,6,逃げ,174.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,174.92,11.439,11.439,0.08
16,メイショウタバル,8,逃げ,174.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,174.0,11.439,11.439,0.08
2,ミュージアムマイル,1,先行,172.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,172.28,11.439,11.439,0.08
3,シュガークン,2,先行,171.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,171.8,11.439,11.439,0.08
4,ミクニインスパイア,2,先行,171.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,171.32,11.439,11.439,0.08
5,クロワデュノール,3,先行,170.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,170.84,11.439,11.439,0.08
7,ファミリータイム,4,先行,170.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,170.5,11.439,11.439,0.08
17,レガレイラ,8,先行,170.38,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,170.5,11.439,11.439,0.08
9,コスモキュランダ,5,先行,170.26,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,170.5,11.439,11.439,0.08
18,ミステリーウェイ,8,先行,170.14,10,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,170.5,11.439,11.439,0.08
1,ダノンデサイル,1,差し,167.669,11,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,167.669,11.439,11.439,0.08
10,ジューンテイク,5,差し,166.897,12,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,166.897,11.439,11.439,0.08
11,シンエンペラー,6,差し,166.126,13,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,166.126,11.439,11.439,0.08
13,シェイクユアハート,7,差し,165.354,14,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,165.354,11.439,11.439,0.08
14,スティンガーグラス,7,差し,164.583,15,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,164.583,11.439,11.439,0.08
15,マイユニバース,7,差し,164.0,16,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,164.0,11.439,11.439,0.08
6,ビザンチンドリーム,3,追込,161.36,17,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,161.36,11.439,11.439,0.08
8,タガノデュード,4,追込,159.68,18,3.0,16.32,71.2,0.645,0.012,0.0,0.907,159.68,11.439,11.439,0.08
12,マイネルエンペラー,6,逃げ,196.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,196.92,12.869,12.869,0.09
16,メイショウタバル,8,逃げ,196.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,196.0,12.869,12.869,0.09
2,ミュージアムマイル,1,先行,194.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,194.28,12.869,12.869,0.09
3,シュガークン,2,先行,193.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,193.8,12.869,12.869,0.09
4,ミクニインスパイア,2,先行,193.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,193.32,12.869,12.869,0.09
5,クロワデュノール,3,先行,192.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,192.84,12.869,12.869,0.09
7,ファミリータイム,4,先行,192.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,192.5,12.869,12.869,0.09
17,レガレイラ,8,先行,192.38,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,192.5,12.869,12.869,0.09
9,コスモキュランダ,5,先行,192.26,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,192.5,12.869,12.869,0.09
18,ミステリーウェイ,8,先行,192.14,10,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,192.5,12.869,12.869,0.09
1,ダノンデサイル,1,差し,189.669,11,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,189.669,12.869,12.869,0.09
10,ジューンテイク,5,差し,188.897,12,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,188.897,12.869,12.869,0.09
11,シンエンペラー,6,差し,188.126,13,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,188.126,12.869,12.869,0.09
13,シェイクユアハート,7,差し,187.354,14,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,187.354,12.869,12.869,0.09
14,スティンガーグラス,7,差し,186.583,15,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,186.583,12.869,12.869,0.09
15,マイユニバース,7,差し,186.0,16,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,186.0,12.869,12.869,0.09
6,ビザンチンドリーム,3,追込,183.36,17,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,183.36,12.869,12.869,0.09
8,タガノデュード,4,追込,181.68,18,3.0,16.32,71.2,0.645,0.012,0.0,0.907,181.68,12.869,12.869,0.09
12,マイネルエンペラー,6,逃げ,218.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,218.92,14.299,14.299,0.1
16,メイショウタバル,8,逃げ,218.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,218.0,14.299,14.299,0.1
2,ミュージアムマイル,1,先行,216.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,216.28,14.299,14.299,0.1
3,シュガークン,2,先行,215.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,215.8,14.299,14.299,0.1
4,ミクニインスパイア,2,先行,215.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,215.32,14.299,14.299,0.1
5,クロワデュノール,3,先行,214.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,214.84,14.299,14.299,0.1
7,ファミリータイム,4,先行,214.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,214.5,14.299,14.299,0.1
17,レガレイラ,8,先行,214.38,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,214.5,14.299,14.299,0.1
9,コスモキュランダ,5,先行,214.26,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,214.5,14.299,14.299,0.1
18,ミステリーウェイ,8,先行,214.14,10,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,214.5,14.299,14.299,0.1
1,ダノンデサイル,1,差し,211.669,11,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,211.669,14.299,14.299,0.1
10,ジューンテイク,5,差し,210.897,12,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,210.897,14.299,14.299,0.1
11,シンエンペラー,6,差し,210.126,13,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,210.126,14.299,14.299,0.1
13,シェイクユアハート,7,差し,209.354,14,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,209.354,14.299,14.299,0.1
14,スティンガーグラス,7,差し,208.583,15,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,208.583,14.299,14.299,0.1
15,マイユニバース,7,差し,208.0,16,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,208.0,14.299,14.299,0.1
6,ビザンチンドリーム,3,追込,205.36,17,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,205.36,14.299,14.299,0.1
8,タガノデュード,4,追込,203.68,18,3.0,16.32,71.2,0.645,0.012,0.0,0.907,203.68,14.299,14.299,0.1
12,マイネルエンペラー,6,逃げ,240.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,240.92,15.728,15.728,0.11
16,メイショウタバル,8,逃げ,240.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,240.0,15.728,15.728,0.11
2,ミュージアムマイル,1,先行,238.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,238.28,15.728,15.728,0.11
3,シュガークン,2,先行,237.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,237.8,15.728,15.728,0.11
4,ミクニインスパイア,2,先行,237.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,237.32,15.728,15.728,0.11
5,クロワデュノール,3,先行,236.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,236.84,15.728,15.728,0.11
7,ファミリータイム,4,先行,236.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,236.5,15.728,15.728,0.11
