rank,horse_name,horse_number,frame,running_style,finish_time,lane_index
1,ミュージアムマイル,2,1,先行,100.18390060694652,1
2,シュガークン,3,2,先行,100.18390060694652,2
3,ダノンデサイル,1,1,先行,100.30943620802793,0
4,クロワデュノール,5,3,先行,100.30943620802793,4
5,タガノデュード,8,4,先行,100.30943620802793,7
6,ファミリータイム,7,4,先行,100.30943620802793,6
7,ミクニインスパイア,4,2,先行,100.42161331833886,3
8,ビザンチンドリーム,6,3,先行,100.42161331833886,5
9,マイネルエンペラー,12,6,先行,102.68849812212012,11
10,ジューンテイク,10,5,先行,102.8171721132286,9
11,シンエンペラー,11,6,先行,102.8171721132286,10
12,コスモキュランダ,9,5,先行,103.59272750011273,8
13,シェイクユアハート,13,7,先行,105.32153653550786,12
14,メイショウタバル,16,8,先行,105.32153653550786,15
15,レガレイラ,17,8,先行,105.45350985972166,16
16,マイユニバース,15,7,先行,105.57143964235624,14
17,ミステリーウェイ,18,8,先行,105.81552011456264,17
18,スティンガーグラス,14,7,先行,106.2489512821669,13
