horse_name,frame,horse_number,carried_weight,weight_penalty,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,mud_source,base_ability_score,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,consistency,running_style,primary_running_style,base_style_profile,base_逃げ,base_先行,base_差し,base_追込,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,avg_first_ratio,avg_mid_ratio,avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders,debug_field_sizes,debug_first_ratios,debug_mid_ratios,debug_last_corner_ratios,field_size_warnings,avg_opponent_strength_score,avg_race_score,popularity_score,race_level_score,finish_score,margin_score,time_score,last3f_score,horse_ability_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,actual_running_style,actual_running_style_fixed,adjusted_style_profile,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
オリーブグリーン,1,1,58.0,4.0,76.98,62.2,0.0,1.56,46.29,38.71,79.99,race_history,53.94,59.72,53.94,1500.0,50.0,75.0,57.45,松山,50.0,50.0,50.0,56.84,自在,自在,"{'逃げ': 0.01563457397885212, '先行': 0.4628969375169996, '差し': 0.3871297867029122, '追込': 0.13433870180123608}",0.016,0.463,0.387,0.134,1.56,46.29,38.71,13.43,69.79,0.436,0.422,0.461,0.436,0.422,0.461,2.73,0.44,0.039,10,"['8-8-9-6', '3-3-3-5', '4-3-4-6', '6-6-6-3', '3-3-4-4', '13-13-14-13', '9-8-8-8', '11-12', '8-8', '7-6']","[16, 15, 12, 15, 11, 15, 16, 16, 16, 16]","[0.5, 0.2, 0.3333, 0.4, 0.2727, 0.8667, 0.5625, 0.6875, 0.5, 0.4375]","[0.5, 0.2, 0.25, 0.4, 0.2727, 0.8667, 0.5, 0.75, 0.5, 0.375]","[0.5625, 0.2, 0.3333, 0.4, 0.3636, 0.9333, 0.5, 0.75, 0.5, 0.375]",[],54.17,58.84,69.43,55.1,71.02,76.96,65.09,23.49,52.81,54.32,0.652,0.669,0.431,0.641,100.0,64.11,46.84,48.152,36.9,0.0,43.1,65.24,65.65,73.05,61.04,51.92,65.0,差し,差し,"{'逃げ': 0.01583200625123927, '先行': 0.46874236665236674, '差し': 0.3826436639564165, '追込': 0.13278196313997748}",0.01583200625123927,0.46874236665236674,0.3826436639564165,0.13278196313997748
メイショウフウドウ,2,2,58.0,4.0,70.46,43.35,0.0,26.66,55.82,16.99,15.13,race_history,33.29,61.67,33.29,1500.0,50.0,75.0,40.41,三浦,50.0,50.0,50.0,0.0,先行,先行,"{'逃げ': 0.26660362325603953, '先行': 0.5582377447595273, '差し': 0.1698773064752858, '追込': 0.005281325509147392}",0.267,0.558,0.17,0.005,26.66,55.82,16.99,0.53,40.1,0.233,0.223,0.341,0.233,0.223,0.341,-5.24,0.266,0.022,10,"['3-5', '5-4-11-16', '3-2-4-6', '2-2-2-2', '3-2-3-3', '8-7-11-10', '2-2-2-2', '2-2-2-2', '2-2-2-2', '11-11-8-6']","[16, 16, 16, 15, 16, 15, 15, 15, 15, 16]","[0.1875, 0.3125, 0.1875, 0.1333, 0.1875, 0.5333, 0.1333, 0.1333, 0.1333, 0.6875]","[0.3125, 0.25, 0.125, 0.1333, 0.125, 0.4667, 0.1333, 0.1333, 0.1333, 0.6875]","[0.3125, 0.6875, 0.25, 0.1333, 0.1875, 0.7333, 0.1333, 0.1333, 0.1333, 0.5]",[],46.43,26.86,54.07,60.1,19.85,16.21,46.08,11.52,38.1,40.0,0.794,0.799,0.033,0.461,100.0,46.05,34.01,55.0,37.5,0.0,3.33,79.39,64.64,32.91,37.69,40.44,65.0,先行,先行,"{'逃げ': 0.267725059764384, '先行': 0.5605859055971913, '差し': 0.16651232328823903, '追込': 0.005176711350185626}",0.267725059764384,0.5605859055971913,0.16651232328823903,0.005176711350185626
バギーウィップ,3,3,58.0,4.0,86.57,54.49,0.0,29.0,39.68,28.21,70.28,race_history,52.5,60.33,52.5,1500.0,50.0,75.0,56.27,武藤,50.0,50.0,50.0,28.31,自在,自在,"{'逃げ': 0.2899560445743707, '先行': 0.39683256766034714, '差し': 0.28214950846810877, '追込': 0.031061879297173405}",0.29,0.397,0.282,0.031,29.0,39.68,28.21,3.11,69.27,0.335,0.343,0.302,0.335,0.343,0.302,-0.89,0.327,0.0395,6,"['5-5-3-4', '5-5-5-3', '2-2-2-1', '2-2-2-2', '11-12', '3-3-2-1']","[13, 11, 14, 15, 16, 16]","[0.3846, 0.4545, 0.1429, 0.1333, 0.6875, 0.1875]","[0.3846, 0.4545, 0.1429, 0.1333, 0.75, 0.1875]","[0.2308, 0.4545, 0.1429, 0.1333, 0.75, 0.125]",[],52.91,53.06,72.93,59.31,58.66,63.89,68.75,25.15,51.78,52.1,0.647,0.637,0.245,0.697,100.0,69.7,42.78,52.705,37.0,0.0,24.46,64.65,66.41,68.91,62.26,49.98,65.0,先行,先行,"{'逃げ': 0.2921442546593123, '先行': 0.39982734236098255, '差し': 0.2774805319660662, '追込': 0.03054787101363894}",0.2921442546593123,0.39982734236098255,0.2774805319660662,0.03054787101363894
エクリプスルバン,4,4,58.0,4.0,100.0,67.9,0.0,24.06,70.91,5.03,68.65,race_history,61.25,59.62,61.25,1500.0,50.0,75.0,63.98,戸崎圭,50.0,50.0,50.0,76.32,先行,先行,"{'逃げ': 0.2406469548093365, '先行': 0.7090850285018474, '差し': 0.050268016688816065, '追込': 0.0}",0.241,0.709,0.05,0.0,24.06,70.91,5.03,0.0,5.39,0.193,0.193,0.248,0.193,0.193,0.248,0.52,0.211,0.0034,8,"['2-2-2-2', '3-3-3-3', '2-2-2-1', '2-2-5-4', '3-3-3-3', '2-2-5-5', '3-3-4-5', '3-3-2-2']","[13, 14, 13, 13, 9, 14, 12, 16]","[0.1538, 0.2143, 0.1538, 0.1538, 0.3333, 0.1429, 0.25, 0.1875]","[0.1538, 0.2143, 0.1538, 0.1538, 0.3333, 0.1429, 0.25, 0.1875]","[0.1538, 0.2143, 0.1538, 0.3846, 0.3333, 0.3571, 0.3333, 0.125]",[],56.69,65.74,84.0,57.9,82.2,89.02,73.24,20.46,58.02,59.95,0.806,0.806,0.185,0.737,100.0,73.75,40.1,53.85,36.7,0.0,18.51,80.56,77.5,83.52,70.1,59.18,65.0,先行,先行,"{'逃げ': 0.24093658819996244, '先行': 0.7099384558855839, '差し': 0.049124955914453705, '追込': 0.0}",0.24093658819996244,0.7099384558855839,0.049124955914453705,0.0
ヴァナルガンド,5,5,58.0,4.0,81.03,61.94,0.0,24.27,52.65,22.09,46.07,race_history,47.09,60.34,47.09,1500.0,50.0,75.0,55.55,津村,50.0,50.0,50.0,19.02,先行,先行,"{'逃げ': 0.24267054654269146, '先行': 0.5265125266486663, '差し': 0.22093270622736552, '追込': 0.009884220581276647}",0.243,0.527,0.221,0.01,24.27,52.65,22.09,0.99,73.04,0.305,0.296,0.247,0.305,0.296,0.247,-2.96,0.283,0.0189,10,"['8-7-4-3', '4-3-3-3', '2-2-2-2', '1-1-1-1', '5-5-4-4', '4-6-5-4', '4-4-5-6', '8-8-7-7', '5-4-4-3', '3-3-3-3']","[16, 16, 15, 16, 11, 12, 13, 16, 14, 16]","[0.5, 0.25, 0.1333, 0.0625, 0.4545, 0.3333, 0.3077, 0.5, 0.3571, 0.1875]","[0.4375, 0.1875, 0.1333, 0.0625, 0.4545, 0.5, 0.3077, 0.5, 0.2857, 0.1875]","[0.25, 0.1875, 0.1333, 0.0625, 0.3636, 0.4167, 0.3846, 0.4375, 0.2857, 0.1875]",[],50.03,45.2,69.86,60.1,49.67,49.46,60.31,17.76,47.93,47.24,0.713,0.743,0.078,0.612,100.0,61.17,36.99,54.682,36.4,0.0,7.79,71.3,68.37,55.02,54.75,48.43,65.0,先行,先行,"{'逃げ': 0.2440174693125121, '先行': 0.5294348908203484, '差し': 0.21684624198625146, '追込': 0.009701397880887946}",0.2440174693125121,0.5294348908203484,0.21684624198625146,0.009701397880887946
タイセイミッション,6,6,58.0,4.0,91.38,51.9,0.0,46.63,37.36,14.69,29.18,race_history,55.14,61.26,55.14,1500.0,50.0,75.0,58.97,菊沢,50.0,50.0,50.0,41.58,自在,自在,"{'逃げ': 0.466262575761186, '先行': 0.37357713298316, '差し': 0.14690000783182622, '追込': 0.013260283423827852}",0.466,0.374,0.147,0.013,46.63,37.36,14.69,1.33,83.43,0.273,0.275,0.17,0.273,0.275,0.17,-2.13,0.239,0.026,10,"['9-8-4-4', '2-2-2-2', '1-1-1-1', '4-5-2-2', '2-2-2-2', '8-8-7-6', '2-2-1-1', '2-3-2-2', '9-9-3-3', '3-4-2-2']","[16, 16, 16, 16, 15, 16, 14, 14, 12, 14]","[0.5625, 0.125, 0.0625, 0.25, 0.1333, 0.5, 0.1429, 0.1429, 0.75, 0.2143]","[0.5, 0.125, 0.0625, 0.3125, 0.1333, 0.5, 0.1429, 0.2143, 0.75, 0.2857]","[0.25, 0.125, 0.0625, 0.125, 0.1333, 0.4375, 0.0714, 0.1429, 0.25, 0.1429]",[],53.26,55.15,75.79,57.0,68.48,67.14,64.94,23.39,53.67,54.04,0.755,0.76,0.04,0.65,100.0,65.0,37.21,52.608,37.2,0.0,4.02,75.5,71.03,65.09,60.36,53.93,65.0,逃げ,逃げ,"{'逃げ': 0.46805526953685483, '先行': 0.37501346829258897, '差し': 0.14393832242172092, '追込': 0.012992939748835183}",0.46805526953685483,0.37501346829258897,0.14393832242172092,0.012992939748835183
ラフエイジアン,6,7,58.0,4.0,62.48,63.26,0.0,0.0,23.61,38.42,60.3,race_history,49.48,60.56,49.48,1500.0,50.0,75.0,54.25,ゴンサルベ,50.0,50.0,50.0,64.57,自在,自在,"{'逃げ': 0.0, '先行': 0.23607429978784544, '差し': 0.37974113210518423, '追込': 0.3841845681069703}",0.0,0.236,0.38,0.384,0.0,23.61,37.97,38.42,98.85,0.681,0.677,0.693,0.681,0.677,0.693,4.24,0.684,0.0608,10,"['13-13-12-10', '11-11-12-12', '13-13-14-13', '10-10', '4-4-5-4', '5-5-5-5', '12-12', '8-7', '3-3', '9-9-9-8']","[13, 14, 15, 16, 14, 16, 16, 16, 10, 13]","[1.0, 0.7857, 0.8667, 0.625, 0.2857, 0.3125, 0.75, 0.5, 0.3, 0.6923]","[1.0, 0.7857, 0.8667, 0.625, 0.2857, 0.3125, 0.75, 0.4375, 0.3, 0.6923]","[0.9231, 0.8571, 0.9333, 0.625, 0.3571, 0.3125, 0.75, 0.4375, 0.3, 0.6923]",[],52.69,54.97,55.79,62.0,57.44,59.9,73.83,28.77,49.63,50.97,0.248,0.248,0.675,0.744,100.0,74.36,54.41,49.663,36.1,0.0,67.5,24.76,47.08,77.23,64.03,38.11,65.0,先行,先行,"{'逃げ': 0.0, '先行': 0.2404673004679415, '差し': 0.3775574078881102, '追込': 0.38197529164394833}",0.0,0.2404673004679415,0.3775574078881102,0.38197529164394833
アイウィル,7,8,58.0,4.0,74.75,55.83,0.0,1.52,46.4,35.06,60.61,race_history,53.1,61.52,53.1,1500.0,50.0,75.0,56.48,田口,50.0,50.0,50.0,56.74,先行,先行,"{'逃げ': 0.015230965695069576, '先行': 0.4639740354656537, '差し': 0.3505917760620425, '追込': 0.1702032227772342}",0.015,0.464,0.351,0.17,1.52,46.4,35.06,17.02,100.0,0.468,0.459,0.404,0.468,0.459,0.404,0.75,0.443,0.0421,10,"['11-11-8-8', '4-4-4-5', '4-3-3-3', '5-5-6-3', '8-8-7-8', '6-7-6-6', '10-9-8-7', '3-3-3-3', '8-8-6-5', '3-3-3-3']","[13, 16, 16, 12, 15, 16, 14, 14, 12, 16]","[0.8462, 0.25, 0.25, 0.4167, 0.5333, 0.375, 0.7143, 0.2143, 0.6667, 0.1875]","[0.8462, 0.25, 0.1875, 0.4167, 0.5333, 0.4375, 0.6429, 0.2143, 0.6667, 0.1875]","[0.6154, 0.25, 0.1875, 0.5, 0.4667, 0.375, 0.5714, 0.2143, 0.5, 0.1875]",[],54.87,56.48,63.07,58.7,67.05,67.94,66.16,24.95,52.21,53.27,0.529,0.542,0.361,0.658,100.0,65.76,45.51,49.265,36.6,0.0,36.13,52.93,59.39,72.12,60.4,46.97,65.0,先行,先行,"{'逃げ': 0.01542304969222994, '先行': 0.46982540359917374, '差し': 0.3465234101584462, '追込': 0.16822813655015006}",0.01542304969222994,0.46982540359917374,0.3465234101584462,0.16822813655015006
ドバイブルース,7,9,58.0,4.0,76.06,60.37,0.0,7.74,40.53,34.53,65.97,race_history,55.98,59.95,55.98,1500.0,50.0,75.0,58.24,横山武,50.0,50.0,50.0,65.31,自在,自在,"{'逃げ': 0.07738042455565801, '先行': 0.40529126436303464, '差し': 0.34530630135295515, '追込': 0.17202200972835222}",0.077,0.405,0.345,0.172,7.74,40.53,34.53,17.2,59.24,0.526,0.522,0.395,0.526,0.522,0.395,1.42,0.481,0.0345,10,"['7-7-3-2', '10-10-9-6', '13-13-8-8', '7-7-6-5', '3-3-3-3', '2-2-2-2', '5-4-5-4', '7-7-7-7', '6-6-4-3', '5-5-3-1']","[13, 14, 15, 15, 8, 14, 16, 13, 15, 16]","[0.5385, 0.7143, 0.8667, 0.4667, 0.375, 0.1429, 0.3125, 0.5385, 0.4, 0.3125]","[0.5385, 0.7143, 0.8667, 0.4667, 0.375, 0.1429, 0.25, 0.5385, 0.4, 0.3125]","[0.2308, 0.6429, 0.5333, 0.4, 0.375, 0.1429, 0.3125, 0.5385, 0.2667, 0.1875]",[],54.52,60.31,74.14,62.0,65.49,74.4,74.79,26.95,54.26,55.78,0.393,0.393,0.279,0.754,100.0,75.37,44.19,52.017,36.1,0.0,27.86,39.34,55.55,80.23,68.28,45.85,65.0,差し,差し,"{'逃げ': 0.07834972371718589, '先行': 0.41036811015417, '差し': 0.3412706205167677, '追込': 0.17001154561187623}",0.07834972371718589,0.41036811015417,0.3412706205167677,0.17001154561187623
ゴールドアローン,8,10,56.0,0.0,69.99,60.73,0.0,5.91,34.25,51.03,50.39,race_history,44.79,61.55,44.79,1500.0,50.0,75.0,53.43,石川,50.0,50.0,50.0,44.16,差し,差し,"{'逃げ': 0.05912677087145173, '先行': 0.34249066253972926, '差し': 0.5102980152909983, '追込': 0.08808455129782082}",0.059,0.342,0.51,0.088,5.91,34.25,51.03,8.81,57.07,0.489,0.488,0.467,0.489,0.488,0.467,0.78,0.481,0.0336,10,"['7-7-6-6', '6-6-6-6', '6-6-7-6', '8-8-8-8', '14-14-15-15', '7-7-4-3', '2-2-2-2', '5-5-3-5', '6-6-4-5', '5-4-6-6']","[15, 14, 11, 15, 16, 15, 16, 14, 15, 16]","[0.4667, 0.4286, 0.5455, 0.5333, 0.875, 0.4667, 0.125, 0.3571, 0.4, 0.3125]","[0.4667, 0.4286, 0.5455, 0.5333, 0.875, 0.4667, 0.125, 0.3571, 0.4, 0.25]","[0.4, 0.4286, 0.6364, 0.5333, 0.9375, 0.2667, 0.125, 0.2143, 0.2667, 0.375]",[],52.34,48.68,44.71,62.0,59.02,48.8,62.51,18.55,46.29,46.88,0.453,0.453,0.529,0.626,100.0,62.61,48.35,51.468,36.8,0.0,52.92,45.32,53.1,68.01,55.05,39.33,65.0,差し,差し,"{'逃げ': 0.05998514529544166, '先行': 0.34746277958326993, '差し': 0.505325797866595, '追込': 0.08722627725469327}",0.05998514529544166,0.34746277958326993,0.505325797866595,0.08722627725469327
