rank,horse_name,horse_number,frame,running_style,finish_time,lane_index
1,レガレイラ,17,8,先行,104.58522816020795,16
2,ダノンデサイル,1,1,先行,105.63108044181003,0
3,ファミリータイム,7,4,先行,105.63108044181003,6
4,タガノデュード,8,4,先行,105.63108044181003,7
5,シンエンペラー,11,6,先行,105.63108044181003,10
6,ジューンテイク,10,5,先行,105.63108044181003,9
7,クロワデュノール,5,3,先行,105.63108044181003,4
8,マイユニバース,15,7,先行,105.73939950632285,14
9,メイショウタバル,16,8,先行,106.44548971354736,15
10,シェイクユアハート,13,7,先行,106.44548971354736,12
11,ビザンチンドリーム,6,3,先行,106.79679350138609,5
12,ミクニインスパイア,4,2,先行,106.79679350138609,3
13,ミュージアムマイル,2,1,先行,107.50994461068284,1
14,マイネルエンペラー,12,6,先行,107.50994461068284,11
15,シュガークン,3,2,先行,107.50994461068284,2
16,スティンガーグラス,14,7,先行,107.66305718875553,13
17,ミステリーウェイ,18,8,先行,108.30752056821851,17
18,コスモキュランダ,9,5,先行,108.73968776064311,8
