horse_name,frame,horse_number,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,consistency,running_style,primary_running_style,base_style_profile,base_逃げ,base_先行,base_差し,base_追込,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders,actual_running_style,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
ジューンテイク,5,10,87.19,84.41,89.67,13.49,43.05,24.6,12.0,50.37,自在,自在,"{'逃げ': 0.13488765340210193, '先行': 0.4304902757792718, '差し': 0.246017514477767, '追込': 0.18860455634085918}",0.135,0.43,0.246,0.189,13.49,43.05,24.6,18.86,100.0,0.472,0.461,0.401,-0.51,0.445,0.0615,10,"['7-7-5-3', '7-6-3-3', '2-2-2-2', '12-11-7-6', '14-14-17-18', '13-14-14-13', '2-2-2-3', '8-8-10', '3-3-2-2', '6-7-9-7']",追込,0.14932331601413742,0.47202262118696137,0.22405996122404392,0.15459410157485726
ジューンテイク,5,10,87.19,84.41,89.67,13.49,43.05,24.6,12.0,50.37,自在,自在,"{'逃げ': 0.13488765340210193, '先行': 0.4304902757792718, '差し': 0.246017514477767, '追込': 0.18860455634085918}",0.135,0.43,0.246,0.189,13.49,43.05,24.6,18.86,100.0,0.472,0.461,0.401,-0.51,0.445,0.0615,10,"['7-7-5-3', '7-6-3-3', '2-2-2-2', '12-11-7-6', '14-14-17-18', '13-14-14-13', '2-2-2-3', '8-8-10', '3-3-2-2', '6-7-9-7']",差し,0.14311900407225725,0.45676040748263663,0.23676229133599636,0.1633582971091097
シンエンペラー,6,11,85.47,100.0,95.5,9.04,33.94,40.47,0.0,44.3,自在,自在,"{'逃げ': 0.09038095019716971, '先行': 0.33935399385388965, '差し': 0.4047395188312628, '追込': 0.16552553711767784}",0.09,0.339,0.405,0.166,9.04,33.94,40.47,16.55,82.45,0.452,0.452,0.494,0.78,0.466,0.0474,10,"['14-14-14-15', '10-10-9-10', '5-5-8-7', '4-5-6-6', '1-1-2-2', '8-7-9-9', '8-8-7-6', '4-3-5-5', '3-4-3-2', '11-12-9-7']",差し,0.09697854551813773,0.3641260317348583,0.39390888452355705,0.14498653822344693
マイネルエンペラー,6,12,87.33,100.0,71.28,18.01,55.23,17.56,8.4,59.57,先行,先行,"{'逃げ': 0.18014251086918032, '先行': 0.5523252172794824, '差し': 0.17562386640913338, '追込': 0.09190840544220392}",0.18,0.552,0.176,0.092,18.01,55.23,17.56,9.19,100.0,0.391,0.391,0.297,-1.89,0.359,0.0637,10,"['3-3-3-3', '5-5-2-3', '15-15-14-13', '7-7-4-4', '2-2-1-1', '3-3-3-2', '5-5-4-4', '2-2-2-2', '7-7-7-10', '3-3-3']",逃げ,0.1863303514385496,0.5712974208447452,0.164767794025263,0.0776044336914421
シェイクユアハート,7,13,76.24,88.78,100.0,0.0,16.79,59.9,0.0,24.03,差し,差し,"{'逃げ': 0.0, '先行': 0.16793704944205154, '差し': 0.5989731329447445, '追込': 0.2330898176132039}",0.0,0.168,0.599,0.233,0.0,16.79,59.9,23.31,45.88,0.59,0.587,0.578,3.95,0.585,0.0287,10,"['15-14-14-11', '11-11-12-10', '7-7-7-6', '8-9-9-10', '6-6-6-6', '8-8', '8-8-5-4', '6-6-5-4', '7-7-5-5', '4-4-5-3']",差し,0.0,0.1790032210902382,0.6080403086402437,0.21295647026951803
スティンガーグラス,7,14,71.66,100.0,100.0,2.93,23.54,44.72,32.6,23.36,自在,自在,"{'逃げ': 0.02933053766661674, '先行': 0.2354031600903386, '差し': 0.4471624225513839, '追込': 0.2881038796916608}",0.029,0.235,0.447,0.288,2.93,23.54,44.72,28.81,81.6,0.616,0.592,0.558,3.89,0.589,0.051,10,"['17-17-17-17', '6-4-2-1', '14-9-9-8', '6-7-8-8', '7-9-9-9', '5-7-7-3', '8-8-7-5', '13-13-9-9', '4-4-3-3', '6-5-4']",差し,0.031284276584589814,0.2510836198388077,0.4542365679899362,0.2633955355866663
マイユニバース,7,15,87.23,100.0,98.85,12.35,33.9,32.08,0.0,35.78,自在,自在,"{'逃げ': 0.12349860517242738, '先行': 0.33902115155163054, '差し': 0.32084231340945624, '追込': 0.21663792986648592}",0.123,0.339,0.321,0.217,12.35,33.9,32.08,21.66,100.0,0.446,0.449,0.441,3.09,0.445,0.0449,10,"['10-10-13-11', '5-5-5-5', '4-4-5-3', '11-11-3-3', '1-1-1-1', '7-6', '8-8-7-5', '4-6-6-6', '6-6-9-8', '2-3-6-6']",差し,0.12948420429443078,0.35545246836071365,0.32037386439500604,0.19468946294984954
メイショウタバル,8,16,100.0,81.65,66.68,85.2,14.0,0.8,87.4,44.61,逃げ,逃げ,"{'逃げ': 0.852, '先行': 0.14000000000000004, '差し': 0.008, '追込': 0.0}",0.852,0.14,0.008,0.0,85.2,14.0,0.8,0.0,0.74,0.086,0.086,0.077,-4.87,0.083,0.0005,10,"['2-2-2-2', '1-1-1-1', '2-2-1-1', '1-1-1', '1-1-1-1', '1-1-1-1', '2-2-2-10', '1-1-1-1', '1-1-1-1', '1-1']",逃げ,0.8523246951219513,0.14005335365853663,0.007621951219512197,0.0
レガレイラ,8,17,76.88,100.0,100.0,0.0,13.8,46.87,16.6,53.71,自在,自在,"{'逃げ': 0.0, '先行': 0.1379861090832493, '差し': 0.46865183970093394, '追込': 0.3933620512158168}",0.0,0.138,0.469,0.393,0.0,13.8,46.87,39.34,55.0,0.642,0.658,0.626,5.49,0.642,0.0324,10,"['11-12-10-9', '14-14-15-12', '9-10-10-8', '8-8-6-6', '8-8-6-5', '6-5-5-3', '8-8-10-9', '15-15-15-15', '10-11-14-13', '14-15-14-13']",先行,0.0,0.14974260023724575,0.48436307620644486,0.3658943235563093
ミステリーウェイ,8,18,100.0,96.66,51.96,57.36,21.35,19.21,0.0,17.31,逃げ,逃げ,"{'逃げ': 0.5735930970731554, '先行': 0.21354783648739853, '差し': 0.19211430155375017, '追込': 0.020744764885695828}",0.574,0.214,0.192,0.021,57.36,21.35,19.21,2.07,67.09,0.188,0.188,0.28,-4.67,0.219,0.0368,10,"['11-10-8-11', '1-1-1-2', '2-3-13-13', '1-1-2-4', '1-1-1-1', '1-1-1-1', '1-1-1-2', '1-1-1-2', '3-3-5-7', '1-1-1-1']",先行,0.5806255394967342,0.216166004091647,0.18520922560056205,0.01799923081105677
