race_id,race_name,race_date,finish,horse_name,frame,horse_number,carried_weight,jockey,popularity,time,time_sec,margin,margin_sec,passing_order,last3f,odds,prediction_score,印
202603020109,さくらんぼ特別,2026-06-27,1,アメリカンチケット,5,9,58.0,小崎,11,1:06.0,66.0,,0.0,,35.5,61.6,44.04,
202603020109,さくらんぼ特別,2026-06-27,2,エコロシード,3,6,55.0,ゴンサ,1,1:06.2,66.2,1.1/4,0.25,,35.4,1.8,65.48,○
202603020109,さくらんぼ特別,2026-06-27,3,モリノセピア,7,14,58.0,津村,7,1:07.3,67.3,7,1.4000000000000001,,35.8,21.8,48.66,
202603020109,さくらんぼ特別,2026-06-27,4,タッカージーティー,6,12,56.0,横山典,6,1:07.4,67.4,1/2,0.1,,36.1,21.7,51.76,△
202603020109,さくらんぼ特別,2026-06-27,5,カワキタマナレア,1,2,56.0,田辺,5,1:07.8,67.8,2.1/2,0.42000000000000004,,36.1,17.7,48.68,
202603020109,さくらんぼ特別,2026-06-27,6,ルクスレイモンド,8,15,55.0,戸崎圭,2,1:07.9,67.9,クビ,0.15,,36.2,5.2,43.66,
202603020109,さくらんぼ特別,2026-06-27,7,タケルハーロック,2,4,58.0,石田,8,1:07.9,67.9,クビ,0.15,,35.2,24.0,58.64,▲
202603020109,さくらんぼ特別,2026-06-27,8,ケブランリ,4,7,55.0,荻野極,3,1:07.9,67.9,クビ,0.15,,35.4,8.1,70.0,◎
202603020109,さくらんぼ特別,2026-06-27,9,イノキ,3,5,58.0,丸山,9,1:08.0,68.0,1/2,0.1,,35.1,24.9,48.49,
202603020109,さくらんぼ特別,2026-06-27,10,ヒラボクカレラ,5,10,58.0,坂井,4,1:08.4,68.4,2,0.4,,36.3,9.9,44.52,
202603020109,さくらんぼ特別,2026-06-27,11,シアター,8,16,56.0,原,10,1:08.5,68.5,1,0.2,,36.4,51.7,49.57,☆
202603020109,さくらんぼ特別,2026-06-27,12,サードウインド,7,13,56.0,武藤,13,1:08.6,68.6,1/2,0.1,,36.7,95.6,47.2,
202603020109,さくらんぼ特別,2026-06-27,13,グラスブランシュ,6,11,56.0,杉原,15,1:08.6,68.6,アタマ,0.1,,34.6,253.2,39.15,
202603020109,さくらんぼ特別,2026-06-27,14,ゴルトリッチ,2,3,58.0,菊沢,14,1:08.6,68.6,ハナ,0.05,,36.2,158.5,41.23,
202603020109,さくらんぼ特別,2026-06-27,15,オセアエクスプレス,4,8,58.0,三浦,12,1:08.7,68.7,1/2,0.1,,36.7,83.3,45.71,
202603020109,さくらんぼ特別,2026-06-27,16,ゲクウ,1,1,58.0,菅原隆,16,1:09.1,69.1,2,0.4,,37.6,328.3,43.17,
