race_id,race_name,race_date,finish,horse_name,frame,horse_number,carried_weight,jockey,popularity,time,time_sec,margin,margin_sec,passing_order,last3f,odds,prediction_score,印
202602010509,長万部特別,2026-06-27,1,ドリーミングアップ,7,7,58.0,横山武,2,1:08.5,68.5,,0.0,,33.9,3.4,59.37,▲
202602010509,長万部特別,2026-06-27,2,ララバニュルス,4,4,58.0,横山和,1,1:08.9,68.9,2,0.4,,34.9,2.5,67.37,◎
202602010509,長万部特別,2026-06-27,3,ナオミライトニング,3,3,53.0,北村友,5,1:09.0,69.0,3/4,0.15,,34.3,9.4,42.14,
202602010509,長万部特別,2026-06-27,4,シュークリーム,8,8,56.0,岩田望,3,1:09.1,69.1,1,0.2,,35.2,4.3,49.68,△
202602010509,長万部特別,2026-06-27,5,クワイエットアイ,1,1,55.0,松本,6,1:09.1,69.1,アタマ,0.1,,34.8,18.1,42.7,
202602010509,長万部特別,2026-06-27,6,ブライアーヒル,2,2,56.0,横山琉,8,1:09.2,69.2,3/4,0.15,,34.1,76.0,42.88,
202602010509,長万部特別,2026-06-27,7,トップオンザヒル,5,5,58.0,小沢,9,1:09.3,69.3,クビ,0.15,,34.2,111.1,35.4,
202602010509,長万部特別,2026-06-27,8,ファニーバニー,6,6,53.0,鮫島駿,4,1:09.5,69.5,1.1/4,0.25,,35.0,7.5,61.42,○
202602010509,長万部特別,2026-06-27,9,ナンナンプー,8,9,56.0,岩田康,7,1:10.7,70.7,7,1.4000000000000001,,36.5,59.2,49.06,☆
