race_id,race_name,race_date,finish,horse_name,frame,horse_number,carried_weight,jockey,popularity,time,time_sec,margin,margin_sec,passing_order,last3f,odds,prediction_score,印
202610020309,小郡特別,2026-07-04,1,グッドピース,6,7,55.0,西村淳,1,1:09.2,69.2,,0.0,,35.3,2.3,70.0,◎
202610020309,小郡特別,2026-07-04,2,ミライハーモニー,8,11,56.0,今村,4,1:09.3,69.3,3/4,0.15,,35.5,7.1,55.3,△
202610020309,小郡特別,2026-07-04,3,ケイアイクビラ,5,5,58.0,加藤,7,1:09.3,69.3,ハナ,0.05,,35.5,16.9,46.09,
202610020309,小郡特別,2026-07-04,4,ラブアイミー,8,12,56.0,幸,9,1:09.5,69.5,1.1/4,0.25,,35.4,45.8,42.62,
202610020309,小郡特別,2026-07-04,5,キョラムン,4,4,56.0,太宰,2,1:09.6,69.6,1/2,0.1,,35.3,5.2,53.59,☆
202610020309,小郡特別,2026-07-04,6,マウンテンバローズ,7,9,55.0,吉村,5,1:09.7,69.7,3/4,0.15,,35.5,9.4,61.7,○
202610020309,小郡特別,2026-07-04,7,ギザキズラヴ,6,8,56.0,田口,10,1:09.8,69.8,1/2,0.1,,36.0,58.4,38.94,
202610020309,小郡特別,2026-07-04,8,スピリットライズ,3,3,58.0,高杉,6,1:10.0,70.0,1.1/4,0.25,,36.4,14.0,45.93,
202610020309,小郡特別,2026-07-04,9,ソリスディエス,5,6,58.0,田山,8,1:10.6,70.6,3.1/2,0.6200000000000001,,37.3,20.2,39.58,
202610020309,小郡特別,2026-07-04,10,リアルアルバ,7,10,55.0,西塚,11,1:10.7,70.7,アタマ,0.1,,36.4,59.3,37.22,
202610020309,小郡特別,2026-07-04,11,フィオラーノ,1,1,55.0,松若,3,1:10.8,70.8,1/2,0.1,,37.5,6.9,50.14,
202610020309,小郡特別,2026-07-04,12,ネフェルアスティ,2,2,53.0,望月洵,12,1:11.8,71.8,6,1.2000000000000002,,38.5,113.6,56.55,▲
