race_id,race_name,race_date,finish,horse_name,frame,horse_number,carried_weight,jockey,popularity,time,time_sec,margin,margin_sec,passing_order,last3f,odds,prediction_score,印
202610020209,帆柱山特別,2026-06-28,1,ナリタエスペランサ,7,7,54.0,川田,1,2:43.3,163.3,,0.0,,34.4,2.3,58.1,▲
202610020209,帆柱山特別,2026-06-28,2,サラトガチップス,5,5,58.0,田山,2,2:43.8,163.8,3,0.6000000000000001,,34.5,3.6,65.44,◎
202610020209,帆柱山特別,2026-06-28,3,ビッグベルーガ,1,1,58.0,菱田,8,2:44.0,164.0,1.1/4,0.25,,34.8,77.3,55.68,△
202610020209,帆柱山特別,2026-06-28,4,ニュークレド,6,6,58.0,幸,3,2:44.0,164.0,アタマ,0.1,,34.9,6.0,41.27,
202610020209,帆柱山特別,2026-06-28,5,マテンロウシルビア,8,8,56.0,太宰,4,2:44.0,164.0,クビ,0.15,,34.4,7.3,43.24,☆
202610020209,帆柱山特別,2026-06-28,6,ショウナンガチ,3,3,58.0,酒井,6,2:44.1,164.1,1/2,0.1,,34.5,11.9,40.3,
202610020209,帆柱山特別,2026-06-28,7,サトノスカイターフ,2,2,58.0,吉村,7,2:44.3,164.3,1.1/4,0.25,,35.3,38.3,37.04,
202610020209,帆柱山特別,2026-06-28,8,ボンドロア,4,4,58.0,角田和,5,2:44.3,164.3,クビ,0.15,,35.3,8.1,58.94,○
