race_id,race_name,race_date,finish,horse_name,frame,horse_number,carried_weight,jockey,popularity,time,time_sec,margin,margin_sec,passing_order,last3f,odds,prediction_score,印
202603020211,ラジオNIKKEI賞,2026-06-28,1,サノノグレーター,7,13,56.0,田辺,1,1:45.2,105.2,,0.0,,34.0,5.4,39.46,
202603020211,ラジオNIKKEI賞,2026-06-28,2,ディールメーカー,4,8,56.0,高杉,8,1:45.4,105.4,1.1/4,0.25,,34.7,14.0,65.91,○
202603020211,ラジオNIKKEI賞,2026-06-28,3,リッツパーティー,3,5,54.0,横山武,2,1:45.5,105.5,3/4,0.15,,34.8,5.6,53.45,☆
202603020211,ラジオNIKKEI賞,2026-06-28,4,バドリナート,8,15,57.0,津村,13,1:45.6,105.6,クビ,0.15,,34.2,29.1,50.79,
202603020211,ラジオNIKKEI賞,2026-06-28,5,ガリレア,5,10,54.0,石橋脩,16,1:45.6,105.6,アタマ,0.1,,34.7,151.8,36.97,
202603020211,ラジオNIKKEI賞,2026-06-28,6,サイモンシャリオ,2,4,52.0,田口,14,1:45.7,105.7,3/4,0.15,,34.6,59.5,35.71,
202603020211,ラジオNIKKEI賞,2026-06-28,7,ジーネキング,2,3,56.0,菊沢,6,1:45.8,105.8,クビ,0.15,,34.7,11.1,61.64,▲
202603020211,ラジオNIKKEI賞,2026-06-28,8,コルテオソレイユ,3,6,54.0,荻野極,4,1:45.8,105.8,ハナ,0.05,,34.9,7.8,52.49,
202603020211,ラジオNIKKEI賞,2026-06-28,9,クカイリモク,1,2,53.0,ゴンサ,10,1:45.8,105.8,アタマ,0.1,,34.4,18.6,70.0,◎
202603020211,ラジオNIKKEI賞,2026-06-28,10,ルージュボヤージュ,1,1,52.0,北村宏,5,1:45.9,105.9,3/4,0.15,,35.0,9.0,54.89,△
202603020211,ラジオNIKKEI賞,2026-06-28,11,ローベルクランツ,6,12,57.0,松山,3,1:46.0,106.0,1/2,0.1,,34.3,6.3,50.85,
202603020211,ラジオNIKKEI賞,2026-06-28,12,ショウナンガルフ,4,7,57.0,丸山,15,1:46.0,106.0,アタマ,0.1,,34.5,79.2,37.41,
202603020211,ラジオNIKKEI賞,2026-06-28,13,キンググローリー,5,9,54.0,石川,9,1:46.1,106.1,クビ,0.15,,34.4,18.6,45.49,
202603020211,ラジオNIKKEI賞,2026-06-28,14,スペルーチェ,8,16,55.0,Ｍデム,11,1:46.3,106.3,1.1/4,0.25,,35.2,21.7,46.56,
202603020211,ラジオNIKKEI賞,2026-06-28,15,コロナドブリッジ,6,11,54.0,三浦,12,1:46.3,106.3,クビ,0.15,,35.5,27.2,52.16,
202603020211,ラジオNIKKEI賞,2026-06-28,16,スカイスプレンダー,7,14,55.0,戸崎圭,7,1:47.6,107.6,8,1.6,,36.7,13.8,44.77,
