race_id,race_name,race_date,finish,horse_name,frame,horse_number,carried_weight,jockey,popularity,time,time_sec,margin,margin_sec,passing_order,last3f,odds,prediction_score,印
202602010611,函館記念,2026-06-28,1,ファウストラーゼン,2,2,56.0,小林美,10,1:57.7,117.7,,0.0,,34.5,14.0,40.85,
202602010611,函館記念,2026-06-28,2,ケリフレッドアスク,6,10,55.0,北村友,7,1:57.8,117.8,1/2,0.1,,34.6,10.3,51.57,
202602010611,函館記念,2026-06-28,3,ピースワンデュック,2,3,55.0,佐々木,9,1:57.8,117.8,アタマ,0.1,,35.0,12.2,43.98,
202602010611,函館記念,2026-06-28,4,ケイアイセナ,5,8,57.5,武豊,6,1:57.8,117.8,クビ,0.15,,35.3,9.1,44.6,
202602010611,函館記念,2026-06-28,5,マジックサンズ,3,4,58.0,横山和,4,1:58.1,118.1,1.1/2,0.3,,34.9,8.0,47.38,
202602010611,函館記念,2026-06-28,6,イガッチ,3,5,55.0,浜中,1,1:58.2,118.2,1/2,0.1,,35.2,6.1,70.0,◎
202602010611,函館記念,2026-06-28,7,チャックネイト,4,7,58.0,鮫島駿,14,1:58.3,118.3,1/2,0.1,,35.1,60.9,57.71,○
202602010611,函館記念,2026-06-28,8,サンストックトン,4,6,54.0,松本,13,1:58.3,118.3,ハナ,0.05,,35.0,44.5,40.3,
202602010611,函館記念,2026-06-28,9,エコロディノス,7,12,57.0,池添,3,1:58.3,118.3,クビ,0.15,,35.4,7.5,43.54,
202602010611,函館記念,2026-06-28,10,アラタ,7,13,58.0,大野,12,1:58.4,118.4,1/2,0.1,,34.7,33.4,53.03,△
202602010611,函館記念,2026-06-28,11,デビットバローズ,8,15,58.0,岩田望,8,1:58.5,118.5,1/2,0.1,,35.4,10.5,49.36,
202602010611,函館記念,2026-06-28,12,オニャンコポン,5,9,54.0,横山琉,15,1:58.5,118.5,ハナ,0.05,,35.0,68.9,38.5,
202602010611,函館記念,2026-06-28,13,フィーリウス,8,14,56.0,丹内,2,1:59.0,119.0,3,0.6000000000000001,,35.9,6.9,57.11,▲
202602010611,函館記念,2026-06-28,14,ジュタ,6,11,56.0,坂井,5,1:59.1,119.1,クビ,0.15,,36.4,8.8,52.78,☆
202602010611,函館記念,2026-06-28,15,バルナバ,1,1,55.0,斎藤,11,1:59.2,119.2,3/4,0.15,,35.6,26.3,48.55,
